number,value,datetime_start,datetime_complete,duration,params_dropout,params_filters,params_kernel_size,params_lr,user_attrs_val_metrics,system_attrs_completed_rung_0,system_attrs_completed_rung_1,state
0,1689.8544311523438,2026-02-24 05:30:27.658104,2026-02-24 05:30:28.676320,0 days 00:00:01.018216,0.2,64,3,0.0011114989443094978,"{'MAE_15m': 869.2142333984375, 'RMSE_15m': 2255.8790969375996, 'sMAPE_15m': 60.20626803174138, 'R2_15m': -0.17354490818158452, 'MAE_30m': 2510.49462890625, 'RMSE_30m': 5885.752288365524, 'sMAPE_30m': 91.12565270186333, 'R2_30m': -0.2214057383690997, 'MAE_avg': 1689.8544311523438, 'RMSE_avg': 4070.8156926515617, 'sMAPE_avg': 75.66596036680235, 'R2_avg': -0.19747532327534212}",1694.784423828125,1691.580078125,COMPLETE
1,1696.975830078125,2026-02-24 05:30:28.677046,2026-02-24 05:30:29.229159,0 days 00:00:00.552113,0.2,64,3,0.0002692655251486473,,1696.975830078125,,PRUNED
2,1696.8145751953125,2026-02-24 05:30:29.229758,2026-02-24 05:30:29.777535,0 days 00:00:00.547777,0.3,32,7,0.000117115099555241,,1696.8145751953125,,PRUNED
3,1697.30908203125,2026-02-24 05:30:29.778133,2026-02-24 05:30:30.328322,0 days 00:00:00.550189,0.3,32,5,0.00044684675025045853,,1697.30908203125,,PRUNED
4,1697.0489501953125,2026-02-24 05:30:30.328919,2026-02-24 05:30:30.867589,0 days 00:00:00.538670,0.3,64,3,0.00018752209455786411,,1697.0489501953125,,PRUNED
5,1696.930908203125,2026-02-24 05:30:30.868197,2026-02-24 05:30:31.418493,0 days 00:00:00.550296,0.2,32,7,0.0003023795012558478,,1696.930908203125,,PRUNED
6,1690.5292663574219,2026-02-24 05:30:31.419113,2026-02-24 05:30:32.105390,0 days 00:00:00.686277,0.2,96,7,0.002869139536545374,"{'MAE_15m': 869.5292358398438, 'RMSE_15m': 2256.064493758988, 'sMAPE_15m': 61.121971397904005, 'R2_15m': -0.1737376841094338, 'MAE_30m': 2511.529296875, 'RMSE_30m': 5888.158965245419, 'sMAPE_30m': 95.08311475106215, 'R2_30m': -0.2224047125126407, 'MAE_avg': 1690.5292663574219, 'RMSE_avg': 4072.111729502203, 'sMAPE_avg': 78.10254307448308, 'R2_avg': -0.19807119831103726}",1690.529296875,,COMPLETE
7,1697.4627685546875,2026-02-24 05:30:32.106158,2026-02-24 05:30:32.622460,0 days 00:00:00.516302,0.0,32,3,0.0001483039268456802,,1697.4627685546875,,PRUNED
8,1696.8511962890625,2026-02-24 05:30:32.623053,2026-02-24 05:30:33.178796,0 days 00:00:00.555743,0.3,32,7,0.0004983319160125723,,1696.8511962890625,,PRUNED
9,1697.3338623046875,2026-02-24 05:30:33.179404,2026-02-24 05:30:33.700519,0 days 00:00:00.521115,0.0,96,5,0.00014433402406338895,,1697.3338623046875,,PRUNED
