number,value,datetime_start,datetime_complete,duration,params_dropout,params_gru_units,params_lr,params_lstm_units,user_attrs_val_metrics,system_attrs_completed_rung_0,state
0,1697.259521484375,2026-02-24 05:30:00.747754,2026-02-24 05:30:03.292151,0 days 00:00:02.544397,0.2,64,0.0011114989443094978,32,"{'MAE_15m': 877.866455078125, 'RMSE_15m': 2259.8828509460395, 'sMAPE_15m': 183.94694075251957, 'R2_15m': -0.17771420873787314, 'MAE_30m': 2516.652587890625, 'RMSE_30m': 5890.284882753975, 'sMAPE_30m': 199.91461229045157, 'R2_30m': -0.2232874729042671, 'MAE_avg': 1697.259521484375, 'RMSE_avg': 4075.0838668500073, 'sMAPE_avg': 191.93077652148557, 'R2_avg': -0.20050084082107011}",1697.4425048828125,COMPLETE
1,1697.62353515625,2026-02-24 05:30:03.292888,2026-02-24 05:30:05.999829,0 days 00:00:02.706941,0.2,64,0.0002692655251486473,32,,1697.62353515625,PRUNED
2,1696.9964599609375,2026-02-24 05:30:06.000424,2026-02-24 05:30:08.576202,0 days 00:00:02.575778,0.3,32,0.000117115099555241,96,"{'MAE_15m': 878.018310546875, 'RMSE_15m': 2259.933406098507, 'sMAPE_15m': 190.89945295606265, 'R2_15m': -0.17776688251236106, 'MAE_30m': 2515.974609375, 'RMSE_30m': 5890.1263144350305, 'sMAPE_30m': 187.98235924584384, 'R2_30m': -0.2232218703037443, 'MAE_avg': 1696.9964599609375, 'RMSE_avg': 4075.029860266769, 'sMAPE_avg': 189.44090610095324, 'R2_avg': -0.20049437640805268}",1697.0196533203125,COMPLETE
3,1697.481201171875,2026-02-24 05:30:08.576945,2026-02-24 05:30:10.769775,0 days 00:00:02.192830,0.3,32,0.00044684675025045853,64,,1697.481201171875,PRUNED
4,1697.2332763671875,2026-02-24 05:30:10.770401,2026-02-24 05:30:12.941218,0 days 00:00:02.170817,0.3,64,0.00018752209455786411,32,,1697.2332763671875,PRUNED
5,1697.61572265625,2026-02-24 05:30:12.941805,2026-02-24 05:30:15.812190,0 days 00:00:02.870385,0.2,32,0.0003023795012558478,96,,1697.61572265625,PRUNED
6,1698.4559326171875,2026-02-24 05:30:15.812766,2026-02-24 05:30:18.041621,0 days 00:00:02.228855,0.2,96,0.002869139536545374,96,,1698.4559326171875,PRUNED
7,1697.360107421875,2026-02-24 05:30:18.042183,2026-02-24 05:30:20.191722,0 days 00:00:02.149539,0.0,32,0.0001483039268456802,32,,1697.360107421875,PRUNED
8,1697.609375,2026-02-24 05:30:20.192306,2026-02-24 05:30:22.343737,0 days 00:00:02.151431,0.3,32,0.0004983319160125723,96,,1697.609375,PRUNED
9,1696.9345703125,2026-02-24 05:30:22.344306,2026-02-24 05:30:25.460772,0 days 00:00:03.116466,0.0,96,0.00014433402406338895,64,"{'MAE_15m': 877.594970703125, 'RMSE_15m': 2259.7512031194938, 'sMAPE_15m': 176.74490042881166, 'R2_15m': -0.17757695107236704, 'MAE_30m': 2516.274169921875, 'RMSE_30m': 5890.200336151564, 'sMAPE_30m': 196.05172758527806, 'R2_30m': -0.22325247195234765, 'MAE_avg': 1696.9345703125, 'RMSE_avg': 4074.975769635529, 'sMAPE_avg': 186.39831400704486, 'R2_avg': -0.20041471151235735}",1697.0216064453125,COMPLETE
