number,value,datetime_start,datetime_complete,duration,params_dropout,params_lr,params_num_layers,params_units,user_attrs_val_metrics,system_attrs_completed_rung_0,state
0,1697.4145812988281,2026-02-24 05:29:36.627915,2026-02-24 05:29:39.207528,0 days 00:00:02.579613,0.0,0.00190303683817358,2,64,"{'MAE_15m': 878.4673461914062, 'RMSE_15m': 2260.125549610021, 'sMAPE_15m': 200.0, 'R2_15m': -0.17796713551750165, 'MAE_30m': 2516.36181640625, 'RMSE_30m': 5890.207466634771, 'sMAPE_30m': 198.8392621364955, 'R2_30m': -0.2232555409098802, 'MAE_avg': 1697.4145812988281, 'RMSE_avg': 4075.166508122396, 'sMAPE_avg': 199.41963106824775, 'R2_avg': -0.20061133821369093}",1698.1700439453125,COMPLETE
1,1697.3048400878906,2026-02-24 05:29:39.208282,2026-02-24 05:29:41.762412,0 days 00:00:02.554130,0.0,0.00018659959624904942,2,64,"{'MAE_15m': 878.4990844726562, 'RMSE_15m': 2260.139044395278, 'sMAPE_15m': 200.0, 'R2_15m': -0.17798132714096093, 'MAE_30m': 2516.110595703125, 'RMSE_30m': 5890.092359207961, 'sMAPE_30m': 190.332343861725, 'R2_30m': -0.22320772641766218, 'MAE_avg': 1697.3048400878906, 'RMSE_avg': 4075.1157018016193, 'sMAPE_avg': 195.1661719308625, 'R2_avg': -0.20059452677931155}",1697.3487548828125,COMPLETE
2,1697.2019348144531,2026-02-24 05:29:41.763194,2026-02-24 05:29:43.272696,0 days 00:00:01.509502,0.0,0.0003476649150592621,1,64,"{'MAE_15m': 877.9197387695312, 'RMSE_15m': 2259.8629383217026, 'sMAPE_15m': 188.22983146974906, 'R2_15m': -0.17769346027730681, 'MAE_30m': 2516.484130859375, 'RMSE_30m': 5890.1803028430295, 'sMAPE_30m': 197.25197458488822, 'R2_30m': -0.2232440785640215, 'MAE_avg': 1697.2019348144531, 'RMSE_avg': 4075.0216205823663, 'sMAPE_avg': 192.74090302731864, 'R2_avg': -0.20046876942066416}",1697.2574462890625,COMPLETE
3,1697.5567626953125,2026-02-24 05:29:43.273412,2026-02-24 05:29:46.319028,0 days 00:00:03.045616,0.3,0.0001786013788939711,2,64,,1697.5567626953125,PRUNED
4,1697.703125,2026-02-24 05:29:46.319596,2026-02-24 05:29:48.537027,0 days 00:00:02.217431,0.3,0.00044684675025045853,2,96,,1697.703125,PRUNED
5,1697.63427734375,2026-02-24 05:29:48.537628,2026-02-24 05:29:50.754552,0 days 00:00:02.216924,0.2,0.000586412916969653,2,64,,1697.63427734375,PRUNED
6,1698.3199462890625,2026-02-24 05:29:50.755145,2026-02-24 05:29:52.927918,0 days 00:00:02.172773,0.0,0.002299958642814372,2,96,,1698.3199462890625,PRUNED
7,1696.9632263183594,2026-02-24 05:29:52.928513,2026-02-24 05:29:54.407439,0 days 00:00:01.478926,0.3,0.0003364867144187955,1,64,"{'MAE_15m': 878.2235717773438, 'RMSE_15m': 2259.9786503416353, 'sMAPE_15m': 196.84817031853171, 'R2_15m': -0.17781395877924333, 'MAE_30m': 2515.702880859375, 'RMSE_30m': 5889.9925297066375, 'sMAPE_30m': 180.06660640923292, 'R2_30m': -0.22316620723325342, 'MAE_avg': 1696.9632263183594, 'RMSE_avg': 4074.9855900241364, 'sMAPE_avg': 188.45738836388233, 'R2_avg': -0.20049008300624838}",1696.9874267578125,COMPLETE
8,1697.5528564453125,2026-02-24 05:29:54.408217,2026-02-24 05:29:57.232392,0 days 00:00:02.824175,0.2,0.00019657448966046135,2,64,,1697.5528564453125,PRUNED
9,1697.5313720703125,2026-02-24 05:29:57.232980,2026-02-24 05:29:59.442567,0 days 00:00:02.209587,0.0,0.0001483039268456802,2,64,,1697.5313720703125,PRUNED
