number,value,datetime_start,datetime_complete,duration,params_dropout,params_filters,params_kernel_size,params_lr,params_rnn_type,params_rnn_units,user_attrs_val_metrics,system_attrs_completed_rung_0,system_attrs_completed_rung_1,state
0,1695.3017578125,2026-02-24 05:30:34.228068,2026-02-24 05:30:36.788161,0 days 00:00:02.560093,0.0,64,3,0.00018559980846490597,lstm,64,"{'MAE_15m': 876.774169921875, 'RMSE_15m': 2259.4117597286245, 'sMAPE_15m': 154.090525421986, 'R2_15m': -0.17722323031241927, 'MAE_30m': 2513.829345703125, 'RMSE_30m': 5889.180927769158, 'sMAPE_30m': 137.33309244900138, 'R2_30m': -0.222829217058216, 'MAE_avg': 1695.3017578125, 'RMSE_avg': 4074.2963437488916, 'sMAPE_avg': 145.7118089354937, 'R2_avg': -0.20002622368531764}",1696.959716796875,1696.3245849609375,COMPLETE
1,1694.8984069824219,2026-02-24 05:30:36.788943,2026-02-24 05:30:38.911300,0 days 00:00:02.122357,0.3,96,7,0.000117115099555241,gru,96,"{'MAE_15m': 876.2509155273438, 'RMSE_15m': 2259.170754945274, 'sMAPE_15m': 143.87984243871773, 'R2_15m': -0.1769721147215615, 'MAE_30m': 2513.5458984375, 'RMSE_30m': 5889.193153565266, 'sMAPE_30m': 132.83362757705248, 'R2_30m': -0.2228342696161143, 'MAE_avg': 1694.8984069824219, 'RMSE_avg': 4074.18195425527, 'sMAPE_avg': 138.3567350078851, 'R2_avg': -0.1999031921688379}",1696.90625,1696.1026611328125,COMPLETE
2,1697.1910400390625,2026-02-24 05:30:38.912073,2026-02-24 05:30:40.366789,0 days 00:00:01.454716,0.3,32,5,0.00024112898115291975,lstm,96,,1697.1910400390625,,PRUNED
3,1697.07177734375,2026-02-24 05:30:40.367459,2026-02-24 05:30:41.784447,0 days 00:00:01.416988,0.2,32,7,0.0003023795012558478,gru,64,,1697.07177734375,,PRUNED
4,1690.7114562988281,2026-02-24 05:30:41.785123,2026-02-24 05:30:43.894877,0 days 00:00:02.109754,0.3,96,7,0.0011069143219393448,lstm,64,"{'MAE_15m': 871.6939086914062, 'RMSE_15m': 2257.2612830596286, 'sMAPE_15m': 71.5267844016024, 'R2_15m': -0.1749832912436673, 'MAE_30m': 2509.72900390625, 'RMSE_30m': 5887.170118146749, 'sMAPE_30m': 84.38466989104934, 'R2_30m': -0.22199426903586894, 'MAE_avg': 1690.7114562988281, 'RMSE_avg': 4072.2157006031885, 'sMAPE_avg': 77.95572714632587, 'R2_avg': -0.19848878013976812}",1694.6324462890625,1692.1903076171875,COMPLETE
5,1695.2745361328125,2026-02-24 05:30:43.895656,2026-02-24 05:30:45.523486,0 days 00:00:01.627830,0.3,64,7,0.0004983319160125723,gru,32,,1696.5289306640625,1695.2745361328125,PRUNED
6,1691.2134094238281,2026-02-24 05:30:45.524095,2026-02-24 05:30:47.602144,0 days 00:00:02.078049,0.0,96,5,0.0021907142272152816,lstm,32,"{'MAE_15m': 872.4295043945312, 'RMSE_15m': 2257.6921845105458, 'sMAPE_15m': 77.83358613068162, 'R2_15m': -0.17543197564568835, 'MAE_30m': 2509.997314453125, 'RMSE_30m': 5887.4116553881295, 'sMAPE_30m': 85.87972221250372, 'R2_30m': -0.22209456714013887, 'MAE_avg': 1691.2134094238281, 'RMSE_avg': 4072.5519199493374, 'sMAPE_avg': 81.85665417159268, 'R2_avg': -0.1987632713929136}",1693.8067626953125,1691.909423828125,COMPLETE
7,1695.3934326171875,2026-02-24 05:30:47.603097,2026-02-24 05:30:49.672451,0 days 00:00:02.069354,0.3,96,7,0.0006261435181296009,gru,64,,1695.3934326171875,,PRUNED
8,1690.1060485839844,2026-02-24 05:30:49.673067,2026-02-24 05:30:51.866721,0 days 00:00:02.193654,0.3,64,7,0.002470540427082325,lstm,64,"{'MAE_15m': 871.4057006835938, 'RMSE_15m': 2256.9493791399045, 'sMAPE_15m': 70.28795288198141, 'R2_15m': -0.17465867721194184, 'MAE_30m': 2508.806396484375, 'RMSE_30m': 5886.035337984304, 'sMAPE_30m': 82.46571761043732, 'R2_30m': -0.22152317811728883, 'MAE_avg': 1690.1060485839844, 'RMSE_avg': 4071.492358562104, 'sMAPE_avg': 76.37683524620937, 'R2_avg': -0.19809092766461533}",1694.68994140625,1691.4261474609375,COMPLETE
9,1696.358642578125,2026-02-24 05:30:51.867491,2026-02-24 05:30:53.279009,0 days 00:00:01.411518,0.0,96,5,0.00025798509464504095,lstm,64,,1696.358642578125,,PRUNED
