number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_lambda,params_subsample,user_attrs_best_iters,user_attrs_val_metrics,state
0,768.3139953613281,2026-04-03 02:09:21.928462,2026-04-03 02:09:23.871589,0 days 00:00:01.943127,0.6624074561769746,4.330880728874676,0.08960785365368121,8,2,600,0.01555019165426488,0.8394633936788146,"[35, 45]","{'MAE_15m': 700.1611328125, 'RMSE_15m': 2147.8865193487295, 'sMAPE_15m': 189.35771056272503, 'R2_15m': 0.37460681367461823, 'MAE_30m': 836.4668579101562, 'RMSE_30m': 2575.684666258663, 'sMAPE_30m': 191.5779564890394, 'R2_30m': 0.10067228867758471, 'MAE_avg': 768.3139953613281, 'RMSE_avg': 2361.785592803696, 'sMAPE_avg': 190.4678335258822, 'R2_avg': 0.23763955117610147}",COMPLETE
1,731.2661437988281,2026-04-03 02:09:23.875514,2026-04-03 02:09:26.307910,0 days 00:00:02.432396,0.9329770563201687,0.9170225492671691,0.010636066512540286,6,3,800,0.039829941698924086,0.9879639408647978,"[164, 174]","{'MAE_15m': 665.0390625, 'RMSE_15m': 2002.7414336354057, 'sMAPE_15m': 190.6258728049622, 'R2_15m': 0.45627379761603315, 'MAE_30m': 797.4932250976562, 'RMSE_30m': 2483.738311497409, 'sMAPE_30m': 192.59025599342033, 'R2_30m': 0.1637343960764921, 'MAE_avg': 731.2661437988281, 'RMSE_avg': 2243.2398725664075, 'sMAPE_avg': 191.60806439919128, 'R2_avg': 0.3100040968462626}",COMPLETE
2,701.0826721191406,2026-04-03 02:09:26.314910,2026-04-03 02:09:28.259555,0 days 00:00:01.944645,0.8447411578889518,1.8318092164684585,0.03647316284911211,5,2,400,0.09212515846231674,0.7164916560792167,"[93, 110]","{'MAE_15m': 643.9743041992188, 'RMSE_15m': 2031.4442522501079, 'sMAPE_15m': 189.56558648274535, 'R2_15m': 0.4405770187399439, 'MAE_30m': 758.1910400390625, 'RMSE_30m': 2411.0782857468566, 'sMAPE_30m': 191.51512796210264, 'R2_30m': 0.21194739465271217, 'MAE_avg': 701.0826721191406, 'RMSE_avg': 2221.261268998482, 'sMAPE_avg': 190.540357222424, 'R2_avg': 0.32626220669632805}",COMPLETE
3,733.9088439941406,2026-04-03 02:09:28.261140,2026-04-03 02:09:30.643006,0 days 00:00:02.381866,0.836965827544817,0.8526206184364576,0.018187859051288217,7,1,600,1.0128002032729382,0.8056937753654446,"[112, 131]","{'MAE_15m': 672.2337646484375, 'RMSE_15m': 2132.0996693400616, 'sMAPE_15m': 190.50730531855518, 'R2_15m': 0.38376618360512604, 'MAE_30m': 795.5839233398438, 'RMSE_30m': 2446.744776228203, 'sMAPE_30m': 191.90290817165766, 'R2_30m': 0.1884599912729471, 'MAE_avg': 733.9088439941406, 'RMSE_avg': 2289.4222227841324, 'sMAPE_avg': 191.20510674510643, 'R2_avg': 0.2861130874390366}",COMPLETE
4,732.1822204589844,2026-04-03 02:09:30.647177,2026-04-03 02:09:32.327873,0 days 00:00:01.680696,0.7218455076693483,2.2007624686980067,0.18043311207136256,8,1,200,1.8141523033666782,0.9233589392465844,"[13, 14]","{'MAE_15m': 678.956787109375, 'RMSE_15m': 2108.095586068146, 'sMAPE_15m': 190.58327185235328, 'R2_15m': 0.3975638000730871, 'MAE_30m': 785.4076538085938, 'RMSE_30m': 2518.2420455547954, 'sMAPE_30m': 191.95636405092623, 'R2_30m': 0.14033839922648483, 'MAE_avg': 732.1822204589844, 'RMSE_avg': 2313.1688158114707, 'sMAPE_avg': 191.26981795163977, 'R2_avg': 0.268951099649786}",COMPLETE
5,728.4104614257812,2026-04-03 02:09:32.329497,2026-04-03 02:09:34.620088,0 days 00:00:02.290591,0.7035119926400067,2.600340105889054,0.011085122517311707,5,7,200,0.10689751565977942,0.9637281608315128,"[199, 198]","{'MAE_15m': 664.113037109375, 'RMSE_15m': 2052.637571516219, 'sMAPE_15m': 190.8486099169497, 'R2_15m': 0.4288437025074294, 'MAE_30m': 792.7078857421875, 'RMSE_30m': 2435.0535928393856, 'sMAPE_30m': 192.4427852364689, 'R2_30m': 0.19619691840422915, 'MAE_avg': 728.4104614257812, 'RMSE_avg': 2243.8455821778025, 'sMAPE_avg': 191.6456975767093, 'R2_avg': 0.3125203104558293}",COMPLETE
6,670.5258178710938,2026-04-03 02:09:34.621710,2026-04-03 02:09:36.284914,0 days 00:00:01.663204,0.9757995766256756,4.609371175115584,0.18258230439200238,3,9,800,0.9412083349710854,0.9100531293444458,"[20, 17]","{'MAE_15m': 598.0839233398438, 'RMSE_15m': 1931.8444554363066, 'sMAPE_15m': 189.90509622762727, 'R2_15m': 0.4940882118433334, 'MAE_30m': 742.9677124023438, 'RMSE_30m': 2381.4386408219716, 'sMAPE_30m': 192.22418538388985, 'R2_30m': 0.2312035484971482, 'MAE_avg': 670.5258178710938, 'RMSE_avg': 2156.641548129139, 'sMAPE_avg': 191.06464080575856, 'R2_avg': 0.3626458801702408}",COMPLETE
7,699.2090454101562,2026-04-03 02:09:36.286561,2026-04-03 02:09:38.394763,0 days 00:00:02.108202,0.7554709158757928,1.7837666334679465,0.011450964268326641,3,3,200,5.441108375656199,0.7301321323053057,"[199, 199]","{'MAE_15m': 620.2032470703125, 'RMSE_15m': 2059.468256613828, 'sMAPE_15m': 190.70726255904, 'R2_15m': 0.4250358842620465, 'MAE_30m': 778.21484375, 'RMSE_30m': 2427.4037571034614, 'sMAPE_30m': 192.6388989646717, 'R2_30m': 0.20123944329548604, 'MAE_avg': 699.2090454101562, 'RMSE_avg': 2243.4360068586448, 'sMAPE_avg': 191.67308076185586, 'R2_avg': 0.3131376637787663}",COMPLETE
8,701.2340698242188,2026-04-03 02:09:38.396415,2026-04-03 02:09:41.044656,0 days 00:00:02.648241,0.6298202574719083,0.993578407670862,0.015252697030515175,5,10,400,3.5416296712651336,0.9208787923016158,"[254, 264]","{'MAE_15m': 630.244384765625, 'RMSE_15m': 1979.2312901730309, 'sMAPE_15m': 190.41785336803005, 'R2_15m': 0.4689644664602157, 'MAE_30m': 772.2237548828125, 'RMSE_30m': 2421.2089955226916, 'sMAPE_30m': 191.53295424008547, 'R2_30m': 0.20531105415370587, 'MAE_avg': 701.2340698242188, 'RMSE_avg': 2200.220142847861, 'sMAPE_avg': 190.97540380405775, 'R2_avg': 0.3371377603069608}",COMPLETE
9,756.7757263183594,2026-04-03 02:09:41.056208,2026-04-03 02:09:42.767203,0 days 00:00:01.710995,0.9085081386743783,0.5793452976256486,0.08310795711416077,7,1,200,0.15251273957388442,0.8916028672163949,"[34, 20]","{'MAE_15m': 666.4859619140625, 'RMSE_15m': 2086.4805295041697, 'sMAPE_15m': 189.99924092312344, 'R2_15m': 0.4098544474471424, 'MAE_30m': 847.0654907226562, 'RMSE_30m': 2523.2969504202233, 'sMAPE_30m': 192.40716006917705, 'R2_30m': 0.1368837833283887, 'MAE_avg': 756.7757263183594, 'RMSE_avg': 2304.8887399621963, 'sMAPE_avg': 191.20320049615026, 'R2_avg': 0.27336911538776554}",COMPLETE
10,670.4926452636719,2026-04-03 02:09:42.774741,2026-04-03 02:09:44.524493,0 days 00:00:01.749752,0.9935496864584779,4.883839283223654,0.18255631599020614,2,10,1200,14.73099293843444,0.6071847502459278,"[32, 20]","{'MAE_15m': 605.1140747070312, 'RMSE_15m': 1985.81771570303, 'sMAPE_15m': 190.49916455426575, 'R2_15m': 0.46542421666369715, 'MAE_30m': 735.8712158203125, 'RMSE_30m': 2403.24208102305, 'sMAPE_30m': 191.09713375230038, 'R2_30m': 0.21706153232662906, 'MAE_avg': 670.4926452636719, 'RMSE_avg': 2194.52989836304, 'sMAPE_avg': 190.79814915328308, 'R2_avg': 0.3412428744951631}",COMPLETE
11,669.8035583496094,2026-04-03 02:09:44.532915,2026-04-03 02:09:46.313798,0 days 00:00:01.780883,0.9895680834513327,4.842465731220766,0.19550037029615167,2,10,1200,18.046579829697965,0.6068744601075835,"[22, 20]","{'MAE_15m': 604.4239501953125, 'RMSE_15m': 2063.360729489635, 'sMAPE_15m': 190.38798835950786, 'R2_15m': 0.4228604574178143, 'MAE_30m': 735.1831665039062, 'RMSE_30m': 2403.262262009704, 'sMAPE_30m': 191.19902367123908, 'R2_30m': 0.21704837676958522, 'MAE_avg': 669.8035583496094, 'RMSE_avg': 2233.3114957496696, 'sMAPE_avg': 190.79350601537345, 'R2_avg': 0.31995441709369976}",COMPLETE
