number,value,datetime_start,datetime_complete,duration,params_dropout,params_filters,params_kernel_size,params_lr,user_attrs_val_metrics,system_attrs_completed_rung_0,system_attrs_completed_rung_1,state
0,73461.8984375,2026-02-24 05:32:04.178954,2026-02-24 05:32:05.186522,0 days 00:00:01.007568,0.2,64,3,0.0011114989443094978,"{'MAE_15m': 71256.1640625, 'RMSE_15m': 72742.56019690262, 'sMAPE_15m': 199.93747744482172, 'R2_15m': -23.733008037738113, 'MAE_30m': 75667.6328125, 'RMSE_30m': 76697.34806367167, 'sMAPE_30m': 199.93237631708547, 'R2_30m': -36.50870511816785, 'MAE_avg': 73461.8984375, 'RMSE_avg': 74719.95413028714, 'sMAPE_avg': 199.93492688095358, 'R2_avg': -30.120856577952985}",73471.59375,73469.09375,COMPLETE
1,73471.9296875,2026-02-24 05:32:05.187259,2026-02-24 05:32:05.724821,0 days 00:00:00.537562,0.2,64,3,0.0002692655251486473,,73471.9296875,,PRUNED
2,73472.8203125,2026-02-24 05:32:05.725421,2026-02-24 05:32:06.259973,0 days 00:00:00.534552,0.3,32,7,0.000117115099555241,,73472.8203125,,PRUNED
3,73472.1171875,2026-02-24 05:32:06.260545,2026-02-24 05:32:06.806233,0 days 00:00:00.545688,0.3,32,5,0.00044684675025045853,,73472.1171875,,PRUNED
4,73472.1640625,2026-02-24 05:32:06.806805,2026-02-24 05:32:07.937279,0 days 00:00:01.130474,0.3,64,3,0.00018752209455786411,,73472.1640625,,PRUNED
5,73472.359375,2026-02-24 05:32:07.937885,2026-02-24 05:32:08.492774,0 days 00:00:00.554889,0.2,32,7,0.0003023795012558478,,73472.359375,,PRUNED
6,72549.37890625,2026-02-24 05:32:08.493383,2026-02-24 05:32:09.541048,0 days 00:00:01.047665,0.2,96,7,0.002869139536545374,"{'MAE_15m': 70411.8515625, 'RMSE_15m': 71984.12980650665, 'sMAPE_15m': 194.536798469208, 'R2_15m': -23.219952814305653, 'MAE_30m': 74686.90625, 'RMSE_30m': 75771.48297347756, 'sMAPE_30m': 194.47287116728177, 'R2_30m': -35.608583062072704, 'MAE_avg': 72549.37890625, 'RMSE_avg': 73877.8063899921, 'sMAPE_avg': 194.5048348182449, 'R2_avg': -29.414267938189177}",73454.375,73316.796875,COMPLETE
7,73472.4921875,2026-02-24 05:32:09.541835,2026-02-24 05:32:10.084720,0 days 00:00:00.542885,0.0,32,3,0.0001483039268456802,,73472.4921875,,PRUNED
8,73472.1015625,2026-02-24 05:32:10.085321,2026-02-24 05:32:10.650154,0 days 00:00:00.564833,0.3,32,7,0.0004983319160125723,,73472.1015625,,PRUNED
9,73472.4296875,2026-02-24 05:32:10.650796,2026-02-24 05:32:11.187329,0 days 00:00:00.536533,0.0,96,5,0.00014433402406338895,,73472.4296875,,PRUNED
