number,value,datetime_start,datetime_complete,duration,params_dropout,params_gru_units,params_lr,params_lstm_units,user_attrs_val_metrics,system_attrs_completed_rung_0,system_attrs_completed_rung_1,state
0,73469.17578125,2026-02-24 05:31:36.937053,2026-02-24 05:31:40.027567,0 days 00:00:03.090514,0.2,64,0.0011114989443094978,32,"{'MAE_15m': 71262.2578125, 'RMSE_15m': 72747.76851560465, 'sMAPE_15m': 199.9797092667392, 'R2_15m': -23.736551040646287, 'MAE_30m': 75676.09375, 'RMSE_30m': 76705.20816737284, 'sMAPE_30m': 199.98138666682382, 'R2_30m': -36.51638781255401, 'MAE_avg': 73469.17578125, 'RMSE_avg': 74726.48834148874, 'sMAPE_avg': 199.9805479667815, 'R2_avg': -30.126469426600146}",73472.2734375,73471.328125,COMPLETE
1,73472.3828125,2026-02-24 05:31:40.028442,2026-02-24 05:31:42.204447,0 days 00:00:02.176005,0.2,64,0.0002692655251486473,32,,73472.3828125,,PRUNED
2,73472.609375,2026-02-24 05:31:42.205105,2026-02-24 05:31:44.387011,0 days 00:00:02.181906,0.3,32,0.000117115099555241,96,,73472.609375,,PRUNED
3,73472.6875,2026-02-24 05:31:44.387621,2026-02-24 05:31:47.281583,0 days 00:00:02.893962,0.3,32,0.00044684675025045853,64,,73472.6875,,PRUNED
4,73472.4296875,2026-02-24 05:31:47.282186,2026-02-24 05:31:49.494134,0 days 00:00:02.211948,0.3,64,0.00018752209455786411,32,,73472.4296875,,PRUNED
5,73472.5546875,2026-02-24 05:31:49.494783,2026-02-24 05:31:51.723861,0 days 00:00:02.229078,0.2,32,0.0003023795012558478,96,,73472.5546875,,PRUNED
6,73457.5859375,2026-02-24 05:31:51.724490,2026-02-24 05:31:54.727713,0 days 00:00:03.003223,0.2,96,0.002869139536545374,96,"{'MAE_15m': 71250.5390625, 'RMSE_15m': 72736.39771118721, 'sMAPE_15m': 199.9097398425919, 'R2_15m': -23.728818775783335, 'MAE_30m': 75664.6328125, 'RMSE_30m': 76693.98015489873, 'sMAPE_30m': 199.9183752113352, 'R2_30m': -36.50540645067365, 'MAE_avg': 73457.5859375, 'RMSE_avg': 74715.18893304297, 'sMAPE_avg': 199.91405752696355, 'R2_avg': -30.117112613228493}",73468.34375,73462.0703125,COMPLETE
7,73472.796875,2026-02-24 05:31:54.728431,2026-02-24 05:31:57.581404,0 days 00:00:02.852973,0.0,32,0.0001483039268456802,32,,73472.796875,,PRUNED
8,73472.421875,2026-02-24 05:31:57.582013,2026-02-24 05:31:59.821946,0 days 00:00:02.239933,0.3,32,0.0004983319160125723,96,,73472.421875,,PRUNED
9,73472.5390625,2026-02-24 05:31:59.822599,2026-02-24 05:32:01.988148,0 days 00:00:02.165549,0.0,96,0.00014433402406338895,64,,73472.5390625,,PRUNED
