number,value,datetime_start,datetime_complete,duration,params_dropout,params_lr,params_num_layers,params_units,user_attrs_val_metrics,system_attrs_completed_rung_0,system_attrs_completed_rung_1,state
0,73463.0859375,2026-02-24 05:31:10.740829,2026-02-24 05:31:13.762922,0 days 00:00:03.022093,0.0,0.00190303683817358,2,64,"{'MAE_15m': 71256.9296875, 'RMSE_15m': 72742.65169761135, 'sMAPE_15m': 199.94748994955705, 'R2_15m': -23.73307330544186, 'MAE_30m': 75669.2421875, 'RMSE_30m': 76698.5262961421, 'sMAPE_30m': 199.94348622547514, 'R2_30m': -36.50985399053008, 'MAE_avg': 73463.0859375, 'RMSE_avg': 74720.58899687673, 'sMAPE_avg': 199.94548808751608, 'R2_avg': -30.12146364798597}",73471.5546875,73466.9765625,COMPLETE
1,73472.6796875,2026-02-24 05:31:13.763642,2026-02-24 05:31:15.941011,0 days 00:00:02.177369,0.0,0.00018659959624904942,2,64,,73472.6796875,,PRUNED
2,73472.796875,2026-02-24 05:31:15.941571,2026-02-24 05:31:18.063602,0 days 00:00:02.122031,0.0,0.0003476649150592621,1,64,,73472.796875,,PRUNED
3,73472.6015625,2026-02-24 05:31:18.064236,2026-02-24 05:31:20.298960,0 days 00:00:02.234724,0.3,0.0001786013788939711,2,64,,73472.6015625,,PRUNED
4,73472.1640625,2026-02-24 05:31:20.299581,2026-02-24 05:31:22.508677,0 days 00:00:02.209096,0.3,0.00044684675025045853,2,96,,73472.1640625,,PRUNED
5,73472.34375,2026-02-24 05:31:22.509292,2026-02-24 05:31:24.683725,0 days 00:00:02.174433,0.2,0.000586412916969653,2,64,,73472.34375,,PRUNED
6,73458.83203125,2026-02-24 05:31:24.684351,2026-02-24 05:31:28.377510,0 days 00:00:03.693159,0.0,0.002299958642814372,2,96,"{'MAE_15m': 71253.09375, 'RMSE_15m': 72738.89655473198, 'sMAPE_15m': 199.92481086930633, 'R2_15m': -23.73051959775324, 'MAE_30m': 75664.5703125, 'RMSE_30m': 76693.91339604466, 'sMAPE_30m': 199.9180190776118, 'R2_30m': -36.50534264091961, 'MAE_avg': 73458.83203125, 'RMSE_avg': 74716.40497538832, 'sMAPE_avg': 199.92141497345906, 'R2_avg': -30.117931119336426}",73468.265625,73462.6328125,COMPLETE
7,73472.78125,2026-02-24 05:31:28.378303,2026-02-24 05:31:29.703807,0 days 00:00:01.325504,0.3,0.0003364867144187955,1,64,,73472.78125,,PRUNED
8,73472.578125,2026-02-24 05:31:29.704367,2026-02-24 05:31:31.944146,0 days 00:00:02.239779,0.2,0.00019657448966046135,2,64,,73472.578125,,PRUNED
9,73472.6953125,2026-02-24 05:31:31.944711,2026-02-24 05:31:34.108284,0 days 00:00:02.163573,0.0,0.0001483039268456802,2,64,,73472.6953125,,PRUNED
