number,value,datetime_start,datetime_complete,duration,params_dropout,params_filters,params_kernel_size,params_lr,params_rnn_type,params_rnn_units,user_attrs_val_metrics,system_attrs_completed_rung_0,system_attrs_completed_rung_1,state
0,73471.671875,2026-02-24 05:32:11.753510,2026-02-24 05:32:13.840289,0 days 00:00:02.086779,0.0,64,3,0.00018559980846490597,lstm,64,"{'MAE_15m': 71264.8984375, 'RMSE_15m': 72750.44995049859, 'sMAPE_15m': 199.9945741522083, 'R2_15m': -23.738375001017257, 'MAE_30m': 75678.4453125, 'RMSE_30m': 76707.61109564031, 'sMAPE_30m': 199.99368262768587, 'R2_30m': -36.5187398697668, 'MAE_avg': 73471.671875, 'RMSE_avg': 74729.03052306945, 'sMAPE_avg': 199.9941283899471, 'R2_avg': -30.128557435392025}",73472.75,73472.3671875,COMPLETE
1,73470.12890625,2026-02-24 05:32:13.841159,2026-02-24 05:32:15.989054,0 days 00:00:02.147895,0.3,96,7,0.000117115099555241,gru,96,"{'MAE_15m': 71263.0703125, 'RMSE_15m': 72748.7221605988, 'sMAPE_15m': 199.98332176332283, 'R2_15m': -23.73719920333425, 'MAE_30m': 75677.1875, 'RMSE_30m': 76706.39295391226, 'sMAPE_30m': 199.98661879782568, 'R2_30m': -36.51754989205138, 'MAE_avg': 73470.12890625, 'RMSE_avg': 74727.55755725552, 'sMAPE_avg': 199.98497028057426, 'R2_avg': -30.127374547692813}",73472.21875,73471.4921875,COMPLETE
2,73472.59375,2026-02-24 05:32:15.989861,2026-02-24 05:32:17.418445,0 days 00:00:01.428584,0.3,32,5,0.00024112898115291975,lstm,96,,73472.59375,,PRUNED
3,73472.3515625,2026-02-24 05:32:17.419069,2026-02-24 05:32:18.836696,0 days 00:00:01.417627,0.2,32,7,0.0003023795012558478,gru,64,,73472.3515625,,PRUNED
4,73465.81640625,2026-02-24 05:32:18.837321,2026-02-24 05:32:21.624761,0 days 00:00:02.787440,0.3,96,7,0.0011069143219393448,lstm,64,"{'MAE_15m': 71257.8984375, 'RMSE_15m': 72743.60189047556, 'sMAPE_15m': 199.95321384075746, 'R2_15m': -23.733720325945008, 'MAE_30m': 75673.734375, 'RMSE_30m': 76702.94867865251, 'sMAPE_30m': 199.96794854574858, 'R2_30m': -36.51418222098595, 'MAE_avg': 73465.81640625, 'RMSE_avg': 74723.27528456404, 'sMAPE_avg': 199.960581193253, 'R2_avg': -30.12395127346548}",73470.6328125,73467.90625,COMPLETE
5,73469.703125,2026-02-24 05:32:21.625627,2026-02-24 05:32:23.246070,0 days 00:00:01.620443,0.3,64,7,0.0004983319160125723,gru,32,,73471.515625,73469.703125,PRUNED
6,73466.5625,2026-02-24 05:32:23.246741,2026-02-24 05:32:25.343092,0 days 00:00:02.096351,0.0,96,5,0.0021907142272152816,lstm,32,"{'MAE_15m': 71260.234375, 'RMSE_15m': 72745.89286000963, 'sMAPE_15m': 199.9669704574, 'R2_15m': -23.73527598166383, 'MAE_30m': 75672.890625, 'RMSE_30m': 76702.12763672204, 'sMAPE_30m': 199.9634077712181, 'R2_30m': -36.513376140558194, 'MAE_avg': 73466.5625, 'RMSE_avg': 74724.01024836584, 'sMAPE_avg': 199.96518911430906, 'R2_avg': -30.124326061111013}",73470.28125,73467.859375,COMPLETE
7,73465.01953125,2026-02-24 05:32:25.343910,2026-02-24 05:32:27.429732,0 days 00:00:02.085822,0.3,96,7,0.0006261435181296009,gru,64,"{'MAE_15m': 71257.1328125, 'RMSE_15m': 72742.85933340811, 'sMAPE_15m': 199.94867585539316, 'R2_15m': -23.73321036761973, 'MAE_30m': 75672.90625, 'RMSE_30m': 76702.14098706763, 'sMAPE_30m': 199.9634770211319, 'R2_30m': -36.51339038645677, 'MAE_avg': 73465.01953125, 'RMSE_avg': 74722.50016023786, 'sMAPE_avg': 199.95607643826253, 'R2_avg': -30.123300377038248}",73470.0546875,73466.5703125,COMPLETE
8,73463.09375,2026-02-24 05:32:27.430539,2026-02-24 05:32:29.534082,0 days 00:00:02.103543,0.3,64,7,0.002470540427082325,lstm,64,"{'MAE_15m': 71257.03125, 'RMSE_15m': 72742.7537559584, 'sMAPE_15m': 199.94805356791286, 'R2_15m': -23.73314232603857, 'MAE_30m': 75669.15625, 'RMSE_30m': 76698.44285251168, 'sMAPE_30m': 199.9430297997334, 'R2_30m': -36.509770592665504, 'MAE_avg': 73463.09375, 'RMSE_avg': 74720.59830423504, 'sMAPE_avg': 199.94554168382314, 'R2_avg': -30.12145645935204}",73469.2265625,73465.53125,COMPLETE
9,73471.9453125,2026-02-24 05:32:29.534922,2026-02-24 05:32:30.926443,0 days 00:00:01.391521,0.0,96,5,0.00025798509464504095,lstm,64,,73471.9453125,,PRUNED
