number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_lambda,params_subsample,state
0,14436.888671875,2026-02-24 05:30:54.736685,2026-02-24 05:30:55.119707,0 days 00:00:00.383022,0.6624074561769746,4.330880728874676,0.08960785365368121,8,2,600,0.01555019165426488,0.8394633936788146,COMPLETE
1,13930.69921875,2026-02-24 05:30:55.120633,2026-02-24 05:30:55.886943,0 days 00:00:00.766310,0.9329770563201687,0.9170225492671691,0.010636066512540286,6,3,800,0.039829941698924086,0.9879639408647978,COMPLETE
2,15225.9609375,2026-02-24 05:30:55.887890,2026-02-24 05:30:56.211903,0 days 00:00:00.324013,0.8447411578889518,1.8318092164684585,0.03647316284911211,5,2,400,0.09212515846231674,0.7164916560792167,COMPLETE
3,14972.1875,2026-02-24 05:30:56.212833,2026-02-24 05:30:56.892324,0 days 00:00:00.679491,0.836965827544817,0.8526206184364576,0.018187859051288217,7,1,600,1.0128002032729382,0.8056937753654446,COMPLETE
4,16379.20703125,2026-02-24 05:30:56.893256,2026-02-24 05:30:57.086211,0 days 00:00:00.192955,0.7218455076693483,2.2007624686980067,0.18043311207136256,8,1,200,1.8141523033666782,0.9233589392465844,COMPLETE
5,13946.123046875,2026-02-24 05:30:57.087111,2026-02-24 05:30:57.245847,0 days 00:00:00.158736,0.7035119926400067,2.600340105889054,0.011085122517311707,5,7,200,0.10689751565977942,0.9637281608315128,COMPLETE
6,15690.8984375,2026-02-24 05:30:57.246763,2026-02-24 05:30:57.797112,0 days 00:00:00.550349,0.9757995766256756,4.609371175115584,0.18258230439200238,3,9,800,0.9412083349710854,0.9100531293444458,COMPLETE
7,14618.796875,2026-02-24 05:30:57.798242,2026-02-24 05:30:57.906840,0 days 00:00:00.108598,0.7554709158757928,1.7837666334679465,0.011450964268326641,3,3,200,5.441108375656199,0.7301321323053057,COMPLETE
8,13494.28515625,2026-02-24 05:30:57.907821,2026-02-24 05:30:58.203943,0 days 00:00:00.296122,0.6298202574719083,0.993578407670862,0.015252697030515175,5,10,400,3.5416296712651336,0.9208787923016158,COMPLETE
9,15224.0703125,2026-02-24 05:30:58.205075,2026-02-24 05:30:58.452299,0 days 00:00:00.247224,0.9085081386743783,0.5793452976256486,0.08310795711416077,7,1,200,0.15251273957388442,0.8916028672163949,COMPLETE
10,14930.068359375,2026-02-24 05:30:58.453251,2026-02-24 05:30:58.967395,0 days 00:00:00.514144,0.6058268031335812,3.3820892378437524,0.02513734458845407,2,10,1200,15.421779524164808,0.6071847502459278,COMPLETE
11,12777.7900390625,2026-02-24 05:30:58.968420,2026-02-24 05:30:59.827871,0 days 00:00:00.859451,0.9687557027925864,0.11389806391162005,0.01966123844936771,6,5,1000,0.016744675598767453,0.9783238879894853,COMPLETE
12,13202.318359375,2026-02-24 05:30:59.828902,2026-02-24 05:31:00.604851,0 days 00:00:00.775949,0.7951893439818287,0.25175903766896135,0.022251710164119174,4,6,1200,3.9207426397352263,0.9872607155373294,COMPLETE
13,13680.2314453125,2026-02-24 05:31:00.605936,2026-02-24 05:31:01.383786,0 days 00:00:00.777850,0.8056891692692756,0.022600131613415064,0.02843549464917024,4,6,1200,0.27943501488472383,0.9984066126989742,COMPLETE
14,12933.400390625,2026-02-24 05:31:01.384863,2026-02-24 05:31:02.108480,0 days 00:00:00.723617,0.8919339318126805,0.015630224751181088,0.04433258010720939,4,5,1000,18.38882690287094,0.8578694741072342,COMPLETE
15,13851.228515625,2026-02-24 05:31:02.109522,2026-02-24 05:31:02.892859,0 days 00:00:00.783337,0.896461276471979,1.4395464973253203,0.05957605944014814,6,4,1000,0.011705967709525965,0.8518161515540477,COMPLETE
16,14365.845703125,2026-02-24 05:31:02.893910,2026-02-24 05:31:03.598954,0 days 00:00:00.705044,0.9996431411907752,3.197342331354389,0.04733628014883408,4,5,1000,12.230019753284468,0.7303243926654445,COMPLETE
17,15253.958984375,2026-02-24 05:31:03.600016,2026-02-24 05:31:04.397166,0 days 00:00:00.797150,0.9451849717378943,0.045109124355299846,0.03623071959889056,6,8,1000,0.036550260431147584,0.7805465575012173,COMPLETE
18,15560.998046875,2026-02-24 05:31:04.398179,2026-02-24 05:31:04.841435,0 days 00:00:00.443256,0.8873218068392733,1.3231074934514773,0.07550420854148766,2,5,1000,0.7830078939168408,0.6344623708356529,COMPLETE
19,13671.7783203125,2026-02-24 05:31:04.842436,2026-02-24 05:31:05.284049,0 days 00:00:00.441613,0.964425313178058,0.49106840438683047,0.017317522727622235,3,7,800,0.26140835830359893,0.8499633928299742,COMPLETE
20,14084.6357421875,2026-02-24 05:31:05.284988,2026-02-24 05:31:05.852408,0 days 00:00:00.567420,0.8611610923100457,2.712886602730182,0.11826909151719973,7,4,1000,0.03164338629507807,0.951800318355228,COMPLETE
21,12717.03125,2026-02-24 05:31:05.853420,2026-02-24 05:31:06.688619,0 days 00:00:00.835199,0.7759594289206775,0.28377212201516744,0.02501866484600647,4,6,1200,7.540653180337405,0.9450824298277358,COMPLETE
22,13449.3125,2026-02-24 05:31:06.689695,2026-02-24 05:31:07.635267,0 days 00:00:00.945572,0.7777593784316027,0.6133411715922767,0.03465803983975777,4,7,1200,7.684237639021745,0.8796194770978417,COMPLETE
23,12578.3828125,2026-02-24 05:31:07.636357,2026-02-24 05:31:08.766668,0 days 00:00:01.130311,0.9289107397245091,0.37225310368676695,0.04843658223668321,5,4,1200,18.936171116194153,0.9514508026332132,COMPLETE
24,13607.921875,2026-02-24 05:31:08.767718,2026-02-24 05:31:09.797422,0 days 00:00:01.029704,0.7442578096512015,1.303147026067885,0.020566861211876807,6,4,1200,2.1321309167212346,0.9555196899484737,COMPLETE
