number,value,datetime_start,datetime_complete,duration,params_dropout,params_filters,params_kernel_size,params_lr,user_attrs_val_metrics,system_attrs_completed_rung_0,system_attrs_completed_rung_1,state
0,841204.71875,2026-02-24 05:33:39.920762,2026-02-24 05:33:40.959005,0 days 00:00:01.038243,0.2,64,3,0.0011114989443094978,"{'MAE_15m': 858042.1875, 'RMSE_15m': 865051.0845123541, 'sMAPE_15m': 199.99096031406614, 'R2_15m': -60.96124674470705, 'MAE_30m': 824367.25, 'RMSE_30m': 836537.4560221437, 'sMAPE_30m': 199.98715690883571, 'R2_30m': -33.62031392664015, 'MAE_avg': 841204.71875, 'RMSE_avg': 850794.2702672489, 'sMAPE_avg': 199.98905861145093, 'R2_avg': -47.2907803356736}",841225.1875,841220.1875,COMPLETE
1,841226.75,2026-02-24 05:33:40.959729,2026-02-24 05:33:41.515454,0 days 00:00:00.555725,0.2,64,3,0.0002692655251486473,,841226.75,,PRUNED
2,841227.0625,2026-02-24 05:33:41.516169,2026-02-24 05:33:42.073289,0 days 00:00:00.557120,0.3,32,7,0.000117115099555241,,841227.0625,,PRUNED
3,841222.9375,2026-02-24 05:33:42.073957,2026-02-24 05:33:42.799795,0 days 00:00:00.725838,0.3,32,5,0.00044684675025045853,,841225.0625,841222.9375,PRUNED
4,841226.5625,2026-02-24 05:33:42.800418,2026-02-24 05:33:43.347988,0 days 00:00:00.547570,0.3,64,3,0.00018752209455786411,,841226.5625,,PRUNED
5,841225.8125,2026-02-24 05:33:43.348581,2026-02-24 05:33:43.902469,0 days 00:00:00.553888,0.2,32,7,0.0003023795012558478,,841225.8125,,PRUNED
6,839914.6875,2026-02-24 05:33:43.903170,2026-02-24 05:33:44.934312,0 days 00:00:01.031142,0.2,96,7,0.002869139536545374,"{'MAE_15m': 856585.4375, 'RMSE_15m': 863601.1926995006, 'sMAPE_15m': 199.29940731779212, 'R2_15m': -60.753723136263595, 'MAE_30m': 823243.9375, 'RMSE_30m': 835427.9854350104, 'sMAPE_30m': 199.4219177787966, 'R2_30m': -33.528546026573, 'MAE_avg': 839914.6875, 'RMSE_avg': 849514.5890672555, 'sMAPE_avg': 199.36066254829436, 'R2_avg': -47.1411345814183}",841203.1875,841008.375,COMPLETE
7,841227.0625,2026-02-24 05:33:44.935031,2026-02-24 05:33:45.510069,0 days 00:00:00.575038,0.0,32,3,0.0001483039268456802,,841227.0625,,PRUNED
8,841225.9375,2026-02-24 05:33:45.510918,2026-02-24 05:33:46.091090,0 days 00:00:00.580172,0.3,32,7,0.0004983319160125723,,841225.9375,,PRUNED
9,841226.4375,2026-02-24 05:33:46.091853,2026-02-24 05:33:46.618756,0 days 00:00:00.526903,0.0,96,5,0.00014433402406338895,,841226.4375,,PRUNED
