number,value,datetime_start,datetime_complete,duration,params_dropout,params_gru_units,params_lr,params_lstm_units,user_attrs_val_metrics,system_attrs_completed_rung_0,system_attrs_completed_rung_1,state
0,841224.65625,2026-02-24 05:33:11.433344,2026-02-24 05:33:14.403983,0 days 00:00:02.970639,0.2,64,0.0011114989443094978,32,"{'MAE_15m': 858058.0625, 'RMSE_15m': 865066.9560213244, 'sMAPE_15m': 199.9985846044101, 'R2_15m': -60.963524377875366, 'MAE_30m': 824391.25, 'RMSE_30m': 836560.9974556548, 'sMAPE_30m': 199.9992771775472, 'R2_30m': -33.622267206508035, 'MAE_avg': 841224.65625, 'RMSE_avg': 850813.9767384896, 'sMAPE_avg': 199.99893089097867, 'R2_avg': -47.2928957921917}",841226.625,841225.9375,COMPLETE
1,841226.25,2026-02-24 05:33:14.404900,2026-02-24 05:33:17.411440,0 days 00:00:03.006540,0.2,64,0.0002692655251486473,32,,841226.5625,841226.25,PRUNED
2,841226.625,2026-02-24 05:33:17.412094,2026-02-24 05:33:19.659062,0 days 00:00:02.246968,0.3,32,0.000117115099555241,96,,841226.625,,PRUNED
3,841226.0,2026-02-24 05:33:19.659764,2026-02-24 05:33:22.062574,0 days 00:00:02.402810,0.3,32,0.00044684675025045853,64,,841226.4375,841226.0,PRUNED
4,841227.0625,2026-02-24 05:33:22.063204,2026-02-24 05:33:24.216852,0 days 00:00:02.153648,0.3,64,0.00018752209455786411,32,,841227.0625,,PRUNED
5,841226.625,2026-02-24 05:33:24.217478,2026-02-24 05:33:26.390960,0 days 00:00:02.173482,0.2,32,0.0003023795012558478,96,,841226.625,,PRUNED
6,841210.5625,2026-02-24 05:33:26.391568,2026-02-24 05:33:30.112515,0 days 00:00:03.720947,0.2,96,0.002869139536545374,96,"{'MAE_15m': 858045.9375, 'RMSE_15m': 865054.8346087663, 'sMAPE_15m': 199.99275676859475, 'R2_15m': -60.96178692411344, 'MAE_30m': 824375.1875, 'RMSE_30m': 836545.1726715062, 'sMAPE_30m': 199.9911367645422, 'R2_30m': -33.62095706179508, 'MAE_avg': 841210.5625, 'RMSE_avg': 850800.0036401362, 'sMAPE_avg': 199.99194676656847, 'R2_avg': -47.29137199295426}",841222.0,841215.1875,COMPLETE
7,841226.5625,2026-02-24 05:33:30.113324,2026-02-24 05:33:32.309255,0 days 00:00:02.195931,0.0,32,0.0001483039268456802,32,,841226.5625,,PRUNED
8,841225.9375,2026-02-24 05:33:32.309836,2026-02-24 05:33:34.658130,0 days 00:00:02.348294,0.3,32,0.0004983319160125723,96,,841226.5625,841225.9375,PRUNED
9,841226.375,2026-02-24 05:33:34.658752,2026-02-24 05:33:36.980130,0 days 00:00:02.321378,0.0,96,0.00014433402406338895,64,,841226.5625,841226.375,PRUNED
