number,value,datetime_start,datetime_complete,duration,params_dropout,params_lr,params_num_layers,params_units,user_attrs_val_metrics,system_attrs_completed_rung_0,system_attrs_completed_rung_1,state
0,841217.78125,2026-02-24 05:32:45.100836,2026-02-24 05:32:48.971707,0 days 00:00:03.870871,0.0,0.00190303683817358,2,64,"{'MAE_15m': 858051.9375, 'RMSE_15m': 865060.8574568613, 'sMAPE_15m': 199.99565041603776, 'R2_15m': -60.96264775796198, 'MAE_30m': 824383.625, 'RMSE_30m': 836553.5159737242, 'sMAPE_30m': 199.99540969846166, 'R2_30m': -33.62164706151904, 'MAE_avg': 841217.78125, 'RMSE_avg': 850807.1867152927, 'sMAPE_avg': 199.9955300572497, 'R2_avg': -47.29214740974051}",841225.9375,841221.8125,COMPLETE
1,841226.9375,2026-02-24 05:32:48.972434,2026-02-24 05:32:51.197776,0 days 00:00:02.225342,0.0,0.00018659959624904942,2,64,,841226.9375,,PRUNED
2,841226.5625,2026-02-24 05:32:51.198419,2026-02-24 05:32:52.486536,0 days 00:00:01.288117,0.0,0.0003476649150592621,1,64,,841226.5625,,PRUNED
3,841227.1875,2026-02-24 05:32:52.487127,2026-02-24 05:32:54.706628,0 days 00:00:02.219501,0.3,0.0001786013788939711,2,64,,841227.1875,,PRUNED
4,841226.1875,2026-02-24 05:32:54.707275,2026-02-24 05:32:57.593851,0 days 00:00:02.886576,0.3,0.00044684675025045853,2,96,,841226.1875,,PRUNED
5,841226.25,2026-02-24 05:32:57.594462,2026-02-24 05:32:59.819673,0 days 00:00:02.225211,0.2,0.000586412916969653,2,64,,841226.25,,PRUNED
6,841212.25,2026-02-24 05:32:59.820250,2026-02-24 05:33:02.828135,0 days 00:00:03.007885,0.0,0.002299958642814372,2,96,"{'MAE_15m': 858046.5625, 'RMSE_15m': 865055.4406834281, 'sMAPE_15m': 199.99305348389734, 'R2_15m': -60.96187473409913, 'MAE_30m': 824377.9375, 'RMSE_30m': 836547.8754404915, 'sMAPE_30m': 199.99250839235708, 'R2_30m': -33.62117900532013, 'MAE_avg': 841212.25, 'RMSE_avg': 850801.6580619598, 'sMAPE_avg': 199.99278093812723, 'R2_avg': -47.29152686970963}",841223.625,841216.375,COMPLETE
7,841226.9375,2026-02-24 05:33:02.828856,2026-02-24 05:33:04.127721,0 days 00:00:01.298865,0.3,0.0003364867144187955,1,64,,841226.9375,,PRUNED
8,841226.625,2026-02-24 05:33:04.128302,2026-02-24 05:33:06.915942,0 days 00:00:02.787640,0.2,0.00019657448966046135,2,64,,841226.625,,PRUNED
9,841226.5625,2026-02-24 05:33:06.916520,2026-02-24 05:33:09.186052,0 days 00:00:02.269532,0.0,0.0001483039268456802,2,64,,841226.5625,,PRUNED
