number,value,datetime_start,datetime_complete,duration,params_dropout,params_filters,params_kernel_size,params_lr,params_rnn_type,params_rnn_units,user_attrs_val_metrics,system_attrs_completed_rung_0,system_attrs_completed_rung_1,state
0,841225.09375,2026-02-24 05:33:47.164548,2026-02-24 05:33:49.217168,0 days 00:00:02.052620,0.0,64,3,0.00018559980846490597,lstm,64,"{'MAE_15m': 858059.1875, 'RMSE_15m': 865068.0166368423, 'sMAPE_15m': 199.9990750350843, 'R2_15m': -60.96367064563244, 'MAE_30m': 824391.0, 'RMSE_30m': 836560.7624362978, 'sMAPE_30m': 199.99911854573767, 'R2_30m': -33.62224686905355, 'MAE_avg': 841225.09375, 'RMSE_avg': 850814.3895365701, 'sMAPE_avg': 199.999096790411, 'R2_avg': -47.292958757342994}",841226.625,841225.9375,COMPLETE
1,841222.09375,2026-02-24 05:33:49.217967,2026-02-24 05:33:51.300427,0 days 00:00:02.082460,0.3,96,7,0.000117115099555241,gru,96,"{'MAE_15m': 858056.1875, 'RMSE_15m': 865065.0620618082, 'sMAPE_15m': 199.99766417750217, 'R2_15m': -60.963255521458485, 'MAE_30m': 824388.0, 'RMSE_30m': 836557.8246887659, 'sMAPE_30m': 199.9975778841427, 'R2_30m': -33.62200090375254, 'MAE_avg': 841222.09375, 'RMSE_avg': 850811.4433752871, 'sMAPE_avg': 199.99762103082242, 'R2_avg': -47.292628212605514}",841225.4375,841224.0,COMPLETE
2,841226.4375,2026-02-24 05:33:51.301190,2026-02-24 05:33:53.237823,0 days 00:00:01.936633,0.3,32,5,0.00024112898115291975,lstm,96,,841226.4375,,PRUNED
3,841226.5625,2026-02-24 05:33:53.238485,2026-02-24 05:33:54.668817,0 days 00:00:01.430332,0.2,32,7,0.0003023795012558478,gru,64,,841226.5625,,PRUNED
4,841218.40625,2026-02-24 05:33:54.669441,2026-02-24 05:33:56.815369,0 days 00:00:02.145928,0.3,96,7,0.0011069143219393448,lstm,64,"{'MAE_15m': 858052.25, 'RMSE_15m': 865061.1983715371, 'sMAPE_15m': 199.99582941497698, 'R2_15m': -60.96270004930177, 'MAE_30m': 824384.5625, 'RMSE_30m': 836554.3777185079, 'sMAPE_30m': 199.99583034046177, 'R2_30m': -33.62171470566114, 'MAE_avg': 841218.40625, 'RMSE_avg': 850807.7880450225, 'sMAPE_avg': 199.99582987771936, 'R2_avg': -47.29220737748146}",841223.5625,841220.0625,COMPLETE
5,841225.75,2026-02-24 05:33:56.816130,2026-02-24 05:33:58.252757,0 days 00:00:01.436627,0.3,64,7,0.0004983319160125723,gru,32,,841225.75,,PRUNED
6,841222.4375,2026-02-24 05:33:58.253411,2026-02-24 05:33:59.842607,0 days 00:00:01.589196,0.0,96,5,0.0021907142272152816,lstm,32,,841223.8125,841222.4375,PRUNED
7,841220.625,2026-02-24 05:33:59.843238,2026-02-24 05:34:01.436342,0 days 00:00:01.593104,0.3,96,7,0.0006261435181296009,gru,64,,841223.0,841220.625,PRUNED
8,841215.53125,2026-02-24 05:34:01.436942,2026-02-24 05:34:03.538941,0 days 00:00:02.101999,0.3,64,7,0.002470540427082325,lstm,64,"{'MAE_15m': 858048.25, 'RMSE_15m': 865057.2589048658, 'sMAPE_15m': 199.9939218240616, 'R2_15m': -60.962131997624645, 'MAE_30m': 824382.8125, 'RMSE_30m': 836552.6933983298, 'sMAPE_30m': 199.99499161489766, 'R2_30m': -33.62157720678407, 'MAE_avg': 841215.53125, 'RMSE_avg': 850804.9761515978, 'sMAPE_avg': 199.99445671947962, 'R2_avg': -47.29185460220435}",841221.9375,841218.0625,COMPLETE
9,841226.1875,2026-02-24 05:34:03.539671,2026-02-24 05:34:05.561355,0 days 00:00:02.021684,0.0,96,5,0.00025798509464504095,lstm,64,,841226.1875,,PRUNED
