number,value,datetime_start,datetime_complete,duration,params_dropout,params_filters,params_kernel_size,params_lr,user_attrs_val_metrics,system_attrs_completed_rung_0,system_attrs_completed_rung_1,state
0,482656.84375,2026-02-24 05:35:17.185549,2026-02-24 05:35:18.223628,0 days 00:00:01.038079,0.2,64,3,0.0011114989443094978,"{'MAE_15m': 482736.0, 'RMSE_15m': 482737.9109703318, 'sMAPE_15m': 199.9963182638011, 'R2_15m': -127081.3817172943, 'MAE_30m': 482577.6875, 'RMSE_30m': 482579.79375850374, 'sMAPE_30m': 199.99184403472333, 'R2_30m': -116791.1134299155, 'MAE_avg': 482656.84375, 'RMSE_avg': 482658.85236441775, 'sMAPE_avg': 199.99408114926223, 'R2_avg': -121936.2475736049}",482663.40625,482661.5625,COMPLETE
1,482663.9375,2026-02-24 05:35:18.224415,2026-02-24 05:35:18.778064,0 days 00:00:00.553649,0.2,64,3,0.0002692655251486473,,482663.9375,,PRUNED
2,482664.0,2026-02-24 05:35:18.778701,2026-02-24 05:35:19.341995,0 days 00:00:00.563294,0.3,32,7,0.000117115099555241,,482664.0,,PRUNED
3,482663.75,2026-02-24 05:35:19.342645,2026-02-24 05:35:19.897376,0 days 00:00:00.554731,0.3,32,5,0.00044684675025045853,,482663.75,,PRUNED
4,482663.90625,2026-02-24 05:35:19.897975,2026-02-24 05:35:20.448187,0 days 00:00:00.550212,0.3,64,3,0.00018752209455786411,,482663.90625,,PRUNED
5,482663.8125,2026-02-24 05:35:20.448819,2026-02-24 05:35:20.989180,0 days 00:00:00.540361,0.2,32,7,0.0003023795012558478,,482663.8125,,PRUNED
6,482344.421875,2026-02-24 05:35:20.989778,2026-02-24 05:35:22.032219,0 days 00:00:01.042441,0.2,96,7,0.002869139536545374,"{'MAE_15m': 482430.15625, 'RMSE_15m': 482431.89811620046, 'sMAPE_15m': 199.74325072177908, 'R2_15m': -126920.30781119422, 'MAE_30m': 482258.6875, 'RMSE_30m': 482260.5500598198, 'sMAPE_30m': 199.72788092087754, 'R2_30m': -116636.6386128308, 'MAE_avg': 482344.421875, 'RMSE_avg': 482346.22408801015, 'sMAPE_avg': 199.7355658213283, 'R2_avg': -121778.4732120125}",482657.8125,482612.4375,COMPLETE
7,482663.8125,2026-02-24 05:35:22.033011,2026-02-24 05:35:22.561759,0 days 00:00:00.528748,0.0,32,3,0.0001483039268456802,,482663.8125,,PRUNED
8,482663.84375,2026-02-24 05:35:22.562377,2026-02-24 05:35:23.104373,0 days 00:00:00.541996,0.3,32,7,0.0004983319160125723,,482663.84375,,PRUNED
9,482663.0,2026-02-24 05:35:23.105007,2026-02-24 05:35:23.804401,0 days 00:00:00.699394,0.0,96,5,0.00014433402406338895,,482663.4375,482663.0,PRUNED
