number,value,datetime_start,datetime_complete,duration,params_dropout,params_gru_units,params_lr,params_lstm_units,user_attrs_val_metrics,system_attrs_completed_rung_0,system_attrs_completed_rung_1,state
0,482661.234375,2026-02-24 05:34:49.154829,2026-02-24 05:34:52.747270,0 days 00:00:03.592441,0.2,64,0.0011114989443094978,32,"{'MAE_15m': 482738.5625, 'RMSE_15m': 482740.4394744654, 'sMAPE_15m': 199.99841655400817, 'R2_15m': -127082.71031478468, 'MAE_30m': 482583.90625, 'RMSE_30m': 482585.9558006221, 'sMAPE_30m': 199.99696042359065, 'R2_30m': -116794.10511515824, 'MAE_avg': 482661.234375, 'RMSE_avg': 482663.1976375438, 'sMAPE_avg': 199.9976884887994, 'R2_avg': -121938.40771497146}",482663.75,482663.0625,COMPLETE
1,482663.8125,2026-02-24 05:34:52.748098,2026-02-24 05:34:54.946388,0 days 00:00:02.198290,0.2,64,0.0002692655251486473,32,,482663.8125,,PRUNED
2,482663.9375,2026-02-24 05:34:54.947018,2026-02-24 05:34:57.135397,0 days 00:00:02.188379,0.3,32,0.000117115099555241,96,,482663.9375,,PRUNED
3,482663.34375,2026-02-24 05:34:57.136142,2026-02-24 05:34:59.506771,0 days 00:00:02.370629,0.3,32,0.00044684675025045853,64,,482663.75,482663.34375,PRUNED
4,482663.90625,2026-02-24 05:34:59.507392,2026-02-24 05:35:02.311923,0 days 00:00:02.804531,0.3,64,0.00018752209455786411,32,,482663.90625,,PRUNED
5,482663.84375,2026-02-24 05:35:02.312551,2026-02-24 05:35:04.550796,0 days 00:00:02.238245,0.2,32,0.0003023795012558478,96,,482663.84375,,PRUNED
6,482648.03125,2026-02-24 05:35:04.551415,2026-02-24 05:35:07.545749,0 days 00:00:02.994334,0.2,96,0.002869139536545374,96,"{'MAE_15m': 482724.5, 'RMSE_15m': 482726.43920133484, 'sMAPE_15m': 199.98678903282286, 'R2_15m': -127075.32752994068, 'MAE_30m': 482571.5625, 'RMSE_30m': 482573.6146620534, 'sMAPE_30m': 199.98673000324942, 'R2_30m': -116788.13406966002, 'MAE_avg': 482648.03125, 'RMSE_avg': 482650.0269316941, 'sMAPE_avg': 199.98675951803614, 'R2_avg': -121931.73079980035}",482661.3125,482652.9375,COMPLETE
7,482663.84375,2026-02-24 05:35:07.546489,2026-02-24 05:35:09.771513,0 days 00:00:02.225024,0.0,32,0.0001483039268456802,32,,482663.84375,,PRUNED
8,482663.84375,2026-02-24 05:35:09.772095,2026-02-24 05:35:11.943279,0 days 00:00:02.171184,0.3,32,0.0004983319160125723,96,,482663.84375,,PRUNED
9,482663.9375,2026-02-24 05:35:11.943902,2026-02-24 05:35:14.879339,0 days 00:00:02.935437,0.0,96,0.00014433402406338895,64,,482663.9375,,PRUNED
