number,value,datetime_start,datetime_complete,duration,params_dropout,params_lr,params_num_layers,params_units,user_attrs_val_metrics,system_attrs_completed_rung_0,system_attrs_completed_rung_1,state
0,482654.234375,2026-02-24 05:34:23.374044,2026-02-24 05:34:26.368889,0 days 00:00:02.994845,0.0,0.00190303683817358,2,64,"{'MAE_15m': 482731.0625, 'RMSE_15m': 482733.0066527459, 'sMAPE_15m': 199.99224788789488, 'R2_15m': -127078.79510684732, 'MAE_30m': 482577.40625, 'RMSE_30m': 482579.4372743207, 'sMAPE_30m': 199.99154329963952, 'R2_30m': -116790.94088009375, 'MAE_avg': 482654.234375, 'RMSE_avg': 482656.2219635333, 'sMAPE_avg': 199.9918955937672, 'R2_avg': -121934.86799347054}",482663.4375,482657.90625,COMPLETE
1,482664.09375,2026-02-24 05:34:26.369679,2026-02-24 05:34:28.554773,0 days 00:00:02.185094,0.0,0.00018659959624904942,2,64,,482664.09375,,PRUNED
2,482663.1875,2026-02-24 05:34:28.555360,2026-02-24 05:34:30.017317,0 days 00:00:01.461957,0.0,0.0003476649150592621,1,64,,482663.40625,482663.1875,PRUNED
3,482663.84375,2026-02-24 05:34:30.017883,2026-02-24 05:34:33.059474,0 days 00:00:03.041591,0.3,0.0001786013788939711,2,64,,482663.84375,,PRUNED
4,482663.9375,2026-02-24 05:34:33.060110,2026-02-24 05:34:35.279420,0 days 00:00:02.219310,0.3,0.00044684675025045853,2,96,,482663.9375,,PRUNED
5,482663.9375,2026-02-24 05:34:35.280009,2026-02-24 05:34:37.509917,0 days 00:00:02.229908,0.2,0.000586412916969653,2,64,,482663.9375,,PRUNED
6,482649.953125,2026-02-24 05:34:37.510571,2026-02-24 05:34:40.540365,0 days 00:00:03.029794,0.0,0.002299958642814372,2,96,"{'MAE_15m': 482728.0625, 'RMSE_15m': 482729.98597559694, 'sMAPE_15m': 199.98975758206376, 'R2_15m': -127077.20472114935, 'MAE_30m': 482571.84375, 'RMSE_30m': 482573.886272351, 'sMAPE_30m': 199.9869793697765, 'R2_30m': -116788.27046618579, 'MAE_avg': 482649.953125, 'RMSE_avg': 482651.936123974, 'sMAPE_avg': 199.98836847592014, 'R2_avg': -121932.73759366757}",482662.65625,482654.09375,COMPLETE
7,482664.09375,2026-02-24 05:34:40.541107,2026-02-24 05:34:42.463132,0 days 00:00:01.922025,0.3,0.0003364867144187955,1,64,,482664.09375,,PRUNED
8,482663.8125,2026-02-24 05:34:42.463752,2026-02-24 05:34:44.741566,0 days 00:00:02.277814,0.2,0.00019657448966046135,2,64,,482663.8125,,PRUNED
9,482664.15625,2026-02-24 05:34:44.742173,2026-02-24 05:34:46.952466,0 days 00:00:02.210293,0.0,0.0001483039268456802,2,64,,482664.15625,,PRUNED
