number,value,datetime_start,datetime_complete,duration,params_dropout,params_filters,params_kernel_size,params_lr,params_rnn_type,params_rnn_units,user_attrs_val_metrics,system_attrs_completed_rung_0,system_attrs_completed_rung_1,state
0,482662.34375,2026-02-24 05:35:24.360326,2026-02-24 05:35:26.998267,0 days 00:00:02.637941,0.0,64,3,0.00018559980846490597,lstm,64,"{'MAE_15m': 482738.6875, 'RMSE_15m': 482740.6261420309, 'sMAPE_15m': 199.99856248941927, 'R2_15m': -127082.80502314646, 'MAE_30m': 482586.0, 'RMSE_30m': 482588.07769774005, 'sMAPE_30m': 199.99869606461462, 'R2_30m': -116795.11987244326, 'MAE_avg': 482662.34375, 'RMSE_avg': 482664.3519198855, 'sMAPE_avg': 199.99862927701696, 'R2_avg': -121938.96244779485}",482663.75,482663.25,COMPLETE
1,482662.125,2026-02-24 05:35:26.999116,2026-02-24 05:35:29.105430,0 days 00:00:02.106314,0.3,96,7,0.000117115099555241,gru,96,"{'MAE_15m': 482738.3125, 'RMSE_15m': 482740.16795787774, 'sMAPE_15m': 199.99818126078927, 'R2_15m': -127082.56199791621, 'MAE_30m': 482585.9375, 'RMSE_30m': 482587.99282203446, 'sMAPE_30m': 199.99865490073492, 'R2_30m': -116795.0935791371, 'MAE_avg': 482662.125, 'RMSE_avg': 482664.0803899561, 'sMAPE_avg': 199.9984180807621, 'R2_avg': -121938.82778852666}",482663.6875,482663.1875,COMPLETE
2,482663.8125,2026-02-24 05:35:29.106416,2026-02-24 05:35:30.588423,0 days 00:00:01.482007,0.3,32,5,0.00024112898115291975,lstm,96,,482663.8125,,PRUNED
3,482663.8125,2026-02-24 05:35:30.589058,2026-02-24 05:35:32.041087,0 days 00:00:01.452029,0.2,32,7,0.0003023795012558478,gru,64,,482663.8125,,PRUNED
4,482656.875,2026-02-24 05:35:32.041801,2026-02-24 05:35:34.153327,0 days 00:00:02.111526,0.3,96,7,0.0011069143219393448,lstm,64,"{'MAE_15m': 482733.65625, 'RMSE_15m': 482735.586092428, 'sMAPE_15m': 199.99439137795054, 'R2_15m': -127080.15408249148, 'MAE_30m': 482580.09375, 'RMSE_30m': 482582.15333764674, 'sMAPE_30m': 199.9938067009434, 'R2_30m': -116792.26129706301, 'MAE_avg': 482656.875, 'RMSE_avg': 482658.8697150374, 'sMAPE_avg': 199.99409903944695, 'R2_avg': -121936.20768977725}",482662.0625,482658.84375,COMPLETE
5,482661.4375,2026-02-24 05:35:34.154143,2026-02-24 05:35:35.788515,0 days 00:00:01.634372,0.3,64,7,0.0004983319160125723,gru,32,,482662.90625,482661.4375,PRUNED
6,482658.9375,2026-02-24 05:35:35.789152,2026-02-24 05:35:37.390072,0 days 00:00:01.600920,0.0,96,5,0.0021907142272152816,lstm,32,,482660.75,482658.9375,PRUNED
7,482662.09375,2026-02-24 05:35:37.390702,2026-02-24 05:35:39.500639,0 days 00:00:02.109937,0.3,96,7,0.0006261435181296009,gru,64,,482662.09375,,PRUNED
8,482653.53125,2026-02-24 05:35:39.501286,2026-02-24 05:35:41.651702,0 days 00:00:02.150416,0.3,64,7,0.002470540427082325,lstm,64,"{'MAE_15m': 482731.15625, 'RMSE_15m': 482733.09150295466, 'sMAPE_15m': 199.99230515594272, 'R2_15m': -127078.83084585177, 'MAE_30m': 482575.90625, 'RMSE_30m': 482577.9434329754, 'sMAPE_30m': 199.99031027677634, 'R2_30m': -116790.22192250314, 'MAE_avg': 482653.53125, 'RMSE_avg': 482655.517467965, 'sMAPE_avg': 199.99130771635953, 'R2_avg': -121934.52638417746}",482660.0,482656.09375,COMPLETE
9,482663.6875,2026-02-24 05:35:41.652521,2026-02-24 05:35:43.050855,0 days 00:00:01.398334,0.0,96,5,0.00025798509464504095,lstm,64,,482663.6875,,PRUNED
