number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_lambda,params_subsample,state
0,9665.1064453125,2026-02-24 05:34:07.094555,2026-02-24 05:34:07.640822,0 days 00:00:00.546267,0.6624074561769746,4.330880728874676,0.08960785365368121,8,2,600,0.01555019165426488,0.8394633936788146,COMPLETE
1,9070.29296875,2026-02-24 05:34:07.641758,2026-02-24 05:34:08.614043,0 days 00:00:00.972285,0.9329770563201687,0.9170225492671691,0.010636066512540286,6,3,800,0.039829941698924086,0.9879639408647978,COMPLETE
2,8504.3203125,2026-02-24 05:34:08.615010,2026-02-24 05:34:08.925818,0 days 00:00:00.310808,0.8447411578889518,1.8318092164684585,0.03647316284911211,5,2,400,0.09212515846231674,0.7164916560792167,COMPLETE
3,2775.279296875,2026-02-24 05:34:08.926874,2026-02-24 05:34:09.649190,0 days 00:00:00.722316,0.836965827544817,0.8526206184364576,0.018187859051288217,7,1,600,1.0128002032729382,0.8056937753654446,COMPLETE
4,3082.89697265625,2026-02-24 05:34:09.650133,2026-02-24 05:34:09.833251,0 days 00:00:00.183118,0.7218455076693483,2.2007624686980067,0.18043311207136256,8,1,200,1.8141523033666782,0.9233589392465844,COMPLETE
5,6969.2216796875,2026-02-24 05:34:09.834150,2026-02-24 05:34:09.985954,0 days 00:00:00.151804,0.7035119926400067,2.600340105889054,0.011085122517311707,5,7,200,0.10689751565977942,0.9637281608315128,COMPLETE
6,21340.87890625,2026-02-24 05:34:09.986858,2026-02-24 05:34:10.430119,0 days 00:00:00.443261,0.9757995766256756,4.609371175115584,0.18258230439200238,3,9,800,0.9412083349710854,0.9100531293444458,COMPLETE
7,7643.8408203125,2026-02-24 05:34:10.431059,2026-02-24 05:34:10.526799,0 days 00:00:00.095740,0.7554709158757928,1.7837666334679465,0.011450964268326641,3,3,200,5.441108375656199,0.7301321323053057,COMPLETE
8,7228.4677734375,2026-02-24 05:34:10.527722,2026-02-24 05:34:10.765042,0 days 00:00:00.237320,0.6298202574719083,0.993578407670862,0.015252697030515175,5,10,400,3.5416296712651336,0.9208787923016158,COMPLETE
9,2444.347412109375,2026-02-24 05:34:10.766009,2026-02-24 05:34:10.999175,0 days 00:00:00.233166,0.9085081386743783,0.5793452976256486,0.08310795711416077,7,1,200,0.15251273957388442,0.8916028672163949,COMPLETE
10,19896.515625,2026-02-24 05:34:11.000077,2026-02-24 05:34:11.547305,0 days 00:00:00.547228,0.9016552640704525,0.05557192411355649,0.06832074860620659,2,5,1200,14.73099293843444,0.6071847502459278,COMPLETE
11,17784.53515625,2026-02-24 05:34:11.556604,2026-02-24 05:34:12.599277,0 days 00:00:01.042673,0.8338781008362444,0.07825160285127264,0.02983578330374469,7,5,1200,0.3293275784857585,0.8234098923117161,COMPLETE
12,2540.5,2026-02-24 05:34:12.600295,2026-02-24 05:34:14.134221,0 days 00:00:01.533926,0.8849189151537689,3.263406001124904,0.022251710164119174,7,1,600,0.35254128784755845,0.7650970966716663,COMPLETE
13,18363.638671875,2026-02-24 05:34:14.135187,2026-02-24 05:34:15.118226,0 days 00:00:00.983039,0.990839665045629,3.3763123018256196,0.08206190594638875,7,4,1000,0.27943501488472383,0.7371197153065265,COMPLETE
14,2582.0146484375,2026-02-24 05:34:15.119207,2026-02-24 05:34:15.523733,0 days 00:00:00.404526,0.8919339318126805,3.474265229120208,0.02548161896815344,6,1,400,0.11049443609761823,0.8742018432515738,COMPLETE
15,16242.42578125,2026-02-24 05:34:15.524672,2026-02-24 05:34:16.657495,0 days 00:00:01.132823,0.7843562856440282,3.177607274202208,0.053335174222032634,6,7,600,0.39306701470057687,0.6662225125541512,COMPLETE
16,10794.9873046875,2026-02-24 05:34:16.658400,2026-02-24 05:34:17.092656,0 days 00:00:00.434256,0.930573919743892,4.138936297287705,0.1156974428349459,8,3,400,0.010366861039411193,0.7661908407490203,COMPLETE
17,17855.775390625,2026-02-24 05:34:17.093600,2026-02-24 05:34:17.695316,0 days 00:00:00.601716,0.8691903046053328,2.5198593412731074,0.04391036202181011,4,7,1000,0.15242530764587361,0.869096121129028,COMPLETE
18,13280.18359375,2026-02-24 05:34:17.696287,2026-02-24 05:34:18.539037,0 days 00:00:00.842750,0.9581576004721053,3.746566588476636,0.023039849078738094,7,2,800,0.023597763799983545,0.6750058646236455,COMPLETE
19,11048.09375,2026-02-24 05:34:18.540104,2026-02-24 05:34:18.908512,0 days 00:00:00.368408,0.8031692919158532,2.96204696698294,0.1115614317313292,6,4,200,0.046622224382709916,0.7800855856262465,COMPLETE
20,18954.03515625,2026-02-24 05:34:18.909625,2026-02-24 05:34:20.456400,0 days 00:00:01.546775,0.9083676119213667,1.645252406996627,0.05265512193612078,8,6,1000,0.5961213323997036,0.8693386818617739,COMPLETE
21,2594.385986328125,2026-02-24 05:34:20.457383,2026-02-24 05:34:20.955099,0 days 00:00:00.497716,0.881315175956939,3.7178873787794435,0.026325778237128224,6,1,400,0.18835771809556423,0.8664571818308495,COMPLETE
22,2666.127685546875,2026-02-24 05:34:20.956050,2026-02-24 05:34:21.891702,0 days 00:00:00.935652,0.8732501390433973,4.867145705142458,0.021666920439151315,7,1,400,0.07183899878549936,0.9476077563455207,COMPLETE
23,15176.7197265625,2026-02-24 05:34:21.892674,2026-02-24 05:34:22.418327,0 days 00:00:00.525653,0.9449923596722283,3.821346518465742,0.03137164791872821,6,2,600,0.1989796995480907,0.8905629482566882,COMPLETE
24,2405.75830078125,2026-02-24 05:34:22.419385,2026-02-24 05:34:22.898833,0 days 00:00:00.479448,0.9060313652950324,2.9091454234453553,0.015026766283705782,7,1,400,0.04484842616274591,0.8379116554674189,COMPLETE
