number,value,datetime_start,datetime_complete,duration,params_dropout,params_filters,params_kernel_size,params_lr,user_attrs_val_metrics,system_attrs_completed_rung_0,system_attrs_completed_rung_1,state
0,8990.79150390625,2026-02-24 05:36:52.544956,2026-02-24 05:36:53.570378,0 days 00:00:01.025422,0.2,64,3,0.0011114989443094978,"{'MAE_15m': 9210.5927734375, 'RMSE_15m': 9775.88093217179, 'sMAPE_15m': 191.97318120988868, 'R2_15m': -7.853975614145616, 'MAE_30m': 8770.990234375, 'RMSE_30m': 9858.101237053716, 'sMAPE_30m': 174.0623325611432, 'R2_30m': -3.7931347971584524, 'MAE_avg': 8990.79150390625, 'RMSE_avg': 9816.991084612753, 'sMAPE_avg': 183.01775688551595, 'R2_avg': -5.823555205652035}",9006.0966796875,9002.0595703125,COMPLETE
1,9007.525390625,2026-02-24 05:36:53.571150,2026-02-24 05:36:54.116989,0 days 00:00:00.545839,0.2,64,3,0.0002692655251486473,,9007.525390625,,PRUNED
2,9007.4697265625,2026-02-24 05:36:54.117673,2026-02-24 05:36:54.664264,0 days 00:00:00.546591,0.3,32,7,0.000117115099555241,,9007.4697265625,,PRUNED
3,9007.55078125,2026-02-24 05:36:54.664858,2026-02-24 05:36:55.213877,0 days 00:00:00.549019,0.3,32,5,0.00044684675025045853,,9007.55078125,,PRUNED
4,9007.923828125,2026-02-24 05:36:55.214467,2026-02-24 05:36:55.768102,0 days 00:00:00.553635,0.3,64,3,0.00018752209455786411,,9007.923828125,,PRUNED
5,9007.5400390625,2026-02-24 05:36:55.768719,2026-02-24 05:36:56.315433,0 days 00:00:00.546714,0.2,32,7,0.0003023795012558478,,9007.5400390625,,PRUNED
6,8032.62890625,2026-02-24 05:36:56.316013,2026-02-24 05:36:57.340247,0 days 00:00:01.024234,0.2,96,7,0.002869139536545374,"{'MAE_15m': 8069.47607421875, 'RMSE_15m': 8554.24713227295, 'sMAPE_15m': 157.66583388881202, 'R2_15m': -5.779381760874056, 'MAE_30m': 7995.78173828125, 'RMSE_30m': 8937.360236669438, 'sMAPE_30m': 168.43733074326045, 'R2_30m': -2.939595231849532, 'MAE_avg': 8032.62890625, 'RMSE_avg': 8745.803684471193, 'sMAPE_avg': 163.05158231603622, 'R2_avg': -4.359488496361794}",8981.6025390625,8822.3740234375,COMPLETE
7,9006.857421875,2026-02-24 05:36:57.340983,2026-02-24 05:36:57.856429,0 days 00:00:00.515446,0.0,32,3,0.0001483039268456802,,9006.857421875,,PRUNED
8,9007.3896484375,2026-02-24 05:36:57.856992,2026-02-24 05:36:59.020324,0 days 00:00:01.163332,0.3,32,7,0.0004983319160125723,,9007.3896484375,,PRUNED
9,9007.2802734375,2026-02-24 05:36:59.020929,2026-02-24 05:36:59.575333,0 days 00:00:00.554404,0.0,96,5,0.00014433402406338895,,9007.2802734375,,PRUNED
