number,value,datetime_start,datetime_complete,duration,params_dropout,params_gru_units,params_lr,params_lstm_units,user_attrs_val_metrics,system_attrs_completed_rung_0,system_attrs_completed_rung_1,state
0,9003.8251953125,2026-02-24 05:36:23.931329,2026-02-24 05:36:27.612920,0 days 00:00:03.681591,0.2,64,0.0011114989443094978,32,"{'MAE_15m': 9229.140625, 'RMSE_15m': 9796.433228476577, 'sMAPE_15m': 182.42660241516532, 'R2_15m': -7.891242977277319, 'MAE_30m': 8778.509765625, 'RMSE_30m': 9865.992904923458, 'sMAPE_30m': 176.07649897817913, 'R2_30m': -3.8008118738196046, 'MAE_avg': 9003.8251953125, 'RMSE_avg': 9831.213066700016, 'sMAPE_avg': 179.2515506966722, 'R2_avg': -5.846027425548462}",9007.6123046875,9006.2509765625,COMPLETE
1,9008.03125,2026-02-24 05:36:27.613740,2026-02-24 05:36:29.825522,0 days 00:00:02.211782,0.2,64,0.0002692655251486473,32,,9008.03125,,PRUNED
2,9007.6552734375,2026-02-24 05:36:29.826174,2026-02-24 05:36:32.015853,0 days 00:00:02.189679,0.3,32,0.000117115099555241,96,,9007.6552734375,,PRUNED
3,9007.23046875,2026-02-24 05:36:32.016504,2026-02-24 05:36:34.388025,0 days 00:00:02.371521,0.3,32,0.00044684675025045853,64,,9007.58984375,9007.23046875,PRUNED
4,9007.3271484375,2026-02-24 05:36:34.388592,2026-02-24 05:36:37.507946,0 days 00:00:03.119354,0.3,64,0.00018752209455786411,32,,9007.4443359375,9007.3271484375,PRUNED
5,9007.892578125,2026-02-24 05:36:37.508587,2026-02-24 05:36:39.737506,0 days 00:00:02.228919,0.2,32,0.0003023795012558478,96,,9007.892578125,,PRUNED
6,8993.92041015625,2026-02-24 05:36:39.738164,2026-02-24 05:36:42.735038,0 days 00:00:02.996874,0.2,96,0.002869139536545374,96,"{'MAE_15m': 9220.0712890625, 'RMSE_15m': 9786.025546666022, 'sMAPE_15m': 191.3330391897919, 'R2_15m': -7.872360812477043, 'MAE_30m': 8767.76953125, 'RMSE_30m': 9854.21250024577, 'sMAPE_30m': 174.3639890577441, 'R2_30m': -3.7893536386627007, 'MAE_avg': 8993.92041015625, 'RMSE_avg': 9820.119023455896, 'sMAPE_avg': 182.84851412376798, 'R2_avg': -5.830857225569872}",9003.6474609375,8998.0302734375,COMPLETE
7,9008.0869140625,2026-02-24 05:36:42.735871,2026-02-24 05:36:44.891697,0 days 00:00:02.155826,0.0,32,0.0001483039268456802,32,,9008.0869140625,,PRUNED
8,9007.150390625,2026-02-24 05:36:44.892260,2026-02-24 05:36:48.067509,0 days 00:00:03.175249,0.3,32,0.0004983319160125723,96,,9007.5537109375,9007.150390625,PRUNED
9,9007.697265625,2026-02-24 05:36:48.068152,2026-02-24 05:36:50.292154,0 days 00:00:02.224002,0.0,96,0.00014433402406338895,64,,9007.697265625,,PRUNED
