number,value,datetime_start,datetime_complete,duration,params_dropout,params_lr,params_num_layers,params_units,user_attrs_val_metrics,system_attrs_completed_rung_0,system_attrs_completed_rung_1,state
0,8999.0029296875,2026-02-24 05:35:57.979631,2026-02-24 05:36:00.969446,0 days 00:00:02.989815,0.0,0.00190303683817358,2,64,"{'MAE_15m': 9225.375, 'RMSE_15m': 9792.136028466924, 'sMAPE_15m': 187.64568792040023, 'R2_15m': -7.883444045975027, 'MAE_30m': 8772.630859375, 'RMSE_30m': 9859.734276338282, 'sMAPE_30m': 174.24992823773954, 'R2_30m': -3.7947228151708003, 'MAE_avg': 8999.0029296875, 'RMSE_avg': 9825.935152402602, 'sMAPE_avg': 180.9478080790699, 'R2_avg': -5.839083430572914}",9006.5380859375,9002.4013671875,COMPLETE
1,9007.833984375,2026-02-24 05:36:00.970286,2026-02-24 05:36:03.161128,0 days 00:00:02.190842,0.0,0.00018659959624904942,2,64,,9007.833984375,,PRUNED
2,9007.302734375,2026-02-24 05:36:03.161686,2026-02-24 05:36:05.307925,0 days 00:00:02.146239,0.0,0.0003476649150592621,1,64,,9007.302734375,,PRUNED
3,9007.80078125,2026-02-24 05:36:05.308523,2026-02-24 05:36:07.584326,0 days 00:00:02.275803,0.3,0.0001786013788939711,2,64,,9007.80078125,,PRUNED
4,9007.814453125,2026-02-24 05:36:07.584982,2026-02-24 05:36:09.869619,0 days 00:00:02.284637,0.3,0.00044684675025045853,2,96,,9007.814453125,,PRUNED
5,9007.62109375,2026-02-24 05:36:09.870179,2026-02-24 05:36:12.090571,0 days 00:00:02.220392,0.2,0.000586412916969653,2,64,,9007.62109375,,PRUNED
6,8995.20556640625,2026-02-24 05:36:12.091161,2026-02-24 05:36:15.813530,0 days 00:00:03.722369,0.0,0.002299958642814372,2,96,"{'MAE_15m': 9221.349609375, 'RMSE_15m': 9787.497330778691, 'sMAPE_15m': 190.70184117560794, 'R2_15m': -7.87502948495675, 'MAE_30m': 8769.0615234375, 'RMSE_30m': 9855.863229570508, 'sMAPE_30m': 173.36087512262776, 'R2_30m': -3.7909581955704583, 'MAE_avg': 8995.20556640625, 'RMSE_avg': 9821.6802801746, 'sMAPE_avg': 182.03135814911786, 'R2_avg': -5.832993840263605}",9005.3154296875,8998.6064453125,COMPLETE
7,9008.2724609375,2026-02-24 05:36:15.814253,2026-02-24 05:36:17.229796,0 days 00:00:01.415543,0.3,0.0003364867144187955,1,64,,9008.2724609375,,PRUNED
8,9007.63671875,2026-02-24 05:36:17.230381,2026-02-24 05:36:19.495670,0 days 00:00:02.265289,0.2,0.00019657448966046135,2,64,,9007.63671875,,PRUNED
9,9007.8427734375,2026-02-24 05:36:19.496256,2026-02-24 05:36:21.682245,0 days 00:00:02.185989,0.0,0.0001483039268456802,2,64,,9007.8427734375,,PRUNED
