number,value,datetime_start,datetime_complete,duration,params_dropout,params_filters,params_kernel_size,params_lr,params_rnn_type,params_rnn_units,user_attrs_val_metrics,system_attrs_completed_rung_0,system_attrs_completed_rung_1,state
0,9005.7998046875,2026-02-24 05:37:00.165701,2026-02-24 05:37:02.344932,0 days 00:00:02.179231,0.0,64,3,0.00018559980846490597,lstm,64,"{'MAE_15m': 9231.3525390625, 'RMSE_15m': 9798.549280378193, 'sMAPE_15m': 187.88438480988924, 'R2_15m': -7.895084558434018, 'MAE_30m': 8780.2470703125, 'RMSE_30m': 9867.5447807446, 'sMAPE_30m': 184.46785657544856, 'R2_30m': -3.8023221034001162, 'MAE_avg': 9005.7998046875, 'RMSE_avg': 9833.047030561396, 'sMAPE_avg': 186.17612069266892, 'R2_avg': -5.848703330917067}",9007.662109375,9006.916015625,COMPLETE
1,9003.869140625,2026-02-24 05:37:02.345729,2026-02-24 05:37:04.465597,0 days 00:00:02.119868,0.3,96,7,0.000117115099555241,gru,96,"{'MAE_15m': 9230.2099609375, 'RMSE_15m': 9797.42047683981, 'sMAPE_15m': 185.0724652739148, 'R2_15m': -7.893035877129979, 'MAE_30m': 8777.5283203125, 'RMSE_30m': 9864.959401842463, 'sMAPE_30m': 175.16198474073357, 'R2_30m': -3.799805863131909, 'MAE_avg': 9003.869140625, 'RMSE_avg': 9831.189939341137, 'sMAPE_avg': 180.11722500732418, 'R2_avg': -5.8464208701309435}",9007.421875,9006.0341796875,COMPLETE
2,9007.71484375,2026-02-24 05:37:04.466368,2026-02-24 05:37:05.911049,0 days 00:00:01.444681,0.3,32,5,0.00024112898115291975,lstm,96,,9007.71484375,,PRUNED
3,9007.5498046875,2026-02-24 05:37:05.911712,2026-02-24 05:37:07.330490,0 days 00:00:01.418778,0.2,32,7,0.0003023795012558478,gru,64,,9007.5498046875,,PRUNED
4,9001.17822265625,2026-02-24 05:37:07.331168,2026-02-24 05:37:09.438547,0 days 00:00:02.107379,0.3,96,7,0.0011069143219393448,lstm,64,"{'MAE_15m': 9227.4404296875, 'RMSE_15m': 9794.508257181675, 'sMAPE_15m': 185.03888983478168, 'R2_15m': -7.887749283085768, 'MAE_30m': 8774.916015625, 'RMSE_30m': 9862.228956985333, 'sMAPE_30m': 174.40626992834376, 'R2_30m': -3.797149269103456, 'MAE_avg': 9001.17822265625, 'RMSE_avg': 9828.368607083503, 'sMAPE_avg': 179.72257988156272, 'R2_avg': -5.842449276094612}",9005.115234375,9002.5341796875,COMPLETE
5,9004.33984375,2026-02-24 05:37:09.439526,2026-02-24 05:37:11.013179,0 days 00:00:01.573653,0.3,64,7,0.0004983319160125723,gru,32,,9006.3466796875,9004.33984375,PRUNED
6,9002.6943359375,2026-02-24 05:37:11.013779,2026-02-24 05:37:13.284098,0 days 00:00:02.270319,0.0,96,5,0.0021907142272152816,lstm,32,,9005.005859375,9002.6943359375,PRUNED
7,9005.1591796875,2026-02-24 05:37:13.284777,2026-02-24 05:37:14.778845,0 days 00:00:01.494068,0.3,96,7,0.0006261435181296009,gru,64,,9005.1591796875,,PRUNED
8,8998.9775390625,2026-02-24 05:37:14.779471,2026-02-24 05:37:16.990962,0 days 00:00:02.211491,0.3,64,7,0.002470540427082325,lstm,64,"{'MAE_15m': 9222.85546875, 'RMSE_15m': 9789.230000362644, 'sMAPE_15m': 189.7966847301956, 'R2_15m': -7.8781720388360394, 'MAE_30m': 8775.099609375, 'RMSE_30m': 9862.428504176849, 'sMAPE_30m': 174.39641111537313, 'R2_30m': -3.7973432264155518, 'MAE_avg': 8998.9775390625, 'RMSE_avg': 9825.829252269747, 'sMAPE_avg': 182.09654792278437, 'R2_avg': -5.837757632625795}",9003.908203125,9000.849609375,COMPLETE
9,9006.84375,2026-02-24 05:37:16.991738,2026-02-24 05:37:18.446891,0 days 00:00:01.455153,0.0,96,5,0.00025798509464504095,lstm,64,,9006.84375,,PRUNED
