number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_lambda,params_subsample,user_attrs_best_iters,user_attrs_val_metrics,state
0,2178.114501953125,2026-04-03 02:09:52.420587,2026-04-03 02:09:54.413609,0 days 00:00:01.993022,0.6624074561769746,4.330880728874676,0.08960785365368121,8,2,600,0.01555019165426488,0.8394633936788146,"[66, 56]","{'MAE_15m': 1994.11279296875, 'RMSE_15m': 3854.943190242886, 'sMAPE_15m': 124.05169040747974, 'R2_15m': 0.7467968897869885, 'MAE_30m': 2362.1162109375, 'RMSE_30m': 4336.18311421462, 'sMAPE_30m': 128.23371552700831, 'R2_30m': 0.6839807118951651, 'MAE_avg': 2178.114501953125, 'RMSE_avg': 4095.563152228753, 'sMAPE_avg': 126.14270296724402, 'R2_avg': 0.7153888008410768}",COMPLETE
1,2127.0105590820312,2026-04-03 02:09:54.415075,2026-04-03 02:09:59.139162,0 days 00:00:04.724087,0.9329770563201687,0.9170225492671691,0.010636066512540286,6,3,800,0.039829941698924086,0.9879639408647978,"[739, 467]","{'MAE_15m': 1988.8890380859375, 'RMSE_15m': 3780.255679183618, 'sMAPE_15m': 125.51289044984469, 'R2_15m': 0.7565131970964347, 'MAE_30m': 2265.132080078125, 'RMSE_30m': 4217.266176090857, 'sMAPE_30m': 129.49821348633685, 'R2_30m': 0.7010762686395022, 'MAE_avg': 2127.0105590820312, 'RMSE_avg': 3998.7609276372377, 'sMAPE_avg': 127.50555196809077, 'R2_avg': 0.7287947328679685}",COMPLETE
2,2132.8387451171875,2026-04-03 02:09:59.140887,2026-04-03 02:10:01.428073,0 days 00:00:02.287186,0.8447411578889518,1.8318092164684585,0.03647316284911211,5,2,400,0.09212515846231674,0.7164916560792167,"[163, 146]","{'MAE_15m': 1990.185791015625, 'RMSE_15m': 3784.928929319545, 'sMAPE_15m': 126.60325821003752, 'R2_15m': 0.7559108028873613, 'MAE_30m': 2275.49169921875, 'RMSE_30m': 4221.975840764606, 'sMAPE_30m': 129.52581163438927, 'R2_30m': 0.7004082278524637, 'MAE_avg': 2132.8387451171875, 'RMSE_avg': 4003.4523850420755, 'sMAPE_avg': 128.0645349222134, 'R2_avg': 0.7281595153699125}",COMPLETE
3,2138.9533081054688,2026-04-03 02:10:01.431931,2026-04-03 02:10:04.891177,0 days 00:00:03.459246,0.836965827544817,0.8526206184364576,0.018187859051288217,7,1,600,1.0128002032729382,0.8056937753654446,"[346, 272]","{'MAE_15m': 1974.2493896484375, 'RMSE_15m': 3785.7822177193448, 'sMAPE_15m': 125.78956429263184, 'R2_15m': 0.7558007173709418, 'MAE_30m': 2303.6572265625, 'RMSE_30m': 4293.153852356098, 'sMAPE_30m': 129.45727904455438, 'R2_30m': 0.6902215076121208, 'MAE_avg': 2138.9533081054688, 'RMSE_avg': 4039.468035037721, 'sMAPE_avg': 127.62342166859311, 'R2_avg': 0.7230111124915313}",COMPLETE
4,2209.2960205078125,2026-04-03 02:10:04.892885,2026-04-03 02:10:06.850774,0 days 00:00:01.957889,0.7218455076693483,2.2007624686980067,0.18043311207136256,8,1,200,1.8141523033666782,0.9233589392465844,"[56, 22]","{'MAE_15m': 2048.593017578125, 'RMSE_15m': 3959.2852890389195, 'sMAPE_15m': 124.93407499909593, 'R2_15m': 0.7329044188540978, 'MAE_30m': 2369.9990234375, 'RMSE_30m': 4443.160361724524, 'sMAPE_30m': 129.96855246660584, 'R2_30m': 0.6681954338410829, 'MAE_avg': 2209.2960205078125, 'RMSE_avg': 4201.222825381721, 'sMAPE_avg': 127.45131373285088, 'R2_avg': 0.7005499263475904}",COMPLETE
5,2514.093994140625,2026-04-03 02:10:06.859002,2026-04-03 02:10:09.233179,0 days 00:00:02.374177,0.7035119926400067,2.600340105889054,0.011085122517311707,5,7,200,0.10689751565977942,0.9637281608315128,"[199, 199]","{'MAE_15m': 2418.760498046875, 'RMSE_15m': 4080.025857761198, 'sMAPE_15m': 131.22992749027108, 'R2_15m': 0.7163655630798571, 'MAE_30m': 2609.427490234375, 'RMSE_30m': 4328.305904161581, 'sMAPE_30m': 132.32725865224165, 'R2_30m': 0.6851278117731543, 'MAE_avg': 2514.093994140625, 'RMSE_avg': 4204.165880961389, 'sMAPE_avg': 131.77859307125635, 'R2_avg': 0.7007466874265057}",COMPLETE
6,2128.154541015625,2026-04-03 02:10:09.234504,2026-04-03 02:10:10.935570,0 days 00:00:01.701066,0.9757995766256756,4.609371175115584,0.18258230439200238,3,9,800,0.9412083349710854,0.9100531293444458,"[63, 27]","{'MAE_15m': 1996.587158203125, 'RMSE_15m': 3809.6205847826895, 'sMAPE_15m': 126.13008487160704, 'R2_15m': 0.7527156979374521, 'MAE_30m': 2259.721923828125, 'RMSE_30m': 4139.589834754163, 'sMAPE_30m': 129.29953371742636, 'R2_30m': 0.7119863759118389, 'MAE_avg': 2128.154541015625, 'RMSE_avg': 3974.6052097684264, 'sMAPE_avg': 127.7148092945167, 'R2_avg': 0.7323510369246455}",COMPLETE
7,2520.6331787109375,2026-04-03 02:10:10.937185,2026-04-03 02:10:12.988452,0 days 00:00:02.051267,0.7554709158757928,1.7837666334679465,0.011450964268326641,3,3,200,5.441108375656199,0.7301321323053057,"[199, 199]","{'MAE_15m': 2427.43310546875, 'RMSE_15m': 4111.203959912473, 'sMAPE_15m': 131.20303425931814, 'R2_15m': 0.7120141411331844, 'MAE_30m': 2613.833251953125, 'RMSE_30m': 4336.3784428944855, 'sMAPE_30m': 132.20431708689662, 'R2_30m': 0.6839522418819581, 'MAE_avg': 2520.6331787109375, 'RMSE_avg': 4223.791201403479, 'sMAPE_avg': 131.7036756731074, 'R2_avg': 0.6979831915075713}",COMPLETE
8,2144.6312866210938,2026-04-03 02:10:12.990217,2026-04-03 02:10:16.351795,0 days 00:00:03.361578,0.6298202574719083,0.993578407670862,0.015252697030515175,5,10,400,3.5416296712651336,0.9208787923016158,"[398, 348]","{'MAE_15m': 2010.0823974609375, 'RMSE_15m': 3811.7804238964236, 'sMAPE_15m': 125.70668676802559, 'R2_15m': 0.7524352177899485, 'MAE_30m': 2279.18017578125, 'RMSE_30m': 4235.433153763614, 'sMAPE_30m': 129.63399631660943, 'R2_30m': 0.6984953014585494, 'MAE_avg': 2144.6312866210938, 'RMSE_avg': 4023.606788830019, 'sMAPE_avg': 127.67034154231752, 'R2_avg': 0.725465259624249}",COMPLETE
9,2133.599365234375,2026-04-03 02:10:16.364363,2026-04-03 02:10:18.579994,0 days 00:00:02.215631,0.9085081386743783,0.5793452976256486,0.08310795711416077,7,1,200,0.15251273957388442,0.8916028672163949,"[106, 65]","{'MAE_15m': 1933.5205078125, 'RMSE_15m': 3790.993009753513, 'sMAPE_15m': 124.05393404318575, 'R2_15m': 0.7551280407205166, 'MAE_30m': 2333.67822265625, 'RMSE_30m': 4356.344798107698, 'sMAPE_30m': 128.93770470757073, 'R2_30m': 0.681035127648645, 'MAE_avg': 2133.599365234375, 'RMSE_avg': 4073.6689039306057, 'sMAPE_avg': 126.49581937537823, 'R2_avg': 0.7180815841845809}",COMPLETE
