number,value,datetime_start,datetime_complete,duration,params_dropout,params_filters,params_kernel_size,params_lr,user_attrs_val_metrics,system_attrs_completed_rung_0,system_attrs_completed_rung_1,state
0,0.17352478206157684,2026-02-23 03:05:56.635766,2026-02-23 03:05:57.342392,0 days 00:00:00.706626,0.2,64,3,0.0011114989443094978,"{'MAE_15m': 0.19289563596248627, 'RMSE_15m': 0.2313375503825463, 'sMAPE_15m': 200.0, 'R2_15m': 0.0, 'MAE_30m': 0.15415392816066742, 'RMSE_30m': 0.1920221598330591, 'sMAPE_30m': 200.0, 'R2_30m': 0.0, 'MAE_avg': 0.17352478206157684, 'RMSE_avg': 0.21167985510780268, 'sMAPE_avg': 200.0, 'R2_avg': 0.0}",0.24630089104175568,,COMPLETE
1,0.1282210871577263,2026-02-23 03:05:57.342929,2026-02-23 03:05:58.008182,0 days 00:00:00.665253,0.2,64,3,0.0002692655251486473,"{'MAE_15m': 0.16324463486671448, 'RMSE_15m': 0.18936074354311633, 'sMAPE_15m': 200.0, 'R2_15m': 0.0, 'MAE_30m': 0.0931975394487381, 'RMSE_30m': 0.1022875881069871, 'sMAPE_30m': 200.0, 'R2_30m': 0.0, 'MAE_avg': 0.1282210871577263, 'RMSE_avg': 0.1458241658250517, 'sMAPE_avg': 200.0, 'R2_avg': 0.0}",0.20400364696979523,,COMPLETE
2,0.6270655989646912,2026-02-23 03:05:58.008736,2026-02-23 03:05:58.581600,0 days 00:00:00.572864,0.3,32,7,0.000117115099555241,,0.6270655989646912,,PRUNED
3,0.20815816521644592,2026-02-23 03:05:58.582072,2026-02-23 03:05:59.139102,0 days 00:00:00.557030,0.3,32,5,0.00044684675025045853,,0.20815816521644592,,PRUNED
4,0.13384796679019928,2026-02-23 03:05:59.139646,2026-02-23 03:06:00.085287,0 days 00:00:00.945641,0.3,64,3,0.00018752209455786411,"{'MAE_15m': 0.18870241940021515, 'RMSE_15m': 0.2382099639070984, 'sMAPE_15m': 200.0, 'R2_15m': 0.0, 'MAE_30m': 0.07899351418018341, 'RMSE_30m': 0.10088561609042021, 'sMAPE_30m': 200.0, 'R2_30m': 0.0, 'MAE_avg': 0.13384796679019928, 'RMSE_avg': 0.1695477899987593, 'sMAPE_avg': 200.0, 'R2_avg': 0.0}",0.20087623596191406,0.14070060849189758,COMPLETE
5,0.4088742733001709,2026-02-23 03:06:00.085934,2026-02-23 03:06:00.682150,0 days 00:00:00.596216,0.2,32,7,0.0003023795012558478,,0.4088742733001709,,PRUNED
6,0.2088158130645752,2026-02-23 03:06:00.682746,2026-02-23 03:06:01.245176,0 days 00:00:00.562430,0.2,96,7,0.002869139536545374,,0.2088158130645752,,PRUNED
7,0.3372322618961334,2026-02-23 03:06:01.245643,2026-02-23 03:06:01.770043,0 days 00:00:00.524400,0.0,32,3,0.0001483039268456802,,0.3372322618961334,,PRUNED
8,0.5471587181091309,2026-02-23 03:06:01.770565,2026-02-23 03:06:02.327930,0 days 00:00:00.557365,0.3,32,7,0.0004983319160125723,,0.5471587181091309,,PRUNED
9,0.1303064003586769,2026-02-23 03:06:02.328462,2026-02-23 03:06:02.986932,0 days 00:00:00.658470,0.0,96,5,0.00014433402406338895,"{'MAE_15m': 0.12815788388252258, 'RMSE_15m': 0.16507259005769442, 'sMAPE_15m': 200.0, 'R2_15m': 0.0, 'MAE_30m': 0.13245491683483124, 'RMSE_30m': 0.17980791286680942, 'sMAPE_30m': 200.0, 'R2_30m': 0.0, 'MAE_avg': 0.1303064003586769, 'RMSE_avg': 0.17244025146225192, 'sMAPE_avg': 200.0, 'R2_avg': 0.0}",0.1442725658416748,,COMPLETE
