number,value,datetime_start,datetime_complete,duration,params_dropout,params_gru_units,params_lr,params_lstm_units,user_attrs_val_metrics,system_attrs_completed_rung_0,system_attrs_completed_rung_1,state
0,0.023106728680431843,2026-02-23 03:05:25.112982,2026-02-23 03:05:28.183192,0 days 00:00:03.070210,0.2,64,0.0011114989443094978,32,"{'MAE_15m': 0.022387109696865082, 'RMSE_15m': 0.02404518766219892, 'sMAPE_15m': 200.0, 'R2_15m': 0.0, 'MAE_30m': 0.023826347663998604, 'RMSE_30m': 0.036688153538597695, 'sMAPE_30m': 200.0, 'R2_30m': 0.0, 'MAE_avg': 0.023106728680431843, 'RMSE_avg': 0.030366670600398306, 'sMAPE_avg': 200.0, 'R2_avg': 0.0}",0.06977667659521103,0.031712606549263,COMPLETE
1,0.09709969907999039,2026-02-23 03:05:28.183761,2026-02-23 03:05:32.098973,0 days 00:00:03.915212,0.2,64,0.0002692655251486473,32,,0.09709969907999039,,PRUNED
2,0.0960187092423439,2026-02-23 03:05:32.099455,2026-02-23 03:05:34.562492,0 days 00:00:02.463037,0.3,32,0.000117115099555241,96,,0.0960187092423439,,PRUNED
3,0.09311630576848984,2026-02-23 03:05:34.563027,2026-02-23 03:05:36.919155,0 days 00:00:02.356128,0.3,32,0.00044684675025045853,64,,0.09311630576848984,,PRUNED
4,0.17868365347385406,2026-02-23 03:05:36.919686,2026-02-23 03:05:39.208142,0 days 00:00:02.288456,0.3,64,0.00018752209455786411,32,,0.17868365347385406,,PRUNED
5,0.041216857731342316,2026-02-23 03:05:39.208687,2026-02-23 03:05:41.699343,0 days 00:00:02.490656,0.2,32,0.0003023795012558478,96,,0.05689818784594536,0.041216857731342316,PRUNED
6,0.021031963638961315,2026-02-23 03:05:41.699879,2026-02-23 03:05:44.531902,0 days 00:00:02.832023,0.2,96,0.002869139536545374,96,"{'MAE_15m': 0.008905628696084023, 'RMSE_15m': 0.011192114398389847, 'sMAPE_15m': 200.0, 'R2_15m': 0.0, 'MAE_30m': 0.03315829858183861, 'RMSE_30m': 0.041819264919113, 'sMAPE_30m': 200.0, 'R2_30m': 0.0, 'MAE_avg': 0.021031963638961315, 'RMSE_avg': 0.026505689658751424, 'sMAPE_avg': 200.0, 'R2_avg': 0.0}",0.06108129024505615,0.03033759631216526,COMPLETE
7,0.23095253109931946,2026-02-23 03:05:44.532411,2026-02-23 03:05:46.712568,0 days 00:00:02.180157,0.0,32,0.0001483039268456802,32,,0.23095253109931946,,PRUNED
8,0.024180711712688208,2026-02-23 03:05:46.713046,2026-02-23 03:05:51.520583,0 days 00:00:04.807537,0.3,32,0.0004983319160125723,96,"{'MAE_15m': 0.03628847748041153, 'RMSE_15m': 0.04025728519006629, 'sMAPE_15m': 200.0, 'R2_15m': 0.0, 'MAE_30m': 0.012072945944964886, 'RMSE_30m': 0.014235350309776077, 'sMAPE_30m': 200.0, 'R2_30m': 0.0, 'MAE_avg': 0.024180711712688208, 'RMSE_avg': 0.027246317749921187, 'sMAPE_avg': 200.0, 'R2_avg': 0.0}",0.0465812012553215,0.024180714040994644,COMPLETE
9,0.08366093784570694,2026-02-23 03:05:51.521124,2026-02-23 03:05:54.031519,0 days 00:00:02.510395,0.0,96,0.00014433402406338895,64,,0.08366093784570694,,PRUNED
