number,value,datetime_start,datetime_complete,duration,params_dropout,params_lr,params_num_layers,params_units,user_attrs_val_metrics,system_attrs_completed_rung_0,state
0,0.010886993259191513,2026-02-23 03:04:58.757878,2026-02-23 03:05:01.515087,0 days 00:00:02.757209,0.0,0.00190303683817358,2,64,"{'MAE_15m': 0.011034219525754452, 'RMSE_15m': 0.013795188514421759, 'sMAPE_15m': 200.0, 'R2_15m': 0.0, 'MAE_30m': 0.010739766992628574, 'RMSE_30m': 0.014587418304817693, 'sMAPE_30m': 200.0, 'R2_30m': 0.0, 'MAE_avg': 0.010886993259191513, 'RMSE_avg': 0.014191303409619726, 'sMAPE_avg': 200.0, 'R2_avg': 0.0}",0.012293900363147259,COMPLETE
1,0.06765453517436981,2026-02-23 03:05:01.515642,2026-02-23 03:05:03.797487,0 days 00:00:02.281845,0.0,0.00018659959624904942,2,64,,0.06765453517436981,PRUNED
2,0.0666804388165474,2026-02-23 03:05:03.797990,2026-02-23 03:05:05.119747,0 days 00:00:01.321757,0.0,0.0003476649150592621,1,64,,0.0666804388165474,PRUNED
3,0.06489767879247665,2026-02-23 03:05:05.120239,2026-02-23 03:05:07.408231,0 days 00:00:02.287992,0.3,0.0001786013788939711,2,64,,0.06489767879247665,PRUNED
4,0.027844304218888283,2026-02-23 03:05:07.409077,2026-02-23 03:05:09.703485,0 days 00:00:02.294408,0.3,0.00044684675025045853,2,96,,0.027844304218888283,PRUNED
5,0.036599885672330856,2026-02-23 03:05:09.703979,2026-02-23 03:05:14.222160,0 days 00:00:04.518181,0.2,0.000586412916969653,2,64,,0.036599885672330856,PRUNED
6,0.03345829248428345,2026-02-23 03:05:14.222689,2026-02-23 03:05:16.711023,0 days 00:00:02.488334,0.0,0.002299958642814372,2,96,,0.03345829248428345,PRUNED
7,0.03960319235920906,2026-02-23 03:05:16.711583,2026-02-23 03:05:18.093266,0 days 00:00:01.381683,0.3,0.0003364867144187955,1,64,,0.03960319235920906,PRUNED
8,0.08705926686525345,2026-02-23 03:05:18.093785,2026-02-23 03:05:20.437031,0 days 00:00:02.343246,0.2,0.00019657448966046135,2,64,,0.08705926686525345,PRUNED
9,0.13962826132774353,2026-02-23 03:05:20.437547,2026-02-23 03:05:22.681082,0 days 00:00:02.243535,0.0,0.0001483039268456802,2,64,,0.13962826132774353,PRUNED
