number,value,datetime_start,datetime_complete,duration,params_dropout,params_filters,params_kernel_size,params_lr,params_rnn_type,params_rnn_units,user_attrs_val_metrics,system_attrs_completed_rung_0,system_attrs_completed_rung_1,state
0,0.15171847492456436,2026-02-23 03:06:03.535946,2026-02-23 03:06:05.312044,0 days 00:00:01.776098,0.0,64,3,0.00018559980846490597,lstm,64,"{'MAE_15m': 0.17374326288700104, 'RMSE_15m': 0.21744731895379857, 'sMAPE_15m': 200.0, 'R2_15m': 0.0, 'MAE_30m': 0.12969368696212769, 'RMSE_30m': 0.19600507015244045, 'sMAPE_30m': 200.0, 'R2_30m': 0.0, 'MAE_avg': 0.15171847492456436, 'RMSE_avg': 0.20672619455311952, 'sMAPE_avg': 200.0, 'R2_avg': 0.0}",0.15171846747398376,,COMPLETE
1,0.11049925535917282,2026-02-23 03:06:05.312611,2026-02-23 03:06:07.187528,0 days 00:00:01.874917,0.3,96,7,0.000117115099555241,gru,96,"{'MAE_15m': 0.099676713347435, 'RMSE_15m': 0.1548216322510414, 'sMAPE_15m': 200.0, 'R2_15m': 0.0, 'MAE_30m': 0.12132179737091064, 'RMSE_30m': 0.1498533597555683, 'sMAPE_30m': 200.0, 'R2_30m': 0.0, 'MAE_avg': 0.11049925535917282, 'RMSE_avg': 0.15233749600330485, 'sMAPE_avg': 200.0, 'R2_avg': 0.0}",0.13572880625724792,0.12368182837963104,COMPLETE
2,0.056871289387345314,2026-02-23 03:06:07.188063,2026-02-23 03:06:09.030710,0 days 00:00:01.842647,0.3,32,5,0.00024112898115291975,lstm,96,"{'MAE_15m': 0.04335886612534523, 'RMSE_15m': 0.0826190765651872, 'sMAPE_15m': 200.0, 'R2_15m': 0.0, 'MAE_30m': 0.0703837126493454, 'RMSE_30m': 0.08733628883038634, 'sMAPE_30m': 200.0, 'R2_30m': 0.0, 'MAE_avg': 0.056871289387345314, 'RMSE_avg': 0.08497768269778677, 'sMAPE_avg': 200.0, 'R2_avg': 0.0}",0.07313823699951172,,COMPLETE
3,0.2035137414932251,2026-02-23 03:06:09.031255,2026-02-23 03:06:10.646713,0 days 00:00:01.615458,0.2,32,7,0.0003023795012558478,gru,64,,0.2035137414932251,,PRUNED
4,0.019629531539976597,2026-02-23 03:06:10.647504,2026-02-23 03:06:20.717032,0 days 00:00:10.069528,0.3,96,7,0.0011069143219393448,lstm,64,"{'MAE_15m': 0.02852928638458252, 'RMSE_15m': 0.042193139878093956, 'sMAPE_15m': 200.0, 'R2_15m': 0.0, 'MAE_30m': 0.010729776695370674, 'RMSE_30m': 0.014507528419010181, 'sMAPE_30m': 200.0, 'R2_30m': 0.0, 'MAE_avg': 0.019629531539976597, 'RMSE_avg': 0.028350334148552068, 'sMAPE_avg': 200.0, 'R2_avg': 0.0}",0.047172911465168,0.02763504907488823,COMPLETE
5,0.20941300690174103,2026-02-23 03:06:20.720531,2026-02-23 03:06:27.493739,0 days 00:00:06.773208,0.3,64,7,0.0004983319160125723,gru,32,,0.20941300690174103,,PRUNED
6,0.08662289381027222,2026-02-23 03:06:27.497471,2026-02-23 03:06:33.130086,0 days 00:00:05.632615,0.0,96,5,0.0021907142272152816,lstm,32,,0.08662289381027222,,PRUNED
7,0.11427053064107895,2026-02-23 03:06:33.132665,2026-02-23 03:06:38.210225,0 days 00:00:05.077560,0.3,96,7,0.0006261435181296009,gru,64,,0.11427053064107895,,PRUNED
8,0.03711750730872154,2026-02-23 03:06:38.213344,2026-02-23 03:06:44.889862,0 days 00:00:06.676518,0.3,64,7,0.002470540427082325,lstm,64,,0.08653312176465988,0.03711750730872154,PRUNED
9,0.16081669926643372,2026-02-23 03:06:44.893319,2026-02-23 03:06:49.303702,0 days 00:00:04.410383,0.0,96,5,0.00025798509464504095,lstm,64,,0.16081669926643372,,PRUNED
