number,value,datetime_start,datetime_complete,duration,params_dropout,params_filters,params_kernel_size,params_lr,user_attrs_val_metrics,system_attrs_completed_rung_0,system_attrs_completed_rung_1,state
0,11012.1357421875,2026-02-24 05:38:25.318720,2026-02-24 05:38:27.018387,0 days 00:00:01.699667,0.2,64,3,0.0011114989443094978,"{'MAE_15m': 11188.2109375, 'RMSE_15m': 11453.569923827243, 'sMAPE_15m': 199.0783985701382, 'R2_15m': -20.78163111313584, 'MAE_30m': 10836.060546875, 'RMSE_30m': 11022.44981843873, 'sMAPE_30m': 198.97933917894136, 'R2_30m': -28.894565973941887, 'MAE_avg': 11012.1357421875, 'RMSE_avg': 11238.009871132987, 'sMAPE_avg': 199.0288688745398, 'R2_avg': -24.838098543538862}",11036.5302734375,11032.0380859375,COMPLETE
1,11036.8837890625,2026-02-24 05:38:27.019107,2026-02-24 05:38:27.582638,0 days 00:00:00.563531,0.2,64,3,0.0002692655251486473,,11036.8837890625,,PRUNED
2,11037.7412109375,2026-02-24 05:38:27.583217,2026-02-24 05:38:28.144022,0 days 00:00:00.560805,0.3,32,7,0.000117115099555241,,11037.7412109375,,PRUNED
3,11037.7275390625,2026-02-24 05:38:28.144626,2026-02-24 05:38:28.710831,0 days 00:00:00.566205,0.3,32,5,0.00044684675025045853,,11037.7275390625,,PRUNED
4,11037.009765625,2026-02-24 05:38:28.711446,2026-02-24 05:38:29.281688,0 days 00:00:00.570242,0.3,64,3,0.00018752209455786411,,11037.009765625,,PRUNED
5,11037.4833984375,2026-02-24 05:38:29.282259,2026-02-24 05:38:29.827334,0 days 00:00:00.545075,0.2,32,7,0.0003023795012558478,,11037.4833984375,,PRUNED
6,8594.83740234375,2026-02-24 05:38:29.827940,2026-02-24 05:38:30.854856,0 days 00:00:01.026916,0.2,96,7,0.002869139536545374,"{'MAE_15m': 8930.9580078125, 'RMSE_15m': 9216.075086499675, 'sMAPE_15m': 130.96513714049328, 'R2_15m': -13.102648071682852, 'MAE_30m': 8258.716796875, 'RMSE_30m': 8565.718183550052, 'sMAPE_30m': 121.03568679485723, 'R2_30m': -17.053588426600815, 'MAE_avg': 8594.83740234375, 'RMSE_avg': 8890.896635024863, 'sMAPE_avg': 126.00041196767526, 'R2_avg': -15.078118249141834}",11001.2001953125,10649.5068359375,COMPLETE
7,11037.60546875,2026-02-24 05:38:30.855801,2026-02-24 05:38:31.374575,0 days 00:00:00.518774,0.0,32,3,0.0001483039268456802,,11037.60546875,,PRUNED
8,11037.8876953125,2026-02-24 05:38:31.375200,2026-02-24 05:38:31.934911,0 days 00:00:00.559711,0.3,32,7,0.0004983319160125723,,11037.8876953125,,PRUNED
9,11037.0302734375,2026-02-24 05:38:31.935634,2026-02-24 05:38:32.451431,0 days 00:00:00.515797,0.0,96,5,0.00014433402406338895,,11037.0302734375,,PRUNED
