number,value,datetime_start,datetime_complete,duration,params_dropout,params_gru_units,params_lr,params_lstm_units,user_attrs_val_metrics,system_attrs_completed_rung_0,system_attrs_completed_rung_1,state
0,11033.18994140625,2026-02-24 05:37:57.503666,2026-02-24 05:38:00.555008,0 days 00:00:03.051342,0.2,64,0.0011114989443094978,32,"{'MAE_15m': 11209.37890625, 'RMSE_15m': 11474.882483058378, 'sMAPE_15m': 199.85142333096198, 'R2_15m': -20.862766549172377, 'MAE_30m': 10857.0009765625, 'RMSE_30m': 11042.57977104988, 'sMAPE_30m': 199.79554749879057, 'R2_30m': -29.00386054335937, 'MAE_avg': 11033.18994140625, 'RMSE_avg': 11258.731127054129, 'sMAPE_avg': 199.82348541487627, 'R2_avg': -24.93331354626587}",11036.6748046875,11035.1103515625,COMPLETE
1,11037.30859375,2026-02-24 05:38:00.555812,2026-02-24 05:38:02.740376,0 days 00:00:02.184564,0.2,64,0.0002692655251486473,32,,11037.30859375,,PRUNED
2,11037.5712890625,2026-02-24 05:38:02.741055,2026-02-24 05:38:05.642053,0 days 00:00:02.900998,0.3,32,0.000117115099555241,96,,11037.5712890625,,PRUNED
3,11037.2314453125,2026-02-24 05:38:05.642692,2026-02-24 05:38:07.832975,0 days 00:00:02.190283,0.3,32,0.00044684675025045853,64,,11037.2314453125,,PRUNED
4,11037.5634765625,2026-02-24 05:38:07.833579,2026-02-24 05:38:10.065613,0 days 00:00:02.232034,0.3,64,0.00018752209455786411,32,,11037.5634765625,,PRUNED
5,11036.26171875,2026-02-24 05:38:10.066248,2026-02-24 05:38:12.449754,0 days 00:00:02.383506,0.2,32,0.0003023795012558478,96,,11037.1533203125,11036.26171875,PRUNED
6,11021.8984375,2026-02-24 05:38:12.450364,2026-02-24 05:38:16.346691,0 days 00:00:03.896327,0.2,96,0.002869139536545374,96,"{'MAE_15m': 11197.54296875, 'RMSE_15m': 11463.31819326324, 'sMAPE_15m': 199.40687059214795, 'R2_15m': -20.818721442924396, 'MAE_30m': 10846.25390625, 'RMSE_30m': 11032.013415510335, 'sMAPE_30m': 199.38612315673979, 'R2_30m': -28.94646551584194, 'MAE_avg': 11021.8984375, 'RMSE_avg': 11247.665804386786, 'sMAPE_avg': 199.39649687444387, 'R2_avg': -24.882593479383168}",11031.1181640625,11026.1982421875,COMPLETE
7,11037.9150390625,2026-02-24 05:38:16.347444,2026-02-24 05:38:18.553793,0 days 00:00:02.206349,0.0,32,0.0001483039268456802,32,,11037.9150390625,,PRUNED
8,11035.32421875,2026-02-24 05:38:18.554423,2026-02-24 05:38:20.961424,0 days 00:00:02.407001,0.3,32,0.0004983319160125723,96,,11037.1318359375,11035.32421875,PRUNED
9,11037.4677734375,2026-02-24 05:38:20.962063,2026-02-24 05:38:23.123747,0 days 00:00:02.161684,0.0,96,0.00014433402406338895,64,,11037.4677734375,,PRUNED
