number,value,datetime_start,datetime_complete,duration,params_dropout,params_lr,params_num_layers,params_units,user_attrs_val_metrics,system_attrs_completed_rung_0,system_attrs_completed_rung_1,state
0,11028.822265625,2026-02-24 05:37:30.992724,2026-02-24 05:37:34.002899,0 days 00:00:03.010175,0.0,0.00190303683817358,2,64,"{'MAE_15m': 11205.2451171875, 'RMSE_15m': 11470.84199176329, 'sMAPE_15m': 199.69608830686184, 'R2_15m': -20.84737375981829, 'MAE_30m': 10852.3994140625, 'RMSE_30m': 11038.056713026981, 'sMAPE_30m': 199.6201342612144, 'R2_30m': -28.979283995117505, 'MAE_avg': 11028.822265625, 'RMSE_avg': 11254.449352395135, 'sMAPE_avg': 199.6581112840381, 'R2_avg': -24.913328877467897}",11034.8916015625,11031.64453125,COMPLETE
1,11037.54296875,2026-02-24 05:37:34.003621,2026-02-24 05:37:36.992220,0 days 00:00:02.988599,0.0,0.00018659959624904942,2,64,,11037.54296875,,PRUNED
2,11037.08203125,2026-02-24 05:37:36.992805,2026-02-24 05:37:38.290986,0 days 00:00:01.298181,0.0,0.0003476649150592621,1,64,,11037.08203125,,PRUNED
3,11037.55078125,2026-02-24 05:37:38.291603,2026-02-24 05:37:40.547310,0 days 00:00:02.255707,0.3,0.0001786013788939711,2,64,,11037.55078125,,PRUNED
4,11036.9208984375,2026-02-24 05:37:40.547937,2026-02-24 05:37:42.806335,0 days 00:00:02.258398,0.3,0.00044684675025045853,2,96,,11036.9208984375,,PRUNED
5,11037.1416015625,2026-02-24 05:37:42.806922,2026-02-24 05:37:45.714674,0 days 00:00:02.907752,0.2,0.000586412916969653,2,64,,11037.1416015625,,PRUNED
6,11023.98291015625,2026-02-24 05:37:45.715267,2026-02-24 05:37:48.789533,0 days 00:00:03.074266,0.0,0.002299958642814372,2,96,"{'MAE_15m': 11198.17578125, 'RMSE_15m': 11463.936845604132, 'sMAPE_15m': 199.43065855616027, 'R2_15m': -20.821077860395476, 'MAE_30m': 10849.7900390625, 'RMSE_30m': 11035.490020837316, 'sMAPE_30m': 199.5207071649689, 'R2_30m': -28.965342574702, 'MAE_avg': 11023.98291015625, 'RMSE_avg': 11249.713433220724, 'sMAPE_avg': 199.47568286056458, 'R2_avg': -24.893210217548738}",11032.35546875,11027.521484375,COMPLETE
7,11037.83984375,2026-02-24 05:37:48.790257,2026-02-24 05:37:50.112251,0 days 00:00:01.321994,0.3,0.0003364867144187955,1,64,,11037.83984375,,PRUNED
8,11037.66015625,2026-02-24 05:37:50.112841,2026-02-24 05:37:52.358374,0 days 00:00:02.245533,0.2,0.00019657448966046135,2,64,,11037.66015625,,PRUNED
9,11037.83203125,2026-02-24 05:37:52.359006,2026-02-24 05:37:55.204158,0 days 00:00:02.845152,0.0,0.0001483039268456802,2,64,,11037.83203125,,PRUNED
