number,value,datetime_start,datetime_complete,duration,params_dropout,params_filters,params_kernel_size,params_lr,params_rnn_type,params_rnn_units,user_attrs_val_metrics,system_attrs_completed_rung_0,system_attrs_completed_rung_1,state
0,11035.6708984375,2026-02-24 05:38:33.003945,2026-02-24 05:38:35.065012,0 days 00:00:02.061067,0.0,64,3,0.00018559980846490597,lstm,64,"{'MAE_15m': 11211.365234375, 'RMSE_15m': 11476.822556788095, 'sMAPE_15m': 199.9261794807474, 'R2_15m': -20.870159123701978, 'MAE_30m': 10859.9765625, 'RMSE_30m': 11045.503338463122, 'sMAPE_30m': 199.90900572043105, 'R2_30m': -29.019748589169165, 'MAE_avg': 11035.6708984375, 'RMSE_avg': 11261.16294762561, 'sMAPE_avg': 199.91759260058922, 'R2_avg': -24.94495385643557}",11037.291015625,11036.6279296875,COMPLETE
1,11033.67529296875,2026-02-24 05:38:35.065763,2026-02-24 05:38:37.130547,0 days 00:00:02.064784,0.3,96,7,0.000117115099555241,gru,96,"{'MAE_15m': 11208.2685546875, 'RMSE_15m': 11473.782985571934, 'sMAPE_15m': 199.81030205260922, 'R2_15m': -20.858577791909042, 'MAE_30m': 10859.08203125, 'RMSE_30m': 11044.626204630014, 'sMAPE_30m': 199.8747722383008, 'R2_30m': -29.01498304333698, 'MAE_avg': 11033.67529296875, 'RMSE_avg': 11259.204595100975, 'sMAPE_avg': 199.84253714545503, 'R2_avg': -24.936780417623012}",11037.0166015625,11035.796875,COMPLETE
2,11037.494140625,2026-02-24 05:38:37.131295,2026-02-24 05:38:38.572394,0 days 00:00:01.441099,0.3,32,5,0.00024112898115291975,lstm,96,,11037.494140625,,PRUNED
3,11037.5595703125,2026-02-24 05:38:38.572990,2026-02-24 05:38:40.621806,0 days 00:00:02.048816,0.2,32,7,0.0003023795012558478,gru,64,,11037.5595703125,,PRUNED
4,11031.0732421875,2026-02-24 05:38:40.622403,2026-02-24 05:38:42.785844,0 days 00:00:02.163441,0.3,96,7,0.0011069143219393448,lstm,64,"{'MAE_15m': 11207.3994140625, 'RMSE_15m': 11472.947310957197, 'sMAPE_15m': 199.77709081453435, 'R2_15m': -20.855393959632604, 'MAE_30m': 10854.7470703125, 'RMSE_30m': 11040.364124429954, 'sMAPE_30m': 199.70957091756978, 'R2_30m': -28.99181966854048, 'MAE_avg': 11031.0732421875, 'RMSE_avg': 11256.655717693575, 'sMAPE_avg': 199.74333086605208, 'R2_avg': -24.92360681408654}",11035.0751953125,11032.50390625,COMPLETE
5,11034.0556640625,2026-02-24 05:38:42.786627,2026-02-24 05:38:44.419438,0 days 00:00:01.632811,0.3,64,7,0.0004983319160125723,gru,32,,11036.43359375,11034.0556640625,PRUNED
6,11032.84765625,2026-02-24 05:38:44.420061,2026-02-24 05:38:45.999792,0 days 00:00:01.579731,0.0,96,5,0.0021907142272152816,lstm,32,,11035.1494140625,11032.84765625,PRUNED
7,11030.35107421875,2026-02-24 05:38:46.000400,2026-02-24 05:38:48.108811,0 days 00:00:02.108411,0.3,96,7,0.0006261435181296009,gru,64,"{'MAE_15m': 11204.9892578125, 'RMSE_15m': 11470.592661235949, 'sMAPE_15m': 199.68650842030343, 'R2_15m': -20.846423174682883, 'MAE_30m': 10855.712890625, 'RMSE_30m': 11041.31332767982, 'sMAPE_30m': 199.7463575497737, 'R2_30m': -28.99697577421115, 'MAE_avg': 11030.35107421875, 'RMSE_avg': 11255.952994457884, 'sMAPE_avg': 199.71643298503858, 'R2_avg': -24.921699474447017}",11034.5283203125,11031.3916015625,COMPLETE
8,11027.9287109375,2026-02-24 05:38:48.109720,2026-02-24 05:38:50.244292,0 days 00:00:02.134572,0.3,64,7,0.002470540427082325,lstm,64,"{'MAE_15m': 11201.6162109375, 'RMSE_15m': 11467.296455573127, 'sMAPE_15m': 199.5597704081303, 'R2_15m': -20.833871635030388, 'MAE_30m': 10854.2412109375, 'RMSE_30m': 11039.866665861504, 'sMAPE_30m': 199.69027369083295, 'R2_30m': -28.989116260760422, 'MAE_avg': 11027.9287109375, 'RMSE_avg': 11253.581560717315, 'sMAPE_avg': 199.62502204948163, 'R2_avg': -24.911493947895405}",11033.607421875,11030.3427734375,COMPLETE
9,11036.9560546875,2026-02-24 05:38:50.245052,2026-02-24 05:38:51.623216,0 days 00:00:01.378164,0.0,96,5,0.00025798509464504095,lstm,64,,11036.9560546875,,PRUNED
