number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_lambda,params_subsample,user_attrs_best_iters,user_attrs_val_metrics,state
0,1376.0034790039062,2026-04-03 02:10:29.445387,2026-04-03 02:10:31.497950,0 days 00:00:02.052563,0.6624074561769746,4.330880728874676,0.08960785365368121,8,2,600,0.01555019165426488,0.8394633936788146,"[58, 47]","{'MAE_15m': 1363.3828125, 'RMSE_15m': 2772.162874002897, 'sMAPE_15m': 27.218028281630875, 'R2_15m': 0.6985794632475195, 'MAE_30m': 1388.6241455078125, 'RMSE_30m': 2710.318615956434, 'sMAPE_30m': 36.07661410928411, 'R2_30m': 0.7142928347608645, 'MAE_avg': 1376.0034790039062, 'RMSE_avg': 2741.2407449796656, 'sMAPE_avg': 31.647321195457494, 'R2_avg': 0.7064361490041919}",COMPLETE
1,1371.5411376953125,2026-04-03 02:10:31.500099,2026-04-03 02:10:35.609277,0 days 00:00:04.109178,0.9329770563201687,0.9170225492671691,0.010636066512540286,6,3,800,0.039829941698924086,0.9879639408647978,"[487, 446]","{'MAE_15m': 1338.6055908203125, 'RMSE_15m': 2703.9455430906887, 'sMAPE_15m': 26.03815416069088, 'R2_15m': 0.7132316300465906, 'MAE_30m': 1404.4766845703125, 'RMSE_30m': 2744.5853056518395, 'sMAPE_30m': 34.05771235558315, 'R2_30m': 0.7070227392363306, 'MAE_avg': 1371.5411376953125, 'RMSE_avg': 2724.265424371264, 'sMAPE_avg': 30.047933258137014, 'R2_avg': 0.7101271846414606}",COMPLETE
2,1374.9371337890625,2026-04-03 02:10:35.610895,2026-04-03 02:10:37.825743,0 days 00:00:02.214848,0.8447411578889518,1.8318092164684585,0.03647316284911211,5,2,400,0.09212515846231674,0.7164916560792167,"[136, 169]","{'MAE_15m': 1338.7667236328125, 'RMSE_15m': 2654.5113486289715, 'sMAPE_15m': 26.9259857569701, 'R2_15m': 0.7236213189721707, 'MAE_30m': 1411.1075439453125, 'RMSE_30m': 2754.9539016106964, 'sMAPE_30m': 37.27582236912073, 'R2_30m': 0.7048048957559573, 'MAE_avg': 1374.9371337890625, 'RMSE_avg': 2704.7326251198338, 'sMAPE_avg': 32.10090406304542, 'R2_avg': 0.7142131073640641}",COMPLETE
3,1385.2975463867188,2026-04-03 02:10:37.830137,2026-04-03 02:10:41.345440,0 days 00:00:03.515303,0.836965827544817,0.8526206184364576,0.018187859051288217,7,1,600,1.0128002032729382,0.8056937753654446,"[303, 298]","{'MAE_15m': 1338.9681396484375, 'RMSE_15m': 2700.4735695799727, 'sMAPE_15m': 25.58865993369056, 'R2_15m': 0.7139676097057012, 'MAE_30m': 1431.626953125, 'RMSE_30m': 2771.689917721678, 'sMAPE_30m': 33.146467022139944, 'R2_30m': 0.7012074865849048, 'MAE_avg': 1385.2975463867188, 'RMSE_avg': 2736.081743650825, 'sMAPE_avg': 29.367563477915255, 'R2_avg': 0.707587548145303}",COMPLETE
4,1367.4703979492188,2026-04-03 02:10:41.349376,2026-04-03 02:10:43.154486,0 days 00:00:01.805110,0.7218455076693483,2.2007624686980067,0.18043311207136256,8,1,200,1.8141523033666782,0.9233589392465844,"[26, 21]","{'MAE_15m': 1372.357421875, 'RMSE_15m': 2797.5124664601585, 'sMAPE_15m': 27.087482953981574, 'R2_15m': 0.6930417165692153, 'MAE_30m': 1362.5833740234375, 'RMSE_30m': 2737.0594622696817, 'sMAPE_30m': 35.238951512389804, 'R2_30m': 0.7086272537780066, 'MAE_avg': 1367.4703979492188, 'RMSE_avg': 2767.28596436492, 'sMAPE_avg': 31.16321723318569, 'R2_avg': 0.700834485173611}",COMPLETE
5,1573.0742797851562,2026-04-03 02:10:43.156543,2026-04-03 02:10:45.964834,0 days 00:00:02.808291,0.7035119926400067,2.600340105889054,0.011085122517311707,5,7,200,0.10689751565977942,0.9637281608315128,"[199, 199]","{'MAE_15m': 1532.0462646484375, 'RMSE_15m': 2747.433893654222, 'sMAPE_15m': 85.94909531371441, 'R2_15m': 0.7039331089705312, 'MAE_30m': 1614.102294921875, 'RMSE_30m': 2843.428388407206, 'sMAPE_30m': 87.64404131731366, 'R2_30m': 0.6855402656162977, 'MAE_avg': 1573.0742797851562, 'RMSE_avg': 2795.431141030714, 'sMAPE_avg': 86.79656831551404, 'R2_avg': 0.6947366872934144}",COMPLETE
6,1372.3463745117188,2026-04-03 02:10:45.976956,2026-04-03 02:10:47.639732,0 days 00:00:01.662776,0.9757995766256756,4.609371175115584,0.18258230439200238,3,9,800,0.9412083349710854,0.9100531293444458,"[48, 34]","{'MAE_15m': 1336.8634033203125, 'RMSE_15m': 2664.976453929753, 'sMAPE_15m': 31.0449766249842, 'R2_15m': 0.7214378668361453, 'MAE_30m': 1407.829345703125, 'RMSE_30m': 2697.3386884112274, 'sMAPE_30m': 39.22540727402167, 'R2_30m': 0.7170228148005381, 'MAE_avg': 1372.3463745117188, 'RMSE_avg': 2681.15757117049, 'sMAPE_avg': 35.13519194950294, 'R2_avg': 0.7192303408183417}",COMPLETE
7,1593.5540161132812,2026-04-03 02:10:47.657257,2026-04-03 02:10:49.773470,0 days 00:00:02.116213,0.7554709158757928,1.7837666334679465,0.011450964268326641,3,3,200,5.441108375656199,0.7301321323053057,"[199, 199]","{'MAE_15m': 1559.7286376953125, 'RMSE_15m': 2751.1813826063885, 'sMAPE_15m': 84.218228065495, 'R2_15m': 0.7031248924587769, 'MAE_30m': 1627.37939453125, 'RMSE_30m': 2813.3883485932047, 'sMAPE_30m': 86.63905259062022, 'R2_30m': 0.6921495452624645, 'MAE_avg': 1593.5540161132812, 'RMSE_avg': 2782.284865599797, 'sMAPE_avg': 85.42864032805761, 'R2_avg': 0.6976372188606207}",COMPLETE
8,1378.8095703125,2026-04-03 02:10:49.775166,2026-04-03 02:10:52.723778,0 days 00:00:02.948612,0.6298202574719083,0.993578407670862,0.015252697030515175,5,10,400,3.5416296712651336,0.9208787923016158,"[314, 331]","{'MAE_15m': 1346.99560546875, 'RMSE_15m': 2685.2508262730316, 'sMAPE_15m': 27.05465562380428, 'R2_15m': 0.7171832801028737, 'MAE_30m': 1410.62353515625, 'RMSE_30m': 2725.568381090447, 'sMAPE_30m': 37.11214433200451, 'R2_30m': 0.7110686941388922, 'MAE_avg': 1378.8095703125, 'RMSE_avg': 2705.409603681739, 'sMAPE_avg': 32.08339997790439, 'R2_avg': 0.7141259871208829}",COMPLETE
9,1385.6651000976562,2026-04-03 02:10:52.725582,2026-04-03 02:10:54.619236,0 days 00:00:01.893654,0.9085081386743783,0.5793452976256486,0.08310795711416077,7,1,200,0.15251273957388442,0.8916028672163949,"[57, 44]","{'MAE_15m': 1341.6915283203125, 'RMSE_15m': 2740.9382517670842, 'sMAPE_15m': 28.5789912204918, 'R2_15m': 0.7053314174277852, 'MAE_30m': 1429.638671875, 'RMSE_30m': 2775.6610924246497, 'sMAPE_30m': 43.11345299542333, 'R2_30m': 0.7003506771808021, 'MAE_avg': 1385.6651000976562, 'RMSE_avg': 2758.299672095867, 'sMAPE_avg': 35.846222107957566, 'R2_avg': 0.7028410473042936}",COMPLETE
