number,value,datetime_start,datetime_complete,duration,params_dropout,params_filters,params_kernel_size,params_lr,user_attrs_val_metrics,system_attrs_completed_rung_0,system_attrs_completed_rung_1,state
0,10665.3466796875,2026-02-24 05:40:00.583033,2026-02-24 05:40:01.643297,0 days 00:00:01.060264,0.2,64,3,0.0011114989443094978,"{'MAE_15m': 10710.65234375, 'RMSE_15m': 10904.973544213668, 'sMAPE_15m': 199.3099823211204, 'R2_15m': -27.37080467802533, 'MAE_30m': 10620.041015625, 'RMSE_30m': 10840.737244302161, 'sMAPE_30m': 199.32543397266784, 'R2_30m': -23.749641123482125, 'MAE_avg': 10665.3466796875, 'RMSE_avg': 10872.855394257915, 'sMAPE_avg': 199.31770814689412, 'R2_avg': -25.56022290075373}",10681.435546875,10677.37109375,COMPLETE
1,10679.9794921875,2026-02-24 05:40:01.644019,2026-02-24 05:40:02.373731,0 days 00:00:00.729712,0.2,64,3,0.0002692655251486473,,10681.2900390625,10679.9794921875,PRUNED
2,10682.4482421875,2026-02-24 05:40:02.374326,2026-02-24 05:40:02.939590,0 days 00:00:00.565264,0.3,32,7,0.000117115099555241,,10682.4482421875,,PRUNED
3,10683.0615234375,2026-02-24 05:40:02.940221,2026-02-24 05:40:03.496909,0 days 00:00:00.556688,0.3,32,5,0.00044684675025045853,,10683.0615234375,,PRUNED
4,10682.384765625,2026-02-24 05:40:03.497535,2026-02-24 05:40:04.040452,0 days 00:00:00.542917,0.3,64,3,0.00018752209455786411,,10682.384765625,,PRUNED
5,10682.107421875,2026-02-24 05:40:04.041032,2026-02-24 05:40:04.590015,0 days 00:00:00.548983,0.2,32,7,0.0003023795012558478,,10682.107421875,,PRUNED
6,9475.98388671875,2026-02-24 05:40:04.590640,2026-02-24 05:40:05.628158,0 days 00:00:01.037518,0.2,96,7,0.002869139536545374,"{'MAE_15m': 9225.6640625, 'RMSE_15m': 9526.15641274066, 'sMAPE_15m': 149.2103757464631, 'R2_15m': -20.649997329210166, 'MAE_30m': 9726.3037109375, 'RMSE_30m': 9922.960445350975, 'sMAPE_30m': 168.59318333645498, 'R2_30m': -19.73642025420723, 'MAE_avg': 9475.98388671875, 'RMSE_avg': 9724.558429045817, 'sMAPE_avg': 158.90177954145904, 'R2_avg': -20.1932087917087}",10658.0380859375,10476.794921875,COMPLETE
7,10682.5126953125,2026-02-24 05:40:05.628869,2026-02-24 05:40:06.161551,0 days 00:00:00.532682,0.0,32,3,0.0001483039268456802,,10682.5126953125,,PRUNED
8,10682.158203125,2026-02-24 05:40:06.162163,2026-02-24 05:40:06.710492,0 days 00:00:00.548329,0.3,32,7,0.0004983319160125723,,10682.158203125,,PRUNED
9,10681.7568359375,2026-02-24 05:40:06.711132,2026-02-24 05:40:07.242139,0 days 00:00:00.531007,0.0,96,5,0.00014433402406338895,,10681.7568359375,,PRUNED
