number,value,datetime_start,datetime_complete,duration,params_dropout,params_gru_units,params_lr,params_lstm_units,user_attrs_val_metrics,system_attrs_completed_rung_0,system_attrs_completed_rung_1,state
0,10679.8759765625,2026-02-24 05:39:32.583376,2026-02-24 05:39:35.546662,0 days 00:00:02.963286,0.2,64,0.0011114989443094978,32,"{'MAE_15m': 10725.025390625, 'RMSE_15m': 10918.691863039272, 'sMAPE_15m': 199.8855647245013, 'R2_15m': -27.442230998081698, 'MAE_30m': 10634.7265625, 'RMSE_30m': 10855.721440788724, 'sMAPE_30m': 199.88237812099953, 'R2_30m': -23.818106592552983, 'MAE_avg': 10679.8759765625, 'RMSE_avg': 10887.206651913999, 'sMAPE_avg': 199.88397142275042, 'R2_avg': -25.63016879531734}",10682.625,10681.8125,COMPLETE
1,10682.85546875,2026-02-24 05:39:35.547457,2026-02-24 05:39:38.320618,0 days 00:00:02.773161,0.2,64,0.0002692655251486473,32,,10682.85546875,,PRUNED
2,10682.4501953125,2026-02-24 05:39:38.321224,2026-02-24 05:39:40.725356,0 days 00:00:02.404132,0.3,32,0.000117115099555241,96,,10682.591796875,10682.4501953125,PRUNED
3,10682.734375,2026-02-24 05:39:40.725984,2026-02-24 05:39:42.965629,0 days 00:00:02.239645,0.3,32,0.00044684675025045853,64,,10682.734375,,PRUNED
4,10682.623046875,2026-02-24 05:39:42.966231,2026-02-24 05:39:45.141259,0 days 00:00:02.175028,0.3,64,0.00018752209455786411,32,,10682.623046875,,PRUNED
5,10682.818359375,2026-02-24 05:39:45.141856,2026-02-24 05:39:48.076174,0 days 00:00:02.934318,0.2,32,0.0003023795012558478,96,,10682.818359375,,PRUNED
6,10667.27587890625,2026-02-24 05:39:48.076797,2026-02-24 05:39:51.124118,0 days 00:00:03.047321,0.2,96,0.002869139536545374,96,"{'MAE_15m': 10712.3740234375, 'RMSE_15m': 10906.26168767282, 'sMAPE_15m': 199.39492918690684, 'R2_15m': -27.377507404117416, 'MAE_30m': 10622.177734375, 'RMSE_30m': 10843.38840031104, 'sMAPE_30m': 199.38982893005743, 'R2_30m': -23.761746740405602, 'MAE_avg': 10667.27587890625, 'RMSE_avg': 10874.82504399193, 'sMAPE_avg': 199.39237905848213, 'R2_avg': -25.56962707226151}",10679.4921875,10672.23046875,COMPLETE
7,10682.90625,2026-02-24 05:39:51.124863,2026-02-24 05:39:53.281244,0 days 00:00:02.156381,0.0,32,0.0001483039268456802,32,,10682.90625,,PRUNED
8,10682.638671875,2026-02-24 05:39:53.281863,2026-02-24 05:39:55.449205,0 days 00:00:02.167342,0.3,32,0.0004983319160125723,96,,10682.638671875,,PRUNED
9,10682.7548828125,2026-02-24 05:39:55.449824,2026-02-24 05:39:57.591060,0 days 00:00:02.141236,0.0,96,0.00014433402406338895,64,,10682.7548828125,,PRUNED
