number,value,datetime_start,datetime_complete,duration,params_dropout,params_lr,params_num_layers,params_units,user_attrs_val_metrics,system_attrs_completed_rung_0,system_attrs_completed_rung_1,state
0,10672.2021484375,2026-02-24 05:39:06.617704,2026-02-24 05:39:09.700211,0 days 00:00:03.082507,0.0,0.00190303683817358,2,64,"{'MAE_15m': 10717.5234375, 'RMSE_15m': 10911.318160515713, 'sMAPE_15m': 199.5943422744478, 'R2_15m': -27.403827920392427, 'MAE_30m': 10626.880859375, 'RMSE_30m': 10847.99631268374, 'sMAPE_30m': 199.57484109405289, 'R2_30m': -23.78279628805464, 'MAE_avg': 10672.2021484375, 'RMSE_avg': 10879.657236599727, 'sMAPE_avg': 199.58459168425034, 'R2_avg': -25.593312104223536}",10680.662109375,10676.50390625,COMPLETE
1,10682.845703125,2026-02-24 05:39:09.700930,2026-02-24 05:39:11.927223,0 days 00:00:02.226293,0.0,0.00018659959624904942,2,64,,10682.845703125,,PRUNED
2,10682.501953125,2026-02-24 05:39:11.927805,2026-02-24 05:39:13.208497,0 days 00:00:01.280692,0.0,0.0003476649150592621,1,64,,10682.501953125,,PRUNED
3,10682.6787109375,2026-02-24 05:39:13.209078,2026-02-24 05:39:15.449094,0 days 00:00:02.240016,0.3,0.0001786013788939711,2,64,,10682.6787109375,,PRUNED
4,10682.697265625,2026-02-24 05:39:15.449674,2026-02-24 05:39:18.518532,0 days 00:00:03.068858,0.3,0.00044684675025045853,2,96,,10682.697265625,,PRUNED
5,10681.232421875,2026-02-24 05:39:18.519137,2026-02-24 05:39:20.945433,0 days 00:00:02.426296,0.2,0.000586412916969653,2,64,,10682.275390625,10681.232421875,PRUNED
6,10668.71630859375,2026-02-24 05:39:20.946050,2026-02-24 05:39:23.991112,0 days 00:00:03.045062,0.0,0.002299958642814372,2,96,"{'MAE_15m': 10714.142578125, 'RMSE_15m': 10907.997799779756, 'sMAPE_15m': 199.46334508761606, 'R2_15m': -27.386543022435575, 'MAE_30m': 10623.2900390625, 'RMSE_30m': 10844.478410693619, 'sMAPE_30m': 199.43351131318514, 'R2_30m': -23.766726296133967, 'MAE_avg': 10668.71630859375, 'RMSE_avg': 10876.238105236687, 'sMAPE_avg': 199.4484282004006, 'R2_avg': -25.57663465928477}",10679.8359375,10672.8515625,COMPLETE
7,10682.669921875,2026-02-24 05:39:23.991850,2026-02-24 05:39:25.313698,0 days 00:00:01.321848,0.3,0.0003364867144187955,1,64,,10682.669921875,,PRUNED
8,10682.86328125,2026-02-24 05:39:25.314287,2026-02-24 05:39:28.182216,0 days 00:00:02.867929,0.2,0.00019657448966046135,2,64,,10682.86328125,,PRUNED
9,10682.90234375,2026-02-24 05:39:28.182816,2026-02-24 05:39:30.373490,0 days 00:00:02.190674,0.0,0.0001483039268456802,2,64,,10682.90234375,,PRUNED
