number,value,datetime_start,datetime_complete,duration,params_dropout,params_filters,params_kernel_size,params_lr,params_rnn_type,params_rnn_units,user_attrs_val_metrics,system_attrs_completed_rung_0,system_attrs_completed_rung_1,state
0,10681.11376953125,2026-02-24 05:40:07.798960,2026-02-24 05:40:09.883229,0 days 00:00:02.084269,0.0,64,3,0.00018559980846490597,lstm,64,"{'MAE_15m': 10726.291015625, 'RMSE_15m': 10919.933333129831, 'sMAPE_15m': 199.93422632095212, 'R2_15m': -27.44869801342885, 'MAE_30m': 10635.9365234375, 'RMSE_30m': 10856.873583126959, 'sMAPE_30m': 199.9314642814883, 'R2_30m': -23.82337477087072, 'MAE_avg': 10681.11376953125, 'RMSE_avg': 10888.403458128396, 'sMAPE_avg': 199.9328453012202, 'R2_avg': -25.636036392149784}",10682.4716796875,10681.951171875,COMPLETE
1,10679.45068359375,2026-02-24 05:40:09.884002,2026-02-24 05:40:12.528019,0 days 00:00:02.644017,0.3,96,7,0.000117115099555241,gru,96,"{'MAE_15m': 10724.767578125, 'RMSE_15m': 10918.437250815705, 'sMAPE_15m': 199.87516829740497, 'R2_15m': -27.44090393227329, 'MAE_30m': 10634.1337890625, 'RMSE_30m': 10855.101657746001, 'sMAPE_30m': 199.86048071099663, 'R2_30m': -23.815273121098247, 'MAE_avg': 10679.45068359375, 'RMSE_avg': 10886.769454280853, 'sMAPE_avg': 199.8678245042008, 'R2_avg': -25.62808852668577}",10682.21875,10681.244140625,COMPLETE
2,10682.4765625,2026-02-24 05:40:12.528805,2026-02-24 05:40:14.028664,0 days 00:00:01.499859,0.3,32,5,0.00024112898115291975,lstm,96,,10682.4765625,,PRUNED
3,10677.78466796875,2026-02-24 05:40:14.029324,2026-02-24 05:40:16.145226,0 days 00:00:02.115902,0.2,32,7,0.0003023795012558478,gru,64,"{'MAE_15m': 10723.017578125, 'RMSE_15m': 10916.713791246888, 'sMAPE_15m': 199.8075412088808, 'R2_15m': -27.43192509447871, 'MAE_30m': 10632.5517578125, 'RMSE_30m': 10853.558310526552, 'sMAPE_30m': 199.79789447001806, 'R2_30m': -23.80821729385684, 'MAE_avg': 10677.78466796875, 'RMSE_avg': 10885.13605088672, 'sMAPE_avg': 199.80271783944943, 'R2_avg': -25.620071194167775}",10681.416015625,10679.98828125,COMPLETE
4,10675.01171875,2026-02-24 05:40:16.146066,2026-02-24 05:40:18.316785,0 days 00:00:02.170719,0.3,96,7,0.0011069143219393448,lstm,64,"{'MAE_15m': 10720.814453125, 'RMSE_15m': 10914.552120907207, 'sMAPE_15m': 199.72193110375684, 'R2_15m': -27.42066692423765, 'MAE_30m': 10629.208984375, 'RMSE_30m': 10850.275203883079, 'sMAPE_30m': 199.66647113372468, 'R2_30m': -23.793211867561325, 'MAE_avg': 10675.01171875, 'RMSE_avg': 10882.413662395142, 'sMAPE_avg': 199.69420111874075, 'R2_avg': -25.606939395899488}",10680.021484375,10676.884765625,COMPLETE
5,10678.8193359375,2026-02-24 05:40:18.317551,2026-02-24 05:40:19.927118,0 days 00:00:01.609567,0.3,64,7,0.0004983319160125723,gru,32,,10680.5859375,10678.8193359375,PRUNED
6,10676.77099609375,2026-02-24 05:40:19.927747,2026-02-24 05:40:22.012260,0 days 00:00:02.084513,0.0,96,5,0.0021907142272152816,lstm,32,"{'MAE_15m': 10721.388671875, 'RMSE_15m': 10915.115757517187, 'sMAPE_15m': 199.7441616919456, 'R2_15m': -27.4236044813251, 'MAE_30m': 10632.1533203125, 'RMSE_30m': 10853.161014193054, 'sMAPE_30m': 199.78249020821858, 'R2_30m': -23.80640100380062, 'MAE_avg': 10676.77099609375, 'RMSE_avg': 10884.13838585512, 'sMAPE_avg': 199.7633259500821, 'R2_avg': -25.615002742562858}",10680.001953125,10677.958984375,COMPLETE
7,10680.77734375,2026-02-24 05:40:22.013066,2026-02-24 05:40:23.435411,0 days 00:00:01.422345,0.3,96,7,0.0006261435181296009,gru,64,,10680.77734375,,PRUNED
8,10671.06787109375,2026-02-24 05:40:23.436008,2026-02-24 05:40:26.221236,0 days 00:00:02.785228,0.3,64,7,0.002470540427082325,lstm,64,"{'MAE_15m': 10716.34375, 'RMSE_15m': 10910.160768751302, 'sMAPE_15m': 199.5486528762384, 'R2_15m': -27.39780226625796, 'MAE_30m': 10625.7919921875, 'RMSE_30m': 10846.92915068592, 'sMAPE_30m': 199.53195928728405, 'R2_30m': -23.777922451800823, 'MAE_avg': 10671.06787109375, 'RMSE_avg': 10878.544959718613, 'sMAPE_avg': 199.54030608176123, 'R2_avg': -25.58786235902939}",10677.689453125,10673.76953125,COMPLETE
9,10681.9560546875,2026-02-24 05:40:26.221979,2026-02-24 05:40:27.651850,0 days 00:00:01.429871,0.0,96,5,0.00025798509464504095,lstm,64,,10681.9560546875,,PRUNED
