number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_lambda,params_subsample,user_attrs_best_iters,user_attrs_val_metrics,state
0,3284.8323974609375,2026-04-03 02:11:06.518895,2026-04-03 02:11:08.261654,0 days 00:00:01.742759,0.6624074561769746,4.330880728874676,0.08960785365368121,8,2,600,0.01555019165426488,0.8394633936788146,"[23, 17]","{'MAE_15m': 3330.001953125, 'RMSE_15m': 4050.925449820078, 'sMAPE_15m': 34.85215442244063, 'R2_15m': 0.047343512833013524, 'MAE_30m': 3239.662841796875, 'RMSE_30m': 3988.7116967762913, 'sMAPE_30m': 34.24966050643754, 'R2_30m': 0.03322585870903272, 'MAE_avg': 3284.8323974609375, 'RMSE_avg': 4019.8185732981847, 'sMAPE_avg': 34.550907464439085, 'R2_avg': 0.04028468577102312}",COMPLETE
1,3409.8511962890625,2026-04-03 02:11:08.266767,2026-04-03 02:11:10.051606,0 days 00:00:01.784839,0.9329770563201687,0.9170225492671691,0.010636066512540286,6,3,800,0.039829941698924086,0.9879639408647978,"[76, 0]","{'MAE_15m': 3372.565673828125, 'RMSE_15m': 4062.6109830994155, 'sMAPE_15m': 35.284238932691764, 'R2_15m': 0.04183935789506543, 'MAE_30m': 3447.13671875, 'RMSE_30m': 4078.0377634347624, 'sMAPE_30m': 36.322321609662005, 'R2_30m': -0.01056028193228431, 'MAE_avg': 3409.8511962890625, 'RMSE_avg': 4070.324373267089, 'sMAPE_avg': 35.80328027117689, 'R2_avg': 0.01563953798139056}",COMPLETE
2,3366.4794921875,2026-04-03 02:11:10.064521,2026-04-03 02:11:11.926254,0 days 00:00:01.861733,0.8447411578889518,1.8318092164684585,0.03647316284911211,5,2,400,0.09212515846231674,0.7164916560792167,"[149, 31]","{'MAE_15m': 3303.735595703125, 'RMSE_15m': 4056.5039134703175, 'sMAPE_15m': 34.55355948683066, 'R2_15m': 0.04471786115237808, 'MAE_30m': 3429.223388671875, 'RMSE_30m': 4076.3879844784155, 'sMAPE_30m': 36.124415642638155, 'R2_30m': -0.00974273050995711, 'MAE_avg': 3366.4794921875, 'RMSE_avg': 4066.4459489743667, 'sMAPE_avg': 35.33898756473441, 'R2_avg': 0.017487565321210485}",COMPLETE
3,3385.7017822265625,2026-04-03 02:11:11.932842,2026-04-03 02:11:13.748244,0 days 00:00:01.815402,0.836965827544817,0.8526206184364576,0.018187859051288217,7,1,600,1.0128002032729382,0.8056937753654446,"[60, 13]","{'MAE_15m': 3354.178955078125, 'RMSE_15m': 4049.7756727996675, 'sMAPE_15m': 35.14417308423566, 'R2_15m': 0.04788417785091348, 'MAE_30m': 3417.224609375, 'RMSE_30m': 4055.9552512324394, 'sMAPE_30m': 36.02973427964207, 'R2_30m': 0.0003544102326187293, 'MAE_avg': 3385.7017822265625, 'RMSE_avg': 4052.8654620160532, 'sMAPE_avg': 35.586953681938866, 'R2_avg': 0.024119294041766104}",COMPLETE
4,3294.629150390625,2026-04-03 02:11:13.749793,2026-04-03 02:11:15.713647,0 days 00:00:01.963854,0.7218455076693483,2.2007624686980067,0.18043311207136256,8,1,200,1.8141523033666782,0.9233589392465844,"[20, 0]","{'MAE_15m': 3130.664794921875, 'RMSE_15m': 3912.023517311725, 'sMAPE_15m': 32.832652944298204, 'R2_15m': 0.11155460500326075, 'MAE_30m': 3458.593505859375, 'RMSE_30m': 4107.442026371157, 'sMAPE_30m': 36.43473262994637, 'R2_30m': -0.025185947029003453, 'MAE_avg': 3294.629150390625, 'RMSE_avg': 4009.732771841441, 'sMAPE_avg': 34.633692787122285, 'R2_avg': 0.04318432898712865}",COMPLETE
5,3398.100341796875,2026-04-03 02:11:15.724976,2026-04-03 02:11:17.701820,0 days 00:00:01.976844,0.7035119926400067,2.600340105889054,0.011085122517311707,5,7,200,0.10689751565977942,0.9637281608315128,"[173, 43]","{'MAE_15m': 3368.627197265625, 'RMSE_15m': 4057.6144469380033, 'sMAPE_15m': 35.25088446794442, 'R2_15m': 0.04419470133907222, 'MAE_30m': 3427.573486328125, 'RMSE_30m': 4075.0543554657033, 'sMAPE_30m': 36.111842087561485, 'R2_30m': -0.00908219050938297, 'MAE_avg': 3398.100341796875, 'RMSE_avg': 4066.3344012018533, 'sMAPE_avg': 35.68136327775295, 'R2_avg': 0.017556255414844624}",COMPLETE
6,3367.45947265625,2026-04-03 02:11:17.703514,2026-04-03 02:11:19.292667,0 days 00:00:01.589153,0.9757995766256756,4.609371175115584,0.18258230439200238,3,9,800,0.9412083349710854,0.9100531293444458,"[31, 14]","{'MAE_15m': 3367.29296875, 'RMSE_15m': 4059.713659853365, 'sMAPE_15m': 35.33597634720563, 'R2_15m': 0.04320560641924909, 'MAE_30m': 3367.6259765625, 'RMSE_30m': 4047.1907540910397, 'sMAPE_30m': 35.52986440261086, 'R2_30m': 0.004669992846534576, 'MAE_avg': 3367.45947265625, 'RMSE_avg': 4053.4522069722025, 'sMAPE_avg': 35.43292037490825, 'R2_avg': 0.023937799632891832}",COMPLETE
7,3398.5439453125,2026-04-03 02:11:19.293948,2026-04-03 02:11:21.163419,0 days 00:00:01.869471,0.7554709158757928,1.7837666334679465,0.011450964268326641,3,3,200,5.441108375656199,0.7301321323053057,"[199, 49]","{'MAE_15m': 3363.08203125, 'RMSE_15m': 4050.776592210437, 'sMAPE_15m': 35.19252937178547, 'R2_15m': 0.04741354043447488, 'MAE_30m': 3434.005859375, 'RMSE_30m': 4070.397892098511, 'sMAPE_30m': 36.194068711138655, 'R2_30m': -0.006777424950007438, 'MAE_avg': 3398.5439453125, 'RMSE_avg': 4060.5872421544736, 'sMAPE_avg': 35.69329904146206, 'R2_avg': 0.02031805774223372}",COMPLETE
8,3392.365966796875,2026-04-03 02:11:21.164755,2026-04-03 02:11:23.243788,0 days 00:00:02.079033,0.6298202574719083,0.993578407670862,0.015252697030515175,5,10,400,3.5416296712651336,0.9208787923016158,"[106, 62]","{'MAE_15m': 3384.252685546875, 'RMSE_15m': 4070.2727181357272, 'sMAPE_15m': 35.40299021404902, 'R2_15m': 0.038221919377780744, 'MAE_30m': 3400.479248046875, 'RMSE_30m': 4052.4909623588305, 'sMAPE_30m': 35.86109467364816, 'R2_30m': 0.0020613033678898995, 'MAE_avg': 3392.365966796875, 'RMSE_avg': 4061.381840247279, 'sMAPE_avg': 35.63204244384859, 'R2_avg': 0.020141611372835322}",COMPLETE
9,3350.3427734375,2026-04-03 02:11:23.247582,2026-04-03 02:11:24.880696,0 days 00:00:01.633114,0.9085081386743783,0.5793452976256486,0.08310795711416077,7,1,200,0.15251273957388442,0.8916028672163949,"[14, 18]","{'MAE_15m': 3338.37109375, 'RMSE_15m': 4033.4402189694097, 'sMAPE_15m': 34.99013894820926, 'R2_15m': 0.05554975771971504, 'MAE_30m': 3362.314453125, 'RMSE_30m': 4115.188695552125, 'sMAPE_30m': 35.17958115935594, 'R2_30m': -0.029056517383909464, 'MAE_avg': 3350.3427734375, 'RMSE_avg': 4074.314457260767, 'sMAPE_avg': 35.0848600537826, 'R2_avg': 0.01324662016790279}",COMPLETE
