number,value,datetime_start,datetime_complete,duration,params_dropout,params_filters,params_kernel_size,params_lr,user_attrs_val_metrics,system_attrs_completed_rung_0,system_attrs_completed_rung_1,state
0,0.3535354658961296,2026-02-24 05:41:31.431013,2026-02-24 05:41:32.046091,0 days 00:00:00.615078,0.2,64,3,0.0011114989443094978,"{'MAE_15m': 0.6267042756080627, 'RMSE_15m': 0.8010068622133244, 'sMAPE_15m': 200.0, 'R2_15m': 0.0, 'MAE_30m': 0.08036665618419647, 'RMSE_30m': 0.10910787489699883, 'sMAPE_30m': 200.0, 'R2_30m': 0.0, 'MAE_avg': 0.3535354658961296, 'RMSE_avg': 0.4550573685551616, 'sMAPE_avg': 200.0, 'R2_avg': 0.0}",0.94114089012146,,COMPLETE
1,0.3090771436691284,2026-02-24 05:41:32.046792,2026-02-24 05:41:32.648425,0 days 00:00:00.601633,0.2,64,3,0.0002692655251486473,"{'MAE_15m': 0.34167054295539856, 'RMSE_15m': 0.3752780320716264, 'sMAPE_15m': 200.0, 'R2_15m': 0.0, 'MAE_30m': 0.2764837443828583, 'RMSE_30m': 0.39341788363468827, 'sMAPE_30m': 200.0, 'R2_30m': 0.0, 'MAE_avg': 0.3090771436691284, 'RMSE_avg': 0.38434795785315734, 'sMAPE_avg': 200.0, 'R2_avg': 0.0}",0.38627147674560547,,COMPLETE
2,0.11798269301652908,2026-02-24 05:41:32.649125,2026-02-24 05:41:33.436084,0 days 00:00:00.786959,0.3,32,7,0.000117115099555241,"{'MAE_15m': 0.06374788284301758, 'RMSE_15m': 0.09617927881463412, 'sMAPE_15m': 200.0, 'R2_15m': 0.0, 'MAE_30m': 0.1722175031900406, 'RMSE_30m': 0.19395821250894008, 'sMAPE_30m': 200.0, 'R2_30m': 0.0, 'MAE_avg': 0.11798269301652908, 'RMSE_avg': 0.1450687456617871, 'sMAPE_avg': 200.0, 'R2_avg': 0.0}",0.13132400810718536,0.12302950024604797,COMPLETE
3,0.2983396649360657,2026-02-24 05:41:33.436815,2026-02-24 05:41:33.973445,0 days 00:00:00.536630,0.3,32,5,0.00044684675025045853,,0.2983396649360657,,PRUNED
4,1.0902676582336426,2026-02-24 05:41:33.974035,2026-02-24 05:41:34.525409,0 days 00:00:00.551374,0.3,64,3,0.00018752209455786411,,1.0902676582336426,,PRUNED
5,0.3076646625995636,2026-02-24 05:41:34.525970,2026-02-24 05:41:35.073165,0 days 00:00:00.547195,0.2,32,7,0.0003023795012558478,,0.3076646625995636,,PRUNED
6,5.167562484741211,2026-02-24 05:41:35.073721,2026-02-24 05:41:35.620249,0 days 00:00:00.546528,0.2,96,7,0.002869139536545374,,5.167562484741211,,PRUNED
7,0.22072996199131012,2026-02-24 05:41:35.620819,2026-02-24 05:41:36.793803,0 days 00:00:01.172984,0.0,32,3,0.0001483039268456802,"{'MAE_15m': 0.15807685256004333, 'RMSE_15m': 0.23599737841202734, 'sMAPE_15m': 200.0, 'R2_15m': 0.0, 'MAE_30m': 0.2833830714225769, 'RMSE_30m': 0.3019812044064178, 'sMAPE_30m': 200.0, 'R2_30m': 0.0, 'MAE_avg': 0.22072996199131012, 'RMSE_avg': 0.26898929140922256, 'sMAPE_avg': 200.0, 'R2_avg': 0.0}",0.2539907395839691,,COMPLETE
8,0.12185557559132576,2026-02-24 05:41:36.794542,2026-02-24 05:41:37.465489,0 days 00:00:00.670947,0.3,32,7,0.0004983319160125723,"{'MAE_15m': 0.14939096570014954, 'RMSE_15m': 0.3495464161706196, 'sMAPE_15m': 200.0, 'R2_15m': 0.0, 'MAE_30m': 0.09432018548250198, 'RMSE_30m': 0.1600737766421832, 'sMAPE_30m': 200.0, 'R2_30m': 0.0, 'MAE_avg': 0.12185557559132576, 'RMSE_avg': 0.2548100964064014, 'sMAPE_avg': 200.0, 'R2_avg': 0.0}",0.1675490438938141,,COMPLETE
9,0.34164556860923767,2026-02-24 05:41:37.466237,2026-02-24 05:41:38.010453,0 days 00:00:00.544216,0.0,96,5,0.00014433402406338895,,0.34164556860923767,,PRUNED
