number,value,datetime_start,datetime_complete,duration,params_dropout,params_gru_units,params_lr,params_lstm_units,user_attrs_val_metrics,system_attrs_completed_rung_0,system_attrs_completed_rung_1,state
0,0.20762857794761658,2026-02-24 05:41:03.733103,2026-02-24 05:41:07.069255,0 days 00:00:03.336152,0.2,64,0.0011114989443094978,32,"{'MAE_15m': 0.2164495438337326, 'RMSE_15m': 0.2964888872650113, 'sMAPE_15m': 200.0, 'R2_15m': 0.0, 'MAE_30m': 0.19880761206150055, 'RMSE_30m': 0.2543526906111705, 'sMAPE_30m': 200.0, 'R2_30m': 0.0, 'MAE_avg': 0.20762857794761658, 'RMSE_avg': 0.2754207889380909, 'sMAPE_avg': 200.0, 'R2_avg': 0.0}",0.2307264655828476,,COMPLETE
1,0.3278069496154785,2026-02-24 05:41:07.070073,2026-02-24 05:41:09.333217,0 days 00:00:02.263144,0.2,64,0.0002692655251486473,32,,0.3278069496154785,,PRUNED
2,0.05123303085565567,2026-02-24 05:41:09.333771,2026-02-24 05:41:12.023926,0 days 00:00:02.690155,0.3,32,0.000117115099555241,96,"{'MAE_15m': 0.026941008865833282, 'RMSE_15m': 0.034203936285780896, 'sMAPE_15m': 200.0, 'R2_15m': 0.0, 'MAE_30m': 0.07552505284547806, 'RMSE_30m': 0.0943341582784047, 'sMAPE_30m': 200.0, 'R2_30m': 0.0, 'MAE_avg': 0.05123303085565567, 'RMSE_avg': 0.0642690472820928, 'sMAPE_avg': 200.0, 'R2_avg': 0.0}",0.05648632347583771,0.05308280140161514,COMPLETE
3,0.0648508369922638,2026-02-24 05:41:12.024660,2026-02-24 05:41:14.196204,0 days 00:00:02.171544,0.3,32,0.00044684675025045853,64,,0.0648508369922638,,PRUNED
4,0.1606607586145401,2026-02-24 05:41:14.196780,2026-02-24 05:41:17.086263,0 days 00:00:02.889483,0.3,64,0.00018752209455786411,32,,0.1606607586145401,,PRUNED
5,0.13752375543117523,2026-02-24 05:41:17.086825,2026-02-24 05:41:19.393047,0 days 00:00:02.306222,0.2,32,0.0003023795012558478,96,,0.13752375543117523,,PRUNED
6,0.9070152044296265,2026-02-24 05:41:19.393686,2026-02-24 05:41:21.570550,0 days 00:00:02.176864,0.2,96,0.002869139536545374,96,,0.9070152044296265,,PRUNED
7,0.2505286633968353,2026-02-24 05:41:21.571118,2026-02-24 05:41:23.747635,0 days 00:00:02.176517,0.0,32,0.0001483039268456802,32,,0.2505286633968353,,PRUNED
8,0.045904284343123436,2026-02-24 05:41:23.748281,2026-02-24 05:41:27.108885,0 days 00:00:03.360604,0.3,32,0.0004983319160125723,96,"{'MAE_15m': 0.016167622059583664, 'RMSE_15m': 0.019885784508573416, 'sMAPE_15m': 200.0, 'R2_15m': 0.0, 'MAE_30m': 0.07564094662666321, 'RMSE_30m': 0.10643379341583055, 'sMAPE_30m': 200.0, 'R2_30m': 0.0, 'MAE_avg': 0.045904284343123436, 'RMSE_avg': 0.06315978896220198, 'sMAPE_avg': 200.0, 'R2_avg': 0.0}",0.05765062943100929,,COMPLETE
9,0.33601197600364685,2026-02-24 05:41:27.109651,2026-02-24 05:41:29.327535,0 days 00:00:02.217884,0.0,96,0.00014433402406338895,64,,0.33601197600364685,,PRUNED
