number,value,datetime_start,datetime_complete,duration,params_dropout,params_lr,params_num_layers,params_units,user_attrs_val_metrics,system_attrs_completed_rung_0,system_attrs_completed_rung_1,state
0,0.0850272886455059,2026-02-24 05:40:37.419248,2026-02-24 05:40:39.990329,0 days 00:00:02.571081,0.0,0.00190303683817358,2,64,"{'MAE_15m': 0.06628813594579697, 'RMSE_15m': 0.11430466335302372, 'sMAPE_15m': 200.0, 'R2_15m': 0.0, 'MAE_30m': 0.10376644134521484, 'RMSE_30m': 0.10900724266809343, 'sMAPE_30m': 200.0, 'R2_30m': 0.0, 'MAE_avg': 0.0850272886455059, 'RMSE_avg': 0.11165595301055858, 'sMAPE_avg': 200.0, 'R2_avg': 0.0}",0.21960331499576569,,COMPLETE
1,0.11097320541739464,2026-02-24 05:40:39.991061,2026-02-24 05:40:42.495204,0 days 00:00:02.504143,0.0,0.00018659959624904942,2,64,"{'MAE_15m': 0.09209907799959183, 'RMSE_15m': 0.10742703772189752, 'sMAPE_15m': 200.0, 'R2_15m': 0.0, 'MAE_30m': 0.12984733283519745, 'RMSE_30m': 0.13057690352110157, 'sMAPE_30m': 200.0, 'R2_30m': 0.0, 'MAE_avg': 0.11097320541739464, 'RMSE_avg': 0.11900197062149954, 'sMAPE_avg': 200.0, 'R2_avg': 0.0}",0.12085171043872833,,COMPLETE
2,0.4094856381416321,2026-02-24 05:40:42.495904,2026-02-24 05:40:43.770317,0 days 00:00:01.274413,0.0,0.0003476649150592621,1,64,,0.4094856381416321,,PRUNED
3,0.17572325468063354,2026-02-24 05:40:43.770905,2026-02-24 05:40:46.914858,0 days 00:00:03.143953,0.3,0.0001786013788939711,2,64,,0.17572325468063354,,PRUNED
4,0.1754005402326584,2026-02-24 05:40:46.915421,2026-02-24 05:40:49.238603,0 days 00:00:02.323182,0.3,0.00044684675025045853,2,96,,0.1754005402326584,,PRUNED
5,0.10570235922932625,2026-02-24 05:40:49.239168,2026-02-24 05:40:51.796327,0 days 00:00:02.557159,0.2,0.000586412916969653,2,64,"{'MAE_15m': 0.1691846251487732, 'RMSE_15m': 0.17957012862768046, 'sMAPE_15m': 200.0, 'R2_15m': 0.0, 'MAE_30m': 0.0422200933098793, 'RMSE_30m': 0.04687755299609479, 'sMAPE_30m': 200.0, 'R2_30m': 0.0, 'MAE_avg': 0.10570235922932625, 'RMSE_avg': 0.11322384081188763, 'sMAPE_avg': 200.0, 'R2_avg': 0.0}",0.16250838339328766,,COMPLETE
6,1.120890736579895,2026-02-24 05:40:51.797075,2026-02-24 05:40:54.017595,0 days 00:00:02.220520,0.0,0.002299958642814372,2,96,,1.120890736579895,,PRUNED
7,0.22587774693965912,2026-02-24 05:40:54.018180,2026-02-24 05:40:56.007727,0 days 00:00:01.989547,0.3,0.0003364867144187955,1,64,,0.22587774693965912,,PRUNED
8,0.10631957650184631,2026-02-24 05:40:56.008290,2026-02-24 05:40:59.073943,0 days 00:00:03.065653,0.2,0.00019657448966046135,2,64,"{'MAE_15m': 0.09049729257822037, 'RMSE_15m': 0.12215084090032213, 'sMAPE_15m': 200.0, 'R2_15m': 0.0, 'MAE_30m': 0.12214186042547226, 'RMSE_30m': 0.12736420467131457, 'sMAPE_30m': 200.0, 'R2_30m': 0.0, 'MAE_avg': 0.10631957650184631, 'RMSE_avg': 0.12475752278581835, 'sMAPE_avg': 200.0, 'R2_avg': 0.0}",0.12594233453273773,0.11619970202445984,COMPLETE
9,0.11145848408341408,2026-02-24 05:40:59.074763,2026-02-24 05:41:01.628155,0 days 00:00:02.553392,0.0,0.0001483039268456802,2,64,"{'MAE_15m': 0.022467218339443207, 'RMSE_15m': 0.027056341598225273, 'sMAPE_15m': 200.0, 'R2_15m': 0.0, 'MAE_30m': 0.20044974982738495, 'RMSE_30m': 0.22500870078535917, 'sMAPE_30m': 200.0, 'R2_30m': 0.0, 'MAE_avg': 0.11145848408341408, 'RMSE_avg': 0.12603252119179223, 'sMAPE_avg': 200.0, 'R2_avg': 0.0}",0.11416760087013245,,COMPLETE
