number,value,datetime_start,datetime_complete,duration,params_dropout,params_filters,params_kernel_size,params_lr,params_rnn_type,params_rnn_units,user_attrs_val_metrics,system_attrs_completed_rung_0,state
0,0.13968708366155624,2026-02-24 05:41:38.524844,2026-02-24 05:41:40.208133,0 days 00:00:01.683289,0.0,64,3,0.00018559980846490597,lstm,64,"{'MAE_15m': 0.15162542462348938, 'RMSE_15m': 0.17982951025844013, 'sMAPE_15m': 200.0, 'R2_15m': 0.0, 'MAE_30m': 0.1277487426996231, 'RMSE_30m': 0.13942043658622533, 'sMAPE_30m': 200.0, 'R2_30m': 0.0, 'MAE_avg': 0.13968708366155624, 'RMSE_avg': 0.15962497342233273, 'sMAPE_avg': 200.0, 'R2_avg': 0.0}",0.22191308438777924,COMPLETE
1,0.29036641120910645,2026-02-24 05:41:40.208932,2026-02-24 05:41:41.652531,0 days 00:00:01.443599,0.3,96,7,0.000117115099555241,gru,96,,0.29036641120910645,PRUNED
2,0.12237459234893322,2026-02-24 05:41:41.653138,2026-02-24 05:41:43.329153,0 days 00:00:01.676015,0.3,32,5,0.00024112898115291975,lstm,96,"{'MAE_15m': 0.05496717616915703, 'RMSE_15m': 0.06737339603584075, 'sMAPE_15m': 200.0, 'R2_15m': 0.0, 'MAE_30m': 0.1897820085287094, 'RMSE_30m': 0.19965772323196218, 'sMAPE_30m': 200.0, 'R2_30m': 0.0, 'MAE_avg': 0.12237459234893322, 'RMSE_avg': 0.13351555963390146, 'sMAPE_avg': 200.0, 'R2_avg': 0.0}",0.20761533081531525,COMPLETE
3,0.5833407640457153,2026-02-24 05:41:43.329936,2026-02-24 05:41:44.741392,0 days 00:00:01.411456,0.2,32,7,0.0003023795012558478,gru,64,,0.5833407640457153,PRUNED
4,1.1199074983596802,2026-02-24 05:41:44.742013,2026-02-24 05:41:46.200878,0 days 00:00:01.458865,0.3,96,7,0.0011069143219393448,lstm,64,,1.1199074983596802,PRUNED
5,0.2631128430366516,2026-02-24 05:41:46.201467,2026-02-24 05:41:47.609572,0 days 00:00:01.408105,0.3,64,7,0.0004983319160125723,gru,32,,0.2631128430366516,PRUNED
6,1.8809738159179688,2026-02-24 05:41:47.610202,2026-02-24 05:41:49.705900,0 days 00:00:02.095698,0.0,96,5,0.0021907142272152816,lstm,32,,1.8809738159179688,PRUNED
7,0.5595418810844421,2026-02-24 05:41:49.706490,2026-02-24 05:41:51.183835,0 days 00:00:01.477345,0.3,96,7,0.0006261435181296009,gru,64,,0.5595418810844421,PRUNED
8,1.4889839887619019,2026-02-24 05:41:51.184412,2026-02-24 05:41:52.643200,0 days 00:00:01.458788,0.3,64,7,0.002470540427082325,lstm,64,,1.4889839887619019,PRUNED
9,0.08797844685614109,2026-02-24 05:41:52.643800,2026-02-24 05:41:54.267306,0 days 00:00:01.623506,0.0,96,5,0.00025798509464504095,lstm,64,"{'MAE_15m': 0.04634172096848488, 'RMSE_15m': 0.05064808367809044, 'sMAPE_15m': 200.0, 'R2_15m': 0.0, 'MAE_30m': 0.1296151727437973, 'RMSE_30m': 0.13957952920038041, 'sMAPE_30m': 200.0, 'R2_30m': 0.0, 'MAE_avg': 0.08797844685614109, 'RMSE_avg': 0.09511380643923542, 'sMAPE_avg': 200.0, 'R2_avg': 0.0}",0.22907370328903198,COMPLETE
