number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_lambda,params_subsample,state
0,6761.41015625,2026-02-24 05:40:29.189507,2026-02-24 05:40:29.633653,0 days 00:00:00.444146,0.6624074561769746,4.330880728874676,0.08960785365368121,8,2,600,0.01555019165426488,0.8394633936788146,COMPLETE
1,7084.3955078125,2026-02-24 05:40:29.634579,2026-02-24 05:40:30.268272,0 days 00:00:00.633693,0.9329770563201687,0.9170225492671691,0.010636066512540286,6,3,800,0.039829941698924086,0.9879639408647978,COMPLETE
2,6740.5224609375,2026-02-24 05:40:30.269208,2026-02-24 05:40:30.559095,0 days 00:00:00.289887,0.8447411578889518,1.8318092164684585,0.03647316284911211,5,2,400,0.09212515846231674,0.7164916560792167,COMPLETE
3,5669.1494140625,2026-02-24 05:40:30.560012,2026-02-24 05:40:31.138888,0 days 00:00:00.578876,0.836965827544817,0.8526206184364576,0.018187859051288217,7,1,600,1.0128002032729382,0.8056937753654446,COMPLETE
4,4910.44384765625,2026-02-24 05:40:31.139879,2026-02-24 05:40:31.308904,0 days 00:00:00.169025,0.7218455076693483,2.2007624686980067,0.18043311207136256,8,1,200,1.8141523033666782,0.9233589392465844,COMPLETE
5,5379.51904296875,2026-02-24 05:40:31.309816,2026-02-24 05:40:31.446938,0 days 00:00:00.137122,0.7035119926400067,2.600340105889054,0.011085122517311707,5,7,200,0.10689751565977942,0.9637281608315128,COMPLETE
6,7298.2021484375,2026-02-24 05:40:31.447827,2026-02-24 05:40:31.914564,0 days 00:00:00.466737,0.9757995766256756,4.609371175115584,0.18258230439200238,3,9,800,0.9412083349710854,0.9100531293444458,COMPLETE
7,3844.8818359375,2026-02-24 05:40:31.915508,2026-02-24 05:40:32.028102,0 days 00:00:00.112594,0.7554709158757928,1.7837666334679465,0.011450964268326641,3,3,200,5.441108375656199,0.7301321323053057,COMPLETE
8,5073.3779296875,2026-02-24 05:40:32.029012,2026-02-24 05:40:32.277864,0 days 00:00:00.248852,0.6298202574719083,0.993578407670862,0.015252697030515175,5,10,400,3.5416296712651336,0.9208787923016158,COMPLETE
9,5736.83544921875,2026-02-24 05:40:32.278974,2026-02-24 05:40:32.531190,0 days 00:00:00.252216,0.9085081386743783,0.5793452976256486,0.08310795711416077,7,1,200,0.15251273957388442,0.8916028672163949,COMPLETE
