number,value,datetime_start,datetime_complete,duration,params_dropout,params_filters,params_kernel_size,params_lr,user_attrs_val_metrics,system_attrs_completed_rung_0,system_attrs_completed_rung_1,state
0,103.17708206176758,2026-02-23 03:13:32.572947,2026-02-23 03:13:33.880430,0 days 00:00:01.307483,0.2,64,3,0.0011114989443094978,"{'MAE_15m': 103.76359558105469, 'RMSE_15m': 106.54427996729811, 'sMAPE_15m': 90.12462424078464, 'R2_15m': -33.276499528715206, 'MAE_30m': 102.59056854248047, 'RMSE_30m': 105.33473893527481, 'sMAPE_30m': 88.03125407522579, 'R2_30m': -31.8777648947258, 'MAE_avg': 103.17708206176758, 'RMSE_avg': 105.93950945128645, 'sMAPE_avg': 89.07793915800522, 'R2_avg': -32.5771322117205}",164.91578674316406,152.5579833984375,COMPLETE
1,167.98146057128906,2026-02-23 03:13:33.880950,2026-02-23 03:13:34.556682,0 days 00:00:00.675732,0.2,64,3,0.0002692655251486473,,167.98146057128906,,PRUNED
2,167.84161376953125,2026-02-23 03:13:34.557159,2026-02-23 03:13:35.223247,0 days 00:00:00.666088,0.3,32,7,0.000117115099555241,,167.84161376953125,,PRUNED
3,167.19692993164062,2026-02-23 03:13:35.223723,2026-02-23 03:13:35.911013,0 days 00:00:00.687290,0.3,32,5,0.00044684675025045853,,167.19692993164062,,PRUNED
4,167.13919067382812,2026-02-23 03:13:35.911501,2026-02-23 03:13:36.572216,0 days 00:00:00.660715,0.3,64,3,0.00018752209455786411,,167.13919067382812,,PRUNED
5,167.20677185058594,2026-02-23 03:13:36.572710,2026-02-23 03:13:37.196771,0 days 00:00:00.624061,0.2,32,7,0.0003023795012558478,,167.20677185058594,,PRUNED
6,32.92350769042969,2026-02-23 03:13:37.197247,2026-02-23 03:13:38.162321,0 days 00:00:00.965074,0.2,96,7,0.002869139536545374,"{'MAE_15m': 35.04851531982422, 'RMSE_15m': 37.25339323628369, 'sMAPE_15m': 23.02007899492211, 'R2_15m': -3.190518884690869, 'MAE_30m': 30.798500061035156, 'RMSE_30m': 33.96093839860822, 'sMAPE_30m': 19.922407028291335, 'R2_30m': -2.4175775252379146, 'MAE_avg': 32.92350769042969, 'RMSE_avg': 35.60716581744596, 'sMAPE_avg': 21.471243011606724, 'R2_avg': -2.804048204964392}",138.79742431640625,34.055171966552734,COMPLETE
7,167.4928436279297,2026-02-23 03:13:38.162849,2026-02-23 03:13:38.731194,0 days 00:00:00.568345,0.0,32,3,0.0001483039268456802,,167.4928436279297,,PRUNED
8,167.45460510253906,2026-02-23 03:13:38.731680,2026-02-23 03:13:39.312117,0 days 00:00:00.580437,0.3,32,7,0.0004983319160125723,,167.45460510253906,,PRUNED
9,167.33595275878906,2026-02-23 03:13:39.312623,2026-02-23 03:13:39.876045,0 days 00:00:00.563422,0.0,96,5,0.00014433402406338895,,167.33595275878906,,PRUNED
