number,value,datetime_start,datetime_complete,duration,params_dropout,params_gru_units,params_lr,params_lstm_units,user_attrs_val_metrics,system_attrs_completed_rung_0,system_attrs_completed_rung_1,state
0,161.9017105102539,2026-02-23 03:13:01.714804,2026-02-23 03:13:04.875547,0 days 00:00:03.160743,0.2,64,0.0011114989443094978,32,"{'MAE_15m': 162.03871154785156, 'RMSE_15m': 163.0573554669491, 'sMAPE_15m': 186.54568528265872, 'R2_15m': -79.28177607813048, 'MAE_30m': 161.76470947265625, 'RMSE_30m': 162.8046183312992, 'sMAPE_30m': 183.8302879314728, 'R2_30m': -77.54028054117609, 'MAE_avg': 161.9017105102539, 'RMSE_avg': 162.93098689912415, 'sMAPE_avg': 185.18798660706577, 'R2_avg': -78.41102830965329}",167.48565673828125,165.07460021972656,COMPLETE
1,168.00442504882812,2026-02-23 03:13:04.876114,2026-02-23 03:13:07.160565,0 days 00:00:02.284451,0.2,64,0.0002692655251486473,32,,168.00442504882812,,PRUNED
2,168.17694091796875,2026-02-23 03:13:07.161082,2026-02-23 03:13:09.409534,0 days 00:00:02.248452,0.3,32,0.000117115099555241,96,,168.17694091796875,,PRUNED
3,167.98544311523438,2026-02-23 03:13:09.410040,2026-02-23 03:13:13.539323,0 days 00:00:04.129283,0.3,32,0.00044684675025045853,64,,167.98544311523438,,PRUNED
4,168.2333984375,2026-02-23 03:13:13.539821,2026-02-23 03:13:16.068107,0 days 00:00:02.528286,0.3,64,0.00018752209455786411,32,,168.2333984375,,PRUNED
5,168.11354064941406,2026-02-23 03:13:16.068628,2026-02-23 03:13:18.389453,0 days 00:00:02.320825,0.2,32,0.0003023795012558478,96,,168.11354064941406,,PRUNED
6,144.09130096435547,2026-02-23 03:13:18.389951,2026-02-23 03:13:21.576479,0 days 00:00:03.186528,0.2,96,0.002869139536545374,96,"{'MAE_15m': 142.30899047851562, 'RMSE_15m': 143.46786851722234, 'sMAPE_15m': 146.72383322686738, 'R2_15m': -61.150613519144066, 'MAE_30m': 145.8736114501953, 'RMSE_30m': 147.02578696014518, 'sMAPE_30m': 151.7021950867986, 'R2_30m': -63.053971144362464, 'MAE_avg': 144.09130096435547, 'RMSE_avg': 145.24682773868375, 'sMAPE_avg': 149.213014156833, 'R2_avg': -62.10229233175326}",160.21029663085938,152.4635772705078,COMPLETE
7,168.37379455566406,2026-02-23 03:13:21.577010,2026-02-23 03:13:23.842336,0 days 00:00:02.265326,0.0,32,0.0001483039268456802,32,,168.37379455566406,,PRUNED
8,168.32371520996094,2026-02-23 03:13:23.842856,2026-02-23 03:13:26.086683,0 days 00:00:02.243827,0.3,32,0.0004983319160125723,96,,168.32371520996094,,PRUNED
9,168.32481384277344,2026-02-23 03:13:26.087189,2026-02-23 03:13:28.359288,0 days 00:00:02.272099,0.0,96,0.00014433402406338895,64,,168.32481384277344,,PRUNED
