number,value,datetime_start,datetime_complete,duration,params_dropout,params_lr,params_num_layers,params_units,user_attrs_val_metrics,system_attrs_completed_rung_0,system_attrs_completed_rung_1,state
0,154.44229125976562,2026-02-23 03:12:33.452301,2026-02-23 03:12:36.770980,0 days 00:00:03.318679,0.0,0.00190303683817358,2,64,"{'MAE_15m': 153.04808044433594, 'RMSE_15m': 154.12622287633275, 'sMAPE_15m': 167.30827751622806, 'R2_15m': -70.72808426706328, 'MAE_30m': 155.8365020751953, 'RMSE_30m': 156.91558240021925, 'sMAPE_30m': 171.17266235756904, 'R2_30m': -71.96106568431438, 'MAE_avg': 154.44229125976562, 'RMSE_avg': 155.520902638276, 'sMAPE_avg': 169.24046993689853, 'R2_avg': -71.34457497568883}",164.951904296875,158.61721801757812,COMPLETE
1,168.26397705078125,2026-02-23 03:12:36.771669,2026-02-23 03:12:39.058099,0 days 00:00:02.286430,0.0,0.00018659959624904942,2,64,,168.26397705078125,,PRUNED
2,168.2500762939453,2026-02-23 03:12:39.058613,2026-02-23 03:12:40.409886,0 days 00:00:01.351273,0.0,0.0003476649150592621,1,64,,168.2500762939453,,PRUNED
3,168.33587646484375,2026-02-23 03:12:40.410377,2026-02-23 03:12:42.707499,0 days 00:00:02.297122,0.3,0.0001786013788939711,2,64,,168.33587646484375,,PRUNED
4,168.10708618164062,2026-02-23 03:12:42.707980,2026-02-23 03:12:45.035833,0 days 00:00:02.327853,0.3,0.00044684675025045853,2,96,,168.10708618164062,,PRUNED
5,164.4444122314453,2026-02-23 03:12:45.036302,2026-02-23 03:12:47.531300,0 days 00:00:02.494998,0.2,0.000586412916969653,2,64,,167.95553588867188,164.4444122314453,PRUNED
6,147.73716735839844,2026-02-23 03:12:47.531777,2026-02-23 03:12:52.523173,0 days 00:00:04.991396,0.0,0.002299958642814372,2,96,"{'MAE_15m': 146.25828552246094, 'RMSE_15m': 147.3860855139487, 'sMAPE_15m': 154.01679792693994, 'R2_15m': -64.59173931825546, 'MAE_30m': 149.21604919433594, 'RMSE_30m': 150.3426360122936, 'sMAPE_30m': 157.99986250438985, 'R2_30m': -65.97663482582406, 'MAE_avg': 147.73716735839844, 'RMSE_avg': 148.86436076312117, 'sMAPE_avg': 156.0083302156649, 'R2_avg': -65.28418707203977}",160.88523864746094,154.30474853515625,COMPLETE
7,168.09066772460938,2026-02-23 03:12:52.523709,2026-02-23 03:12:54.190165,0 days 00:00:01.666456,0.3,0.0003364867144187955,1,64,,168.09066772460938,,PRUNED
8,168.01327514648438,2026-02-23 03:12:54.190663,2026-02-23 03:12:56.800435,0 days 00:00:02.609772,0.2,0.00019657448966046135,2,64,,168.01327514648438,,PRUNED
9,168.10360717773438,2026-02-23 03:12:56.800918,2026-02-23 03:12:59.276513,0 days 00:00:02.475595,0.0,0.0001483039268456802,2,64,,168.10360717773438,,PRUNED
