number,value,datetime_start,datetime_complete,duration,params_dropout,params_filters,params_kernel_size,params_lr,params_rnn_type,params_rnn_units,user_attrs_val_metrics,system_attrs_completed_rung_0,system_attrs_completed_rung_1,state
0,163.49874877929688,2026-02-23 03:13:40.491912,2026-02-23 03:13:42.726622,0 days 00:00:02.234710,0.0,64,3,0.00018559980846490597,lstm,64,"{'MAE_15m': 163.03338623046875, 'RMSE_15m': 164.04401681599057, 'sMAPE_15m': 188.80406345114764, 'R2_15m': -80.25628364382635, 'MAE_30m': 163.964111328125, 'RMSE_30m': 164.99418195234946, 'sMAPE_30m': 188.7421880070739, 'R2_30m': -79.66706192899674, 'MAE_avg': 163.49874877929688, 'RMSE_avg': 164.51909938417003, 'sMAPE_avg': 188.77312572911077, 'R2_avg': -79.96167278641155}",167.55775451660156,166.01882934570312,COMPLETE
1,162.2918243408203,2026-02-23 03:13:42.727199,2026-02-23 03:13:44.921268,0 days 00:00:02.194069,0.3,96,7,0.000117115099555241,gru,96,"{'MAE_15m': 161.36749267578125, 'RMSE_15m': 162.39111135427024, 'sMAPE_15m': 185.03177182011834, 'R2_15m': -78.62705892566873, 'MAE_30m': 163.21615600585938, 'RMSE_30m': 164.24487482490892, 'sMAPE_30m': 187.06422644566396, 'R2_30m': -78.93604653424028, 'MAE_avg': 162.2918243408203, 'RMSE_avg': 163.31799308958958, 'sMAPE_avg': 186.04799913289116, 'R2_avg': -78.78155272995451}",167.50831604003906,165.5948944091797,COMPLETE
2,167.69351196289062,2026-02-23 03:13:44.921802,2026-02-23 03:13:46.437667,0 days 00:00:01.515865,0.3,32,5,0.00024112898115291975,lstm,96,,167.69351196289062,,PRUNED
3,161.91008758544922,2026-02-23 03:13:46.438165,2026-02-23 03:13:48.615211,0 days 00:00:02.177046,0.2,32,7,0.0003023795012558478,gru,64,"{'MAE_15m': 162.24427795410156, 'RMSE_15m': 163.26112615224727, 'sMAPE_15m': 187.00829039099497, 'R2_15m': -79.4825520218208, 'MAE_30m': 161.57589721679688, 'RMSE_30m': 162.61918705983007, 'sMAPE_30m': 183.40746668470294, 'R2_30m': -77.36147274807142, 'MAE_avg': 161.91008758544922, 'RMSE_avg': 162.94015660603867, 'sMAPE_avg': 185.20787853784896, 'R2_avg': -78.4220123849461}",167.07861328125,164.90147399902344,COMPLETE
4,157.56194305419922,2026-02-23 03:13:48.615738,2026-02-23 03:13:50.882567,0 days 00:00:02.266829,0.3,96,7,0.0011069143219393448,lstm,64,"{'MAE_15m': 156.2433319091797, 'RMSE_15m': 157.29956864808943, 'sMAPE_15m': 173.9191165464477, 'R2_15m': -73.71214954621264, 'MAE_30m': 158.88055419921875, 'RMSE_30m': 159.9390569971106, 'sMAPE_30m': 177.5648450969897, 'R2_30m': -74.79980609579663, 'MAE_avg': 157.56194305419922, 'RMSE_avg': 158.61931282260002, 'sMAPE_avg': 175.7419808217187, 'R2_avg': -74.25597782100463}",162.97412109375,159.9117889404297,COMPLETE
5,162.97227478027344,2026-02-23 03:13:50.883106,2026-02-23 03:13:52.579964,0 days 00:00:01.696858,0.3,64,7,0.0004983319160125723,gru,32,,165.03492736816406,162.97227478027344,PRUNED
6,159.47129821777344,2026-02-23 03:13:52.580484,2026-02-23 03:13:54.800437,0 days 00:00:02.219953,0.0,96,5,0.0021907142272152816,lstm,32,"{'MAE_15m': 158.55137634277344, 'RMSE_15m': 159.59234567132285, 'sMAPE_15m': 178.8463095077574, 'R2_15m': -75.90600384060038, 'MAE_30m': 160.39122009277344, 'RMSE_30m': 161.43984101090103, 'sMAPE_30m': 180.8206683249022, 'R2_30m': -76.22900565832794, 'MAE_avg': 159.47129821777344, 'RMSE_avg': 160.51609334111194, 'sMAPE_avg': 179.8334889163298, 'R2_avg': -76.06750474946415}",163.30340576171875,161.46034240722656,COMPLETE
7,163.68106079101562,2026-02-23 03:13:54.801006,2026-02-23 03:13:57.787883,0 days 00:00:02.986877,0.3,96,7,0.0006261435181296009,gru,64,,163.68106079101562,,PRUNED
8,153.30918884277344,2026-02-23 03:13:57.788392,2026-02-23 03:14:00.352213,0 days 00:00:02.563821,0.3,64,7,0.002470540427082325,lstm,64,"{'MAE_15m': 154.2310791015625, 'RMSE_15m': 155.30099303449416, 'sMAPE_15m': 169.72806478165117, 'R2_15m': -71.82570096530569, 'MAE_30m': 152.38729858398438, 'RMSE_30m': 153.4905903569499, 'sMAPE_30m': 164.18959181168646, 'R2_30m': -68.81078866416756, 'MAE_avg': 153.30918884277344, 'RMSE_avg': 154.39579169572204, 'sMAPE_avg': 166.9588282966688, 'R2_avg': -70.31824481473663}",162.10009765625,158.06373596191406,COMPLETE
9,166.43104553222656,2026-02-23 03:14:00.352757,2026-02-23 03:14:01.979463,0 days 00:00:01.626706,0.0,96,5,0.00025798509464504095,lstm,64,,166.43104553222656,,PRUNED
