number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_lambda,params_subsample,state
0,15.900293350219727,2026-02-23 03:12:23.810728,2026-02-23 03:12:24.050309,0 days 00:00:00.239581,0.6624074561769746,4.330880728874676,0.08960785365368121,8,2,600,0.01555019165426488,0.8394633936788146,COMPLETE
1,16.1759090423584,2026-02-23 03:12:24.051054,2026-02-23 03:12:24.611728,0 days 00:00:00.560674,0.9329770563201687,0.9170225492671691,0.010636066512540286,6,3,800,0.039829941698924086,0.9879639408647978,COMPLETE
2,15.206340789794922,2026-02-23 03:12:24.612454,2026-02-23 03:12:24.846720,0 days 00:00:00.234266,0.8447411578889518,1.8318092164684585,0.03647316284911211,5,2,400,0.09212515846231674,0.7164916560792167,COMPLETE
3,16.13991928100586,2026-02-23 03:12:24.847533,2026-02-23 03:12:25.281985,0 days 00:00:00.434452,0.836965827544817,0.8526206184364576,0.018187859051288217,7,1,600,1.0128002032729382,0.8056937753654446,COMPLETE
4,18.617895126342773,2026-02-23 03:12:25.282728,2026-02-23 03:12:25.418803,0 days 00:00:00.136075,0.7218455076693483,2.2007624686980067,0.18043311207136256,8,1,200,1.8141523033666782,0.9233589392465844,COMPLETE
5,21.372417449951172,2026-02-23 03:12:25.419527,2026-02-23 03:12:25.547121,0 days 00:00:00.127594,0.7035119926400067,2.600340105889054,0.011085122517311707,5,7,200,0.10689751565977942,0.9637281608315128,COMPLETE
6,14.289787292480469,2026-02-23 03:12:25.547841,2026-02-23 03:12:25.827856,0 days 00:00:00.280015,0.9757995766256756,4.609371175115584,0.18258230439200238,3,9,800,0.9412083349710854,0.9100531293444458,COMPLETE
7,22.97079849243164,2026-02-23 03:12:25.828586,2026-02-23 03:12:25.919627,0 days 00:00:00.091041,0.7554709158757928,1.7837666334679465,0.011450964268326641,3,3,200,5.441108375656199,0.7301321323053057,COMPLETE
8,14.391528129577637,2026-02-23 03:12:25.920347,2026-02-23 03:12:26.128413,0 days 00:00:00.208066,0.6298202574719083,0.993578407670862,0.015252697030515175,5,10,400,3.5416296712651336,0.9208787923016158,COMPLETE
9,15.465506553649902,2026-02-23 03:12:26.129233,2026-02-23 03:12:26.251629,0 days 00:00:00.122396,0.9085081386743783,0.5793452976256486,0.08310795711416077,7,1,200,0.15251273957388442,0.8916028672163949,COMPLETE
10,13.845304489135742,2026-02-23 03:12:26.252366,2026-02-23 03:12:27.040196,0 days 00:00:00.787830,0.9935496864584779,4.883839283223654,0.18255631599020622,2,10,1200,14.730992938434454,0.6071847502459279,COMPLETE
