number,value,datetime_start,datetime_complete,duration,params_dropout,params_filters,params_kernel_size,params_lr,user_attrs_val_metrics,system_attrs_completed_rung_0,system_attrs_completed_rung_1,state
0,7732.67333984375,2026-02-24 05:43:05.996037,2026-02-24 05:43:07.025213,0 days 00:00:01.029176,0.2,64,3,0.0011114989443094978,"{'MAE_15m': 7382.9091796875, 'RMSE_15m': 7679.983072898012, 'sMAPE_15m': 198.66303197345266, 'R2_15m': -12.196012451742218, 'MAE_30m': 8082.4375, 'RMSE_30m': 8443.941733574433, 'sMAPE_30m': 198.6248997955065, 'R2_30m': -10.94399611362696, 'MAE_avg': 7732.67333984375, 'RMSE_avg': 8061.962403236223, 'sMAPE_avg': 198.6439658844796, 'R2_avg': -11.57000428268459}",7754.90185546875,7749.84716796875,COMPLETE
1,7755.98583984375,2026-02-24 05:43:07.025963,2026-02-24 05:43:07.562663,0 days 00:00:00.536700,0.2,64,3,0.0002692655251486473,,7755.98583984375,,PRUNED
2,7756.41064453125,2026-02-24 05:43:07.563265,2026-02-24 05:43:08.675294,0 days 00:00:01.112029,0.3,32,7,0.000117115099555241,,7756.41064453125,,PRUNED
3,7755.97607421875,2026-02-24 05:43:08.675906,2026-02-24 05:43:09.224851,0 days 00:00:00.548945,0.3,32,5,0.00044684675025045853,,7755.97607421875,,PRUNED
4,7756.25830078125,2026-02-24 05:43:09.225445,2026-02-24 05:43:09.780482,0 days 00:00:00.555037,0.3,64,3,0.00018752209455786411,,7756.25830078125,,PRUNED
5,7756.224609375,2026-02-24 05:43:09.781086,2026-02-24 05:43:10.327362,0 days 00:00:00.546276,0.2,32,7,0.0003023795012558478,,7756.224609375,,PRUNED
6,6330.568115234375,2026-02-24 05:43:10.328008,2026-02-24 05:43:11.364856,0 days 00:00:01.036848,0.2,96,7,0.002869139536545374,"{'MAE_15m': 6032.74853515625, 'RMSE_15m': 6462.981355380813, 'sMAPE_15m': 134.64961570710986, 'R2_15m': -8.34518692091516, 'MAE_30m': 6628.3876953125, 'RMSE_30m': 7118.824060194212, 'sMAPE_30m': 135.0229234597739, 'R2_30m': -7.489374787267863, 'MAE_avg': 6330.568115234375, 'RMSE_avg': 6790.902707787513, 'sMAPE_avg': 134.8362695834419, 'R2_avg': -7.917280854091511}",7724.15478515625,7498.3828125,COMPLETE
7,7756.54736328125,2026-02-24 05:43:11.365584,2026-02-24 05:43:11.884416,0 days 00:00:00.518832,0.0,32,3,0.0001483039268456802,,7756.54736328125,,PRUNED
8,7754.037109375,2026-02-24 05:43:11.885001,2026-02-24 05:43:12.606085,0 days 00:00:00.721084,0.3,32,7,0.0004983319160125723,,7755.45458984375,7754.037109375,PRUNED
9,7754.111328125,2026-02-24 05:43:12.606705,2026-02-24 05:43:13.294603,0 days 00:00:00.687898,0.0,96,5,0.00014433402406338895,,7755.1767578125,7754.111328125,PRUNED
