number,value,datetime_start,datetime_complete,duration,params_dropout,params_gru_units,params_lr,params_lstm_units,user_attrs_val_metrics,system_attrs_completed_rung_0,system_attrs_completed_rung_1,state
0,7753.78564453125,2026-02-24 05:42:38.781195,2026-02-24 05:42:41.838660,0 days 00:00:03.057465,0.2,64,0.0011114989443094978,32,"{'MAE_15m': 7402.71533203125, 'RMSE_15m': 7698.689498869272, 'sMAPE_15m': 199.8485046667903, 'R2_15m': -12.2603753693271, 'MAE_30m': 8104.85595703125, 'RMSE_30m': 8465.093502141604, 'sMAPE_30m': 199.8449437806451, 'R2_30m': -11.003910105981433, 'MAE_avg': 7753.78564453125, 'RMSE_avg': 8081.891500505439, 'sMAPE_avg': 199.8467242237177, 'R2_avg': -11.632142737654267}",7756.1279296875,7755.490234375,COMPLETE
1,7756.50830078125,2026-02-24 05:42:41.839462,2026-02-24 05:42:44.053491,0 days 00:00:02.214029,0.2,64,0.0002692655251486473,32,,7756.50830078125,,PRUNED
2,7756.833984375,2026-02-24 05:42:44.054122,2026-02-24 05:42:46.239418,0 days 00:00:02.185296,0.3,32,0.000117115099555241,96,,7756.833984375,,PRUNED
3,7756.68408203125,2026-02-24 05:42:46.240041,2026-02-24 05:42:49.038113,0 days 00:00:02.798072,0.3,32,0.00044684675025045853,64,,7756.68408203125,,PRUNED
4,7756.310546875,2026-02-24 05:42:49.038738,2026-02-24 05:42:51.275630,0 days 00:00:02.236892,0.3,64,0.00018752209455786411,32,,7756.310546875,,PRUNED
5,7756.65625,2026-02-24 05:42:51.276255,2026-02-24 05:42:53.464210,0 days 00:00:02.187955,0.2,32,0.0003023795012558478,96,,7756.65625,,PRUNED
6,7741.03369140625,2026-02-24 05:42:53.464849,2026-02-24 05:42:56.467694,0 days 00:00:03.002845,0.2,96,0.002869139536545374,96,"{'MAE_15m': 7388.72802734375, 'RMSE_15m': 7685.245604403284, 'sMAPE_15m': 199.02589386898435, 'R2_15m': -12.214103867221102, 'MAE_30m': 8093.33935546875, 'RMSE_30m': 8454.092026941746, 'sMAPE_30m': 199.2179676325287, 'R2_30m': -10.972729838838598, 'MAE_avg': 7741.03369140625, 'RMSE_avg': 8069.668815672515, 'sMAPE_avg': 199.12193075075652, 'R2_avg': -11.59341685302985}",7753.63330078125,7745.802734375,COMPLETE
7,7756.27490234375,2026-02-24 05:42:56.468458,2026-02-24 05:42:59.320734,0 days 00:00:02.852276,0.0,32,0.0001483039268456802,32,,7756.27490234375,,PRUNED
8,7756.45947265625,2026-02-24 05:42:59.321358,2026-02-24 05:43:01.573002,0 days 00:00:02.251644,0.3,32,0.0004983319160125723,96,,7756.45947265625,,PRUNED
9,7756.326171875,2026-02-24 05:43:01.573656,2026-02-24 05:43:03.783891,0 days 00:00:02.210235,0.0,96,0.00014433402406338895,64,,7756.326171875,,PRUNED
