number,value,datetime_start,datetime_complete,duration,params_dropout,params_lr,params_num_layers,params_units,user_attrs_val_metrics,system_attrs_completed_rung_0,system_attrs_completed_rung_1,state
0,7746.978271484375,2026-02-24 05:42:11.960725,2026-02-24 05:42:14.953260,0 days 00:00:02.992535,0.0,0.00190303683817358,2,64,"{'MAE_15m': 7394.91259765625, 'RMSE_15m': 7691.192105259106, 'sMAPE_15m': 199.38909379117936, 'R2_15m': -12.234560057161529, 'MAE_30m': 8099.0439453125, 'RMSE_30m': 8459.553179689812, 'sMAPE_30m': 199.52790026117265, 'R2_30m': -10.988203212973554, 'MAE_avg': 7746.978271484375, 'RMSE_avg': 8075.372642474459, 'sMAPE_avg': 199.45849702617602, 'R2_avg': -11.611381635067541}",7754.9296875,7750.802734375,COMPLETE
1,7756.71875,2026-02-24 05:42:14.953980,2026-02-24 05:42:18.044578,0 days 00:00:03.090598,0.0,0.00018659959624904942,2,64,,7756.71875,,PRUNED
2,7756.400390625,2026-02-24 05:42:18.045162,2026-02-24 05:42:19.364661,0 days 00:00:01.319499,0.0,0.0003476649150592621,1,64,,7756.400390625,,PRUNED
3,7756.716796875,2026-02-24 05:42:19.365267,2026-02-24 05:42:21.611335,0 days 00:00:02.246068,0.3,0.0001786013788939711,2,64,,7756.716796875,,PRUNED
4,7756.17041015625,2026-02-24 05:42:21.611962,2026-02-24 05:42:23.860849,0 days 00:00:02.248887,0.3,0.00044684675025045853,2,96,,7756.17041015625,,PRUNED
5,7756.3310546875,2026-02-24 05:42:23.861425,2026-02-24 05:42:26.844983,0 days 00:00:02.983558,0.2,0.000586412916969653,2,64,,7756.3310546875,,PRUNED
6,7741.813232421875,2026-02-24 05:42:26.845592,2026-02-24 05:42:29.915435,0 days 00:00:03.069843,0.0,0.002299958642814372,2,96,"{'MAE_15m': 7391.81982421875, 'RMSE_15m': 7688.217478713776, 'sMAPE_15m': 199.20730649880335, 'R2_15m': -12.224324863881488, 'MAE_30m': 8091.806640625, 'RMSE_30m': 8452.62468112716, 'sMAPE_30m': 199.13478201128058, 'R2_30m': -10.968573617124715, 'MAE_avg': 7741.813232421875, 'RMSE_avg': 8070.4210799204675, 'sMAPE_avg': 199.17104425504198, 'R2_avg': -11.596449240503102}",7753.42822265625,7745.76416015625,COMPLETE
7,7757.15771484375,2026-02-24 05:42:29.916215,2026-02-24 05:42:31.252547,0 days 00:00:01.336332,0.3,0.0003364867144187955,1,64,,7757.15771484375,,PRUNED
8,7755.95166015625,2026-02-24 05:42:31.253175,2026-02-24 05:42:33.649767,0 days 00:00:02.396592,0.2,0.00019657448966046135,2,64,,7756.17041015625,7755.95166015625,PRUNED
9,7756.29638671875,2026-02-24 05:42:33.650410,2026-02-24 05:42:35.813194,0 days 00:00:02.162784,0.0,0.0001483039268456802,2,64,,7756.29638671875,,PRUNED
