number,value,datetime_start,datetime_complete,duration,params_dropout,params_filters,params_kernel_size,params_lr,params_rnn_type,params_rnn_units,user_attrs_val_metrics,system_attrs_completed_rung_0,system_attrs_completed_rung_1,state
0,7754.50732421875,2026-02-24 05:43:13.842939,2026-02-24 05:43:15.908674,0 days 00:00:02.065735,0.0,64,3,0.00018559980846490597,lstm,64,"{'MAE_15m': 7403.25634765625, 'RMSE_15m': 7699.203595177881, 'sMAPE_15m': 199.88078712860255, 'R2_15m': -12.262145960340755, 'MAE_30m': 8105.75830078125, 'RMSE_30m': 8465.991259149752, 'sMAPE_30m': 199.8928834027026, 'R2_30m': -11.006455757135598, 'MAE_avg': 7754.50732421875, 'RMSE_avg': 8082.597427163817, 'sMAPE_avg': 199.88683526565256, 'R2_avg': -11.634300858738175}",7755.9970703125,7755.45458984375,COMPLETE
1,7753.199462890625,2026-02-24 05:43:15.909508,2026-02-24 05:43:18.063565,0 days 00:00:02.154057,0.3,96,7,0.000117115099555241,gru,96,"{'MAE_15m': 7401.89111328125, 'RMSE_15m': 7697.884904309754, 'sMAPE_15m': 199.80067084993522, 'R2_15m': -12.257604140356666, 'MAE_30m': 8104.5078125, 'RMSE_30m': 8464.817068312817, 'sMAPE_30m': 199.8239174346679, 'R2_30m': -11.003124785697166, 'MAE_avg': 7753.199462890625, 'RMSE_avg': 8081.350986311286, 'sMAPE_avg': 199.81229414230154, 'R2_avg': -11.630364463026915}",7755.87548828125,7754.869140625,COMPLETE
2,7756.32763671875,2026-02-24 05:43:18.064347,2026-02-24 05:43:19.514726,0 days 00:00:01.450379,0.3,32,5,0.00024112898115291975,lstm,96,,7756.32763671875,,PRUNED
3,7756.2314453125,2026-02-24 05:43:19.515479,2026-02-24 05:43:20.914579,0 days 00:00:01.399100,0.2,32,7,0.0003023795012558478,gru,64,,7756.2314453125,,PRUNED
4,7748.608154296875,2026-02-24 05:43:20.915177,2026-02-24 05:43:23.620899,0 days 00:00:02.705722,0.3,96,7,0.0011069143219393448,lstm,64,"{'MAE_15m': 7396.021484375, 'RMSE_15m': 7692.257665991175, 'sMAPE_15m': 199.4541848461206, 'R2_15m': -12.238227544357981, 'MAE_30m': 8101.19482421875, 'RMSE_30m': 8461.613557708719, 'sMAPE_30m': 199.6448669991241, 'R2_30m': -10.994043316832796, 'MAE_avg': 7748.608154296875, 'RMSE_avg': 8076.935611849947, 'sMAPE_avg': 199.54952592262237, 'R2_avg': -11.616135430595389}",7753.478515625,7750.0498046875,COMPLETE
5,7752.32177734375,2026-02-24 05:43:23.621718,2026-02-24 05:43:25.266538,0 days 00:00:01.644820,0.3,64,7,0.0004983319160125723,gru,32,,7754.1689453125,7752.32177734375,PRUNED
6,7751.78076171875,2026-02-24 05:43:25.267158,2026-02-24 05:43:26.884813,0 days 00:00:01.617655,0.0,96,5,0.0021907142272152816,lstm,32,,7753.61865234375,7751.78076171875,PRUNED
7,7750.009033203125,2026-02-24 05:43:26.885465,2026-02-24 05:43:28.966031,0 days 00:00:02.080566,0.3,96,7,0.0006261435181296009,gru,64,"{'MAE_15m': 7400.68017578125, 'RMSE_15m': 7696.7367111003605, 'sMAPE_15m': 199.72832493846346, 'R2_15m': -12.253648368221812, 'MAE_30m': 8099.337890625, 'RMSE_30m': 8459.838296326945, 'sMAPE_30m': 199.5437741561954, 'R2_30m': -10.989011559248159, 'MAE_avg': 7750.009033203125, 'RMSE_avg': 8078.287503713653, 'sMAPE_avg': 199.63604954732943, 'R2_avg': -11.621329963734986}",7753.22705078125,7751.02490234375,COMPLETE
8,7746.29931640625,2026-02-24 05:43:28.966845,2026-02-24 05:43:31.124917,0 days 00:00:02.158072,0.3,64,7,0.002470540427082325,lstm,64,"{'MAE_15m': 7393.58935546875, 'RMSE_15m': 7689.920155632307, 'sMAPE_15m': 199.31131869111383, 'R2_15m': -12.230183105084219, 'MAE_30m': 8099.00927734375, 'RMSE_30m': 8459.520553790268, 'sMAPE_30m': 199.52594901153893, 'R2_30m': -10.988109007433714, 'MAE_avg': 7746.29931640625, 'RMSE_avg': 8074.720354711288, 'sMAPE_avg': 199.41863385132638, 'R2_avg': -11.609146056258966}",7752.27392578125,7748.73876953125,COMPLETE
9,7755.92626953125,2026-02-24 05:43:31.125707,2026-02-24 05:43:32.506728,0 days 00:00:01.381021,0.0,96,5,0.00025798509464504095,lstm,64,,7755.92626953125,,PRUNED
