number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_lambda,params_subsample,user_attrs_best_iters,user_attrs_val_metrics,state
0,3271.123779296875,2026-04-03 02:11:34.395569,2026-04-03 02:11:36.099300,0 days 00:00:01.703731,0.6624074561769746,4.330880728874676,0.08960785365368121,8,2,600,0.01555019165426488,0.8394633936788146,"[10, 8]","{'MAE_15m': 3280.13330078125, 'RMSE_15m': 4303.743486779852, 'sMAPE_15m': 49.21603119288406, 'R2_15m': 0.15138502379147323, 'MAE_30m': 3262.1142578125, 'RMSE_30m': 4393.431005489901, 'sMAPE_30m': 48.17770510934218, 'R2_30m': 0.11460961810969561, 'MAE_avg': 3271.123779296875, 'RMSE_avg': 4348.587246134876, 'sMAPE_avg': 48.69686815111312, 'R2_avg': 0.13299732095058442}",COMPLETE
1,3258.600341796875,2026-04-03 02:11:36.102064,2026-04-03 02:11:38.401639,0 days 00:00:02.299575,0.9329770563201687,0.9170225492671691,0.010636066512540286,6,3,800,0.039829941698924086,0.9879639408647978,"[95, 178]","{'MAE_15m': 3264.830078125, 'RMSE_15m': 4287.730635196199, 'sMAPE_15m': 48.994540940909395, 'R2_15m': 0.15768813907967116, 'MAE_30m': 3252.37060546875, 'RMSE_30m': 4291.44427902775, 'sMAPE_30m': 49.00722252857951, 'R2_30m': 0.15523838897169262, 'MAE_avg': 3258.600341796875, 'RMSE_avg': 4289.587457111975, 'sMAPE_avg': 49.00088173474445, 'R2_avg': 0.1564632640256819}",COMPLETE
2,3256.849853515625,2026-04-03 02:11:38.408477,2026-04-03 02:11:40.173432,0 days 00:00:01.764955,0.8447411578889518,1.8318092164684585,0.03647316284911211,5,2,400,0.09212515846231674,0.7164916560792167,"[41, 40]","{'MAE_15m': 3251.429931640625, 'RMSE_15m': 4244.075399895718, 'sMAPE_15m': 49.146739035179436, 'R2_15m': 0.1747526949160062, 'MAE_30m': 3262.269775390625, 'RMSE_30m': 4306.17649429282, 'sMAPE_30m': 48.87113422589036, 'R2_30m': 0.1494284749940702, 'MAE_avg': 3256.849853515625, 'RMSE_avg': 4275.12594709427, 'sMAPE_avg': 49.0089366305349, 'R2_avg': 0.1620905849550382}",COMPLETE
3,3275.5523681640625,2026-04-03 02:11:40.175113,2026-04-03 02:11:42.221681,0 days 00:00:02.046568,0.836965827544817,0.8526206184364576,0.018187859051288217,7,1,600,1.0128002032729382,0.8056937753654446,"[61, 72]","{'MAE_15m': 3270.0478515625, 'RMSE_15m': 4279.817753129215, 'sMAPE_15m': 49.10707665479872, 'R2_15m': 0.16079414060888075, 'MAE_30m': 3281.056884765625, 'RMSE_30m': 4325.686535106306, 'sMAPE_30m': 48.877260415178306, 'R2_30m': 0.14170351386714342, 'MAE_avg': 3275.5523681640625, 'RMSE_avg': 4302.7521441177605, 'sMAPE_avg': 48.99216853498851, 'R2_avg': 0.15124882723801208}",COMPLETE
4,3278.836669921875,2026-04-03 02:11:42.224617,2026-04-03 02:11:43.903982,0 days 00:00:01.679365,0.7218455076693483,2.2007624686980067,0.18043311207136256,8,1,200,1.8141523033666782,0.9233589392465844,"[11, 6]","{'MAE_15m': 3271.125, 'RMSE_15m': 4213.050201457371, 'sMAPE_15m': 49.46686244757175, 'R2_15m': 0.18677408794847494, 'MAE_30m': 3286.54833984375, 'RMSE_30m': 4322.573307649044, 'sMAPE_30m': 48.97515469988558, 'R2_30m': 0.14293854453285204, 'MAE_avg': 3278.836669921875, 'RMSE_avg': 4267.811754553208, 'sMAPE_avg': 49.22100857372867, 'R2_avg': 0.1648563162406635}",COMPLETE
5,3258.0076904296875,2026-04-03 02:11:43.906408,2026-04-03 02:11:46.104726,0 days 00:00:02.198318,0.7035119926400067,2.600340105889054,0.011085122517311707,5,7,200,0.10689751565977942,0.9637281608315128,"[96, 169]","{'MAE_15m': 3268.921875, 'RMSE_15m': 4303.615921524596, 'sMAPE_15m': 49.01635075769029, 'R2_15m': 0.15143539220089786, 'MAE_30m': 3247.093505859375, 'RMSE_30m': 4275.651529299365, 'sMAPE_30m': 48.85809749163043, 'R2_30m': 0.16144450493024942, 'MAE_avg': 3258.0076904296875, 'RMSE_avg': 4289.633725411981, 'sMAPE_avg': 48.93722412466036, 'R2_avg': 0.15643994856557364}",COMPLETE
6,3252.0496826171875,2026-04-03 02:11:46.106409,2026-04-03 02:11:47.709229,0 days 00:00:01.602820,0.9757995766256756,4.609371175115584,0.18258230439200238,3,9,800,0.9412083349710854,0.9100531293444458,"[11, 5]","{'MAE_15m': 3252.142578125, 'RMSE_15m': 4226.72166105127, 'sMAPE_15m': 49.4544588284531, 'R2_15m': 0.18148764807983553, 'MAE_30m': 3251.956787109375, 'RMSE_30m': 4337.004496193196, 'sMAPE_30m': 48.56922327003914, 'R2_30m': 0.13720621766976293, 'MAE_avg': 3252.0496826171875, 'RMSE_avg': 4281.863078622233, 'sMAPE_avg': 49.011841049246115, 'R2_avg': 0.15934693287479923}",COMPLETE
7,3254.6904296875,2026-04-03 02:11:47.710943,2026-04-03 02:11:49.629587,0 days 00:00:01.918644,0.7554709158757928,1.7837666334679465,0.011450964268326641,3,3,200,5.441108375656199,0.7301321323053057,"[144, 117]","{'MAE_15m': 3254.681884765625, 'RMSE_15m': 4256.324235769639, 'sMAPE_15m': 49.356093577825, 'R2_15m': 0.16998225985225313, 'MAE_30m': 3254.698974609375, 'RMSE_30m': 4329.8796750025285, 'sMAPE_30m': 48.80158744321825, 'R2_30m': 0.14003878070585984, 'MAE_avg': 3254.6904296875, 'RMSE_avg': 4293.101955386084, 'sMAPE_avg': 49.07884051052163, 'R2_avg': 0.15501052027905649}",COMPLETE
8,3267.8162841796875,2026-04-03 02:11:49.637709,2026-04-03 02:11:51.614912,0 days 00:00:01.977203,0.6298202574719083,0.993578407670862,0.015252697030515175,5,10,400,3.5416296712651336,0.9208787923016158,"[91, 104]","{'MAE_15m': 3273.325927734375, 'RMSE_15m': 4265.414165119256, 'sMAPE_15m': 49.458963597222656, 'R2_15m': 0.16643331780240278, 'MAE_30m': 3262.306640625, 'RMSE_30m': 4297.566753408259, 'sMAPE_30m': 48.98313647377458, 'R2_30m': 0.15282627396429427, 'MAE_avg': 3267.8162841796875, 'RMSE_avg': 4281.490459263758, 'sMAPE_avg': 49.22105003549862, 'R2_avg': 0.15962979588334852}",COMPLETE
9,3281.003662109375,2026-04-03 02:11:51.618495,2026-04-03 02:11:53.493315,0 days 00:00:01.874820,0.9085081386743783,0.5793452976256486,0.08310795711416077,7,1,200,0.15251273957388442,0.8916028672163949,"[12, 16]","{'MAE_15m': 3286.301513671875, 'RMSE_15m': 4280.919760985949, 'sMAPE_15m': 49.321988556598996, 'R2_15m': 0.16036192449499054, 'MAE_30m': 3275.705810546875, 'RMSE_30m': 4316.576189527992, 'sMAPE_30m': 49.124961955925805, 'R2_30m': 0.1453150877422712, 'MAE_avg': 3281.003662109375, 'RMSE_avg': 4298.747975256971, 'sMAPE_avg': 49.223475256262404, 'R2_avg': 0.15283850611863087}",COMPLETE
10,3232.84912109375,2026-04-03 02:11:53.496649,2026-04-03 02:11:55.106897,0 days 00:00:01.610248,0.9935496864584779,4.883839283223654,0.18255631599020614,2,10,1200,14.73099293843444,0.6071847502459278,"[13, 15]","{'MAE_15m': 3251.078369140625, 'RMSE_15m': 4240.987149237781, 'sMAPE_15m': 49.48962532920365, 'R2_15m': 0.17595328344189065, 'MAE_30m': 3214.619873046875, 'RMSE_30m': 4283.040275318456, 'sMAPE_30m': 48.628914816122595, 'R2_30m': 0.15854378723427875, 'MAE_avg': 3232.84912109375, 'RMSE_avg': 4262.013712278118, 'sMAPE_avg': 49.059270072663125, 'R2_avg': 0.1672485353380847}",COMPLETE
11,3237.77734375,2026-04-03 02:11:55.113154,2026-04-03 02:11:56.604824,0 days 00:00:01.491670,0.9895680834513327,4.842465731220766,0.19550037029615167,2,10,1200,18.046579829697965,0.6068744601075835,"[13, 18]","{'MAE_15m': 3253.3330078125, 'RMSE_15m': 4237.124024618585, 'sMAPE_15m': 49.46982650800474, 'R2_15m': 0.1774537997585519, 'MAE_30m': 3222.2216796875, 'RMSE_30m': 4275.382088188142, 'sMAPE_30m': 48.74112208230064, 'R2_30m': 0.1615501325608153, 'MAE_avg': 3237.77734375, 'RMSE_avg': 4256.253056403364, 'sMAPE_avg': 49.10547429515269, 'R2_avg': 0.1695019661596836}",COMPLETE
12,3226.97314453125,2026-04-03 02:11:56.606598,2026-04-03 02:11:58.210003,0 days 00:00:01.603405,0.9934384626352483,3.746733168204598,0.11750339105581886,2,8,1200,19.56551112533575,0.6014562981232444,"[13, 15]","{'MAE_15m': 3236.544189453125, 'RMSE_15m': 4264.812070888939, 'sMAPE_15m': 49.20268459164605, 'R2_15m': 0.1666685865202917, 'MAE_30m': 3217.402099609375, 'RMSE_30m': 4299.096184083348, 'sMAPE_30m': 48.67852874985768, 'R2_30m': 0.15222321602061772, 'MAE_avg': 3226.97314453125, 'RMSE_avg': 4281.954127486144, 'sMAPE_avg': 48.94060667075186, 'R2_avg': 0.15944590127045472}",COMPLETE
13,3239.000244140625,2026-04-03 02:11:58.212068,2026-04-03 02:11:59.842154,0 days 00:00:01.630086,0.8985218327841324,3.6043587731383453,0.10099585334168883,2,7,1200,19.90331362835953,0.6038863909047579,"[12, 12]","{'MAE_15m': 3244.581298828125, 'RMSE_15m': 4291.566846735584, 'sMAPE_15m': 49.07535791768388, 'R2_15m': 0.15618028014959484, 'MAE_30m': 3233.419189453125, 'RMSE_30m': 4339.614729443157, 'sMAPE_30m': 48.57543620012689, 'R2_30m': 0.1361674227301708, 'MAE_avg': 3239.000244140625, 'RMSE_avg': 4315.59078808937, 'sMAPE_avg': 48.82539705890538, 'R2_avg': 0.14617385143988282}",COMPLETE
14,3254.191162109375,2026-04-03 02:11:59.861278,2026-04-03 02:12:01.540797,0 days 00:00:01.679519,0.9968170717875128,3.6440104767203136,0.051050115677601926,3,8,1000,7.236464581376934,0.6638123593227387,"[21, 18]","{'MAE_15m': 3262.409912109375, 'RMSE_15m': 4306.717543559132, 'sMAPE_15m': 49.10214397633252, 'R2_15m': 0.1502118444356948, 'MAE_30m': 3245.972412109375, 'RMSE_30m': 4373.067801898343, 'sMAPE_30m': 48.30369905584749, 'R2_30m': 0.12279800345156622, 'MAE_avg': 3254.191162109375, 'RMSE_avg': 4339.892672728737, 'sMAPE_avg': 48.70292151609, 'R2_avg': 0.1365049239436305}",COMPLETE
