number,value,datetime_start,datetime_complete,duration,params_dropout,params_filters,params_kernel_size,params_lr,user_attrs_val_metrics,system_attrs_completed_rung_0,state
0,0.23675640672445297,2026-02-23 03:17:37.738038,2026-02-23 03:17:38.467303,0 days 00:00:00.729265,0.2,64,3,0.0011114989443094978,"{'MAE_15m': 0.17966710031032562, 'RMSE_15m': 0.24354543232406364, 'sMAPE_15m': 200.0, 'R2_15m': 0.0, 'MAE_30m': 0.2938457131385803, 'RMSE_30m': 0.32983349871370266, 'sMAPE_30m': 200.0, 'R2_30m': 0.0, 'MAE_avg': 0.23675640672445297, 'RMSE_avg': 0.28668946551888314, 'sMAPE_avg': 200.0, 'R2_avg': 0.0}",0.23675641417503357,COMPLETE
1,0.31654438376426697,2026-02-23 03:17:38.467859,2026-02-23 03:17:39.030267,0 days 00:00:00.562408,0.2,64,3,0.0002692655251486473,,0.31654438376426697,PRUNED
2,0.322299599647522,2026-02-23 03:17:39.030787,2026-02-23 03:17:39.594276,0 days 00:00:00.563489,0.3,32,7,0.000117115099555241,,0.322299599647522,PRUNED
3,0.24358013272285461,2026-02-23 03:17:39.594802,2026-02-23 03:17:40.145742,0 days 00:00:00.550940,0.3,32,5,0.00044684675025045853,,0.24358013272285461,PRUNED
4,0.24659088253974915,2026-02-23 03:17:40.146288,2026-02-23 03:17:40.703684,0 days 00:00:00.557396,0.3,64,3,0.00018752209455786411,,0.24659088253974915,PRUNED
5,0.1550450474023819,2026-02-23 03:17:40.704176,2026-02-23 03:17:41.394191,0 days 00:00:00.690015,0.2,32,7,0.0003023795012558478,"{'MAE_15m': 0.1688273698091507, 'RMSE_15m': 0.20990796862624603, 'sMAPE_15m': 200.0, 'R2_15m': 0.0, 'MAE_30m': 0.1412627249956131, 'RMSE_30m': 0.21524242344535569, 'sMAPE_30m': 200.0, 'R2_30m': 0.0, 'MAE_avg': 0.1550450474023819, 'RMSE_avg': 0.21257519603580086, 'sMAPE_avg': 200.0, 'R2_avg': 0.0}",0.1561749279499054,COMPLETE
6,0.2850453853607178,2026-02-23 03:17:41.394736,2026-02-23 03:17:41.947358,0 days 00:00:00.552622,0.2,96,7,0.002869139536545374,,0.2850453853607178,PRUNED
7,0.6989205479621887,2026-02-23 03:17:41.947848,2026-02-23 03:17:42.479173,0 days 00:00:00.531325,0.0,32,3,0.0001483039268456802,,0.6989205479621887,PRUNED
8,0.2948479652404785,2026-02-23 03:17:42.479685,2026-02-23 03:17:43.096183,0 days 00:00:00.616498,0.3,32,7,0.0004983319160125723,,0.2948479652404785,PRUNED
9,0.07055913284420967,2026-02-23 03:17:43.096706,2026-02-23 03:17:43.801253,0 days 00:00:00.704547,0.0,96,5,0.00014433402406338895,"{'MAE_15m': 0.10209918022155762, 'RMSE_15m': 0.13050999903053243, 'sMAPE_15m': 200.0, 'R2_15m': 0.0, 'MAE_30m': 0.039019085466861725, 'RMSE_30m': 0.057115736690530376, 'sMAPE_30m': 200.0, 'R2_30m': 0.0, 'MAE_avg': 0.07055913284420967, 'RMSE_avg': 0.0938128678605314, 'sMAPE_avg': 200.0, 'R2_avg': 0.0}",0.07743898779153824,COMPLETE
