number,value,datetime_start,datetime_complete,duration,params_dropout,params_gru_units,params_lr,params_lstm_units,user_attrs_val_metrics,system_attrs_completed_rung_0,system_attrs_completed_rung_1,state
0,0.07313144952058792,2026-02-23 03:16:49.699488,2026-02-23 03:16:54.275943,0 days 00:00:04.576455,0.2,64,0.0011114989443094978,32,"{'MAE_15m': 0.06862850487232208, 'RMSE_15m': 0.08132317324577898, 'sMAPE_15m': 200.0, 'R2_15m': 0.0, 'MAE_30m': 0.07763439416885376, 'RMSE_30m': 0.08942443500015844, 'sMAPE_30m': 200.0, 'R2_30m': 0.0, 'MAE_avg': 0.07313144952058792, 'RMSE_avg': 0.08537380412296872, 'sMAPE_avg': 200.0, 'R2_avg': 0.0}",0.10134851932525635,,COMPLETE
1,0.151821568608284,2026-02-23 03:16:54.276554,2026-02-23 03:16:56.748171,0 days 00:00:02.471617,0.2,64,0.0002692655251486473,32,,0.151821568608284,,PRUNED
2,0.15549294650554657,2026-02-23 03:16:56.748704,2026-02-23 03:16:59.150663,0 days 00:00:02.401959,0.3,32,0.000117115099555241,96,,0.15549294650554657,,PRUNED
3,0.03302473947405815,2026-02-23 03:16:59.151209,2026-02-23 03:17:02.275942,0 days 00:00:03.124733,0.3,32,0.00044684675025045853,64,"{'MAE_15m': 0.03404812887310982, 'RMSE_15m': 0.038708256275946276, 'sMAPE_15m': 200.0, 'R2_15m': 0.0, 'MAE_30m': 0.032001350075006485, 'RMSE_30m': 0.04112833012686309, 'sMAPE_30m': 200.0, 'R2_30m': 0.0, 'MAE_avg': 0.03302473947405815, 'RMSE_avg': 0.03991829320140468, 'sMAPE_avg': 200.0, 'R2_avg': 0.0}",0.0617697611451149,0.03731547296047211,COMPLETE
4,0.13630397617816925,2026-02-23 03:17:02.276518,2026-02-23 03:17:04.579976,0 days 00:00:02.303458,0.3,64,0.00018752209455786411,32,,0.13630397617816925,,PRUNED
5,0.08174573630094528,2026-02-23 03:17:04.580490,2026-02-23 03:17:07.065081,0 days 00:00:02.484591,0.2,32,0.0003023795012558478,96,,0.08635570853948593,0.08174573630094528,PRUNED
6,0.010474167764186859,2026-02-23 03:17:07.065619,2026-02-23 03:17:10.297504,0 days 00:00:03.231885,0.2,96,0.002869139536545374,96,"{'MAE_15m': 0.01075001060962677, 'RMSE_15m': 0.01501098690900005, 'sMAPE_15m': 200.0, 'R2_15m': 0.0, 'MAE_30m': 0.010198324918746948, 'RMSE_30m': 0.01219406512191818, 'sMAPE_30m': 200.0, 'R2_30m': 0.0, 'MAE_avg': 0.010474167764186859, 'RMSE_avg': 0.013602526015459113, 'sMAPE_avg': 200.0, 'R2_avg': 0.0}",0.07201302796602249,0.021266445517539978,COMPLETE
7,0.0749555304646492,2026-02-23 03:17:10.298064,2026-02-23 03:17:24.015323,0 days 00:00:13.717259,0.0,32,0.0001483039268456802,32,,0.0749555304646492,,PRUNED
8,0.024945547804236412,2026-02-23 03:17:24.016623,2026-02-23 03:17:32.549977,0 days 00:00:08.533354,0.3,32,0.0004983319160125723,96,"{'MAE_15m': 0.026676326990127563, 'RMSE_15m': 0.035564019776709935, 'sMAPE_15m': 200.0, 'R2_15m': 0.0, 'MAE_30m': 0.02321476861834526, 'RMSE_30m': 0.03099466670007705, 'sMAPE_30m': 200.0, 'R2_30m': 0.0, 'MAE_avg': 0.024945547804236412, 'RMSE_avg': 0.03327934323839349, 'sMAPE_avg': 200.0, 'R2_avg': 0.0}",0.03458244726061821,,COMPLETE
9,0.07853063941001892,2026-02-23 03:17:32.550964,2026-02-23 03:17:35.241089,0 days 00:00:02.690125,0.0,96,0.00014433402406338895,64,,0.07853063941001892,,PRUNED
