number,value,datetime_start,datetime_complete,duration,params_dropout,params_lr,params_num_layers,params_units,user_attrs_val_metrics,system_attrs_completed_rung_0,system_attrs_completed_rung_1,state
0,0.014161018189042807,2026-02-23 03:16:20.952738,2026-02-23 03:16:23.889063,0 days 00:00:02.936325,0.0,0.00190303683817358,2,64,"{'MAE_15m': 0.01736166514456272, 'RMSE_15m': 0.02162440679506929, 'sMAPE_15m': 200.0, 'R2_15m': 0.0, 'MAE_30m': 0.010960371233522892, 'RMSE_30m': 0.013144720016466016, 'sMAPE_30m': 200.0, 'R2_30m': 0.0, 'MAE_avg': 0.014161018189042807, 'RMSE_avg': 0.017384563405767654, 'sMAPE_avg': 200.0, 'R2_avg': 0.0}",0.056735288351774216,0.02272556535899639,COMPLETE
1,0.044632927514612675,2026-02-23 03:16:23.889638,2026-02-23 03:16:26.710402,0 days 00:00:02.820764,0.0,0.00018659959624904942,2,64,"{'MAE_15m': 0.06098703294992447, 'RMSE_15m': 0.06334259494802043, 'sMAPE_15m': 200.0, 'R2_15m': 0.0, 'MAE_30m': 0.02827882207930088, 'RMSE_30m': 0.03318280060793017, 'sMAPE_30m': 200.0, 'R2_30m': 0.0, 'MAE_avg': 0.044632927514612675, 'RMSE_avg': 0.0482626977779753, 'sMAPE_avg': 200.0, 'R2_avg': 0.0}",0.051996730268001556,,COMPLETE
2,0.15297481417655945,2026-02-23 03:16:26.710947,2026-02-23 03:16:28.079146,0 days 00:00:01.368199,0.0,0.0003476649150592621,1,64,,0.15297481417655945,,PRUNED
3,0.05221181362867355,2026-02-23 03:16:28.079637,2026-02-23 03:16:30.353762,0 days 00:00:02.274125,0.3,0.0001786013788939711,2,64,,0.05221181362867355,,PRUNED
4,0.04539129137992859,2026-02-23 03:16:30.354284,2026-02-23 03:16:35.320776,0 days 00:00:04.966492,0.3,0.00044684675025045853,2,96,"{'MAE_15m': 0.04992298036813736, 'RMSE_15m': 0.057167231916990635, 'sMAPE_15m': 200.0, 'R2_15m': 0.0, 'MAE_30m': 0.04085960239171982, 'RMSE_30m': 0.046770660185723505, 'sMAPE_30m': 200.0, 'R2_30m': 0.0, 'MAE_avg': 0.04539129137992859, 'RMSE_avg': 0.05196894605135707, 'sMAPE_avg': 200.0, 'R2_avg': 0.0}",0.0480475053191185,,COMPLETE
5,0.038353269919753075,2026-02-23 03:16:35.321327,2026-02-23 03:16:38.398225,0 days 00:00:03.076898,0.2,0.000586412916969653,2,64,"{'MAE_15m': 0.04669896885752678, 'RMSE_15m': 0.05997878486234743, 'sMAPE_15m': 200.0, 'R2_15m': 0.0, 'MAE_30m': 0.03000757098197937, 'RMSE_30m': 0.04091189955127022, 'sMAPE_30m': 200.0, 'R2_30m': 0.0, 'MAE_avg': 0.038353269919753075, 'RMSE_avg': 0.050445342206808824, 'sMAPE_avg': 200.0, 'R2_avg': 0.0}",0.04051485285162926,,COMPLETE
6,0.018791066948324442,2026-02-23 03:16:38.398806,2026-02-23 03:16:41.406805,0 days 00:00:03.007999,0.0,0.002299958642814372,2,96,"{'MAE_15m': 0.01353116799145937, 'RMSE_15m': 0.015351197804724883, 'sMAPE_15m': 200.0, 'R2_15m': 0.0, 'MAE_30m': 0.024050965905189514, 'RMSE_30m': 0.026635530822362828, 'sMAPE_30m': 200.0, 'R2_30m': 0.0, 'MAE_avg': 0.018791066948324442, 'RMSE_avg': 0.020993364313543855, 'sMAPE_avg': 200.0, 'R2_avg': 0.0}",0.036530714482069016,0.020753130316734314,COMPLETE
7,0.12650874257087708,2026-02-23 03:16:41.407443,2026-02-23 03:16:42.782462,0 days 00:00:01.375019,0.3,0.0003364867144187955,1,64,,0.12650874257087708,,PRUNED
8,0.07495328038930893,2026-02-23 03:16:42.782984,2026-02-23 03:16:45.074883,0 days 00:00:02.291899,0.2,0.00019657448966046135,2,64,,0.07495328038930893,,PRUNED
9,0.04862850159406662,2026-02-23 03:16:45.075394,2026-02-23 03:16:47.307433,0 days 00:00:02.232039,0.0,0.0001483039268456802,2,64,,0.04862850159406662,,PRUNED
