number,value,datetime_start,datetime_complete,duration,params_dropout,params_filters,params_kernel_size,params_lr,params_rnn_type,params_rnn_units,user_attrs_val_metrics,system_attrs_completed_rung_0,system_attrs_completed_rung_1,state
0,0.06268417648971081,2026-02-23 03:17:44.400834,2026-02-23 03:17:46.187052,0 days 00:00:01.786218,0.0,64,3,0.00018559980846490597,lstm,64,"{'MAE_15m': 0.08450721204280853, 'RMSE_15m': 0.1308975448737336, 'sMAPE_15m': 200.0, 'R2_15m': 0.0, 'MAE_30m': 0.04086114093661308, 'RMSE_30m': 0.08776317999118191, 'sMAPE_30m': 200.0, 'R2_30m': 0.0, 'MAE_avg': 0.06268417648971081, 'RMSE_avg': 0.10933036243245775, 'sMAPE_avg': 200.0, 'R2_avg': 0.0}",0.06268417835235596,,COMPLETE
1,0.18078114092350006,2026-02-23 03:17:46.187634,2026-02-23 03:17:47.630361,0 days 00:00:01.442727,0.3,96,7,0.000117115099555241,gru,96,,0.18078114092350006,,PRUNED
2,0.046717897057533264,2026-02-23 03:17:47.630851,2026-02-23 03:17:51.188501,0 days 00:00:03.557650,0.3,32,5,0.00024112898115291975,lstm,96,"{'MAE_15m': 0.04709823802113533, 'RMSE_15m': 0.07206674220641465, 'sMAPE_15m': 200.0, 'R2_15m': 0.0, 'MAE_30m': 0.0463375560939312, 'RMSE_30m': 0.05744929623950378, 'sMAPE_30m': 200.0, 'R2_30m': 0.0, 'MAE_avg': 0.046717897057533264, 'RMSE_avg': 0.06475801922295922, 'sMAPE_avg': 200.0, 'R2_avg': 0.0}",0.049193888902664185,,COMPLETE
3,0.2117220163345337,2026-02-23 03:17:51.189084,2026-02-23 03:17:52.903920,0 days 00:00:01.714836,0.2,32,7,0.0003023795012558478,gru,64,,0.2117220163345337,,PRUNED
4,0.11770302057266235,2026-02-23 03:17:52.904524,2026-02-23 03:17:54.499833,0 days 00:00:01.595309,0.3,96,7,0.0011069143219393448,lstm,64,,0.11770302057266235,,PRUNED
5,0.16326437890529633,2026-02-23 03:17:54.500391,2026-02-23 03:17:56.029506,0 days 00:00:01.529115,0.3,64,7,0.0004983319160125723,gru,32,,0.16326437890529633,,PRUNED
6,0.03400061093270779,2026-02-23 03:17:56.030019,2026-02-23 03:17:58.015943,0 days 00:00:01.985924,0.0,96,5,0.0021907142272152816,lstm,32,"{'MAE_15m': 0.03572208434343338, 'RMSE_15m': 0.04006808380564, 'sMAPE_15m': 200.0, 'R2_15m': 0.0, 'MAE_30m': 0.03227913752198219, 'RMSE_30m': 0.05015958533160065, 'sMAPE_30m': 200.0, 'R2_30m': 0.0, 'MAE_avg': 0.03400061093270779, 'RMSE_avg': 0.04511383456862032, 'sMAPE_avg': 200.0, 'R2_avg': 0.0}",0.057048358023166656,0.046707600355148315,COMPLETE
7,0.1444731056690216,2026-02-23 03:17:58.016529,2026-02-23 03:17:59.543120,0 days 00:00:01.526591,0.3,96,7,0.0006261435181296009,gru,64,,0.1444731056690216,,PRUNED
8,0.0029086273862048984,2026-02-23 03:17:59.543615,2026-02-23 03:18:01.741096,0 days 00:00:02.197481,0.3,64,7,0.002470540427082325,lstm,64,"{'MAE_15m': 0.002373462775722146, 'RMSE_15m': 0.003314979331531742, 'sMAPE_15m': 200.0, 'R2_15m': 0.0, 'MAE_30m': 0.0034437919966876507, 'RMSE_30m': 0.0061947788443354026, 'sMAPE_30m': 200.0, 'R2_30m': 0.0, 'MAE_avg': 0.0029086273862048984, 'RMSE_avg': 0.004754879087933572, 'sMAPE_avg': 200.0, 'R2_avg': 0.0}",0.039233915507793427,0.005968935787677765,COMPLETE
9,0.07516779005527496,2026-02-23 03:18:01.741656,2026-02-23 03:18:03.220910,0 days 00:00:01.479254,0.0,96,5,0.00025798509464504095,lstm,64,,0.07516779005527496,,PRUNED
