number,value,datetime_start,datetime_complete,duration,params_dropout,params_filters,params_kernel_size,params_lr,user_attrs_val_metrics,system_attrs_completed_rung_0,system_attrs_completed_rung_1,state
0,163082.671875,2026-02-24 05:44:38.106745,2026-02-24 05:44:39.150808,0 days 00:00:01.044063,0.2,64,3,0.0011114989443094978,"{'MAE_15m': 162980.109375, 'RMSE_15m': 162984.64222128416, 'sMAPE_15m': 199.95182989706487, 'R2_15m': -18142.171699690673, 'MAE_30m': 163185.234375, 'RMSE_30m': 163189.43338341487, 'sMAPE_30m': 199.95376135008814, 'R2_30m': -19407.61821072289, 'MAE_avg': 163082.671875, 'RMSE_avg': 163087.0378023495, 'sMAPE_avg': 199.9527956235765, 'R2_avg': -18774.89495520678}",163099.609375,163094.875,COMPLETE
1,163101.4375,2026-02-24 05:44:39.151554,2026-02-24 05:44:39.695992,0 days 00:00:00.544438,0.2,64,3,0.0002692655251486473,,163101.4375,,PRUNED
2,163101.953125,2026-02-24 05:44:39.696606,2026-02-24 05:44:40.252841,0 days 00:00:00.556235,0.3,32,7,0.000117115099555241,,163101.953125,,PRUNED
3,163101.640625,2026-02-24 05:44:40.253484,2026-02-24 05:44:40.799558,0 days 00:00:00.546074,0.3,32,5,0.00044684675025045853,,163101.640625,,PRUNED
4,163101.734375,2026-02-24 05:44:40.800153,2026-02-24 05:44:41.342147,0 days 00:00:00.541994,0.3,64,3,0.00018752209455786411,,163101.734375,,PRUNED
5,163100.0625,2026-02-24 05:44:41.342780,2026-02-24 05:44:42.059393,0 days 00:00:00.716613,0.2,32,7,0.0003023795012558478,,163100.828125,163100.0625,PRUNED
6,162462.96875,2026-02-24 05:44:42.060042,2026-02-24 05:44:43.096171,0 days 00:00:01.036129,0.2,96,7,0.002869139536545374,"{'MAE_15m': 162427.578125, 'RMSE_15m': 162433.72733518123, 'sMAPE_15m': 198.60082382787635, 'R2_15m': -18019.72581904121, 'MAE_30m': 162498.359375, 'RMSE_30m': 162503.6752815148, 'sMAPE_30m': 198.28102334121922, 'R2_30m': -19244.84110923774, 'MAE_avg': 162462.96875, 'RMSE_avg': 162468.701308348, 'sMAPE_avg': 198.4409235845478, 'R2_avg': -18632.283464139473}",163086.390625,162986.15625,COMPLETE
7,163102.078125,2026-02-24 05:44:43.096896,2026-02-24 05:44:43.618573,0 days 00:00:00.521677,0.0,32,3,0.0001483039268456802,,163102.078125,,PRUNED
8,163101.703125,2026-02-24 05:44:43.619176,2026-02-24 05:44:44.155576,0 days 00:00:00.536400,0.3,32,7,0.0004983319160125723,,163101.703125,,PRUNED
9,163101.3125,2026-02-24 05:44:44.156176,2026-02-24 05:44:44.672957,0 days 00:00:00.516781,0.0,96,5,0.00014433402406338895,,163101.3125,,PRUNED
