number,value,datetime_start,datetime_complete,duration,params_dropout,params_gru_units,params_lr,params_lstm_units,user_attrs_val_metrics,system_attrs_completed_rung_0,system_attrs_completed_rung_1,state
0,163098.0,2026-02-24 05:44:10.078285,2026-02-24 05:44:13.063298,0 days 00:00:02.985013,0.2,64,0.0011114989443094978,32,"{'MAE_15m': 162996.234375, 'RMSE_15m': 163000.72539715888, 'sMAPE_15m': 199.9914738383847, 'R2_15m': -18145.75346992355, 'MAE_30m': 163199.765625, 'RMSE_30m': 163203.98426509078, 'sMAPE_30m': 199.98941470165767, 'R2_30m': -19411.077355579124, 'MAE_avg': 163098.0, 'RMSE_avg': 163102.35483112483, 'sMAPE_avg': 199.9904442700212, 'R2_avg': -18778.41541275134}",163101.25,163100.265625,COMPLETE
1,163101.796875,2026-02-24 05:44:13.064106,2026-02-24 05:44:15.833492,0 days 00:00:02.769386,0.2,64,0.0002692655251486473,32,,163101.796875,,PRUNED
2,163102.015625,2026-02-24 05:44:15.834103,2026-02-24 05:44:18.116045,0 days 00:00:02.281942,0.3,32,0.000117115099555241,96,,163102.015625,,PRUNED
3,163101.875,2026-02-24 05:44:18.116632,2026-02-24 05:44:20.343178,0 days 00:00:02.226546,0.3,32,0.00044684675025045853,64,,163101.875,,PRUNED
4,163101.921875,2026-02-24 05:44:20.343772,2026-02-24 05:44:22.580982,0 days 00:00:02.237210,0.3,64,0.00018752209455786411,32,,163101.921875,,PRUNED
5,163101.9375,2026-02-24 05:44:22.581586,2026-02-24 05:44:24.773316,0 days 00:00:02.191730,0.2,32,0.0003023795012558478,96,,163101.9375,,PRUNED
6,163086.1796875,2026-02-24 05:44:24.773923,2026-02-24 05:44:28.527484,0 days 00:00:03.753561,0.2,96,0.002869139536545374,96,"{'MAE_15m': 162985.75, 'RMSE_15m': 162990.2401004428, 'sMAPE_15m': 199.96571055186186, 'R2_15m': -18143.41890395254, 'MAE_30m': 163186.609375, 'RMSE_30m': 163190.81385911402, 'sMAPE_30m': 199.95713164898086, 'R2_30m': -19407.946580493102, 'MAE_avg': 163086.1796875, 'RMSE_avg': 163090.52697977843, 'sMAPE_avg': 199.96142110042138, 'R2_avg': -18775.682742222823}",163100.3125,163091.0,COMPLETE
7,163101.875,2026-02-24 05:44:28.528273,2026-02-24 05:44:30.679058,0 days 00:00:02.150785,0.0,32,0.0001483039268456802,32,,163101.875,,PRUNED
8,163101.984375,2026-02-24 05:44:30.679684,2026-02-24 05:44:32.877308,0 days 00:00:02.197624,0.3,32,0.0004983319160125723,96,,163101.984375,,PRUNED
9,163101.5625,2026-02-24 05:44:32.877935,2026-02-24 05:44:35.218278,0 days 00:00:02.340343,0.0,96,0.00014433402406338895,64,,163101.734375,163101.5625,PRUNED
