number,value,datetime_start,datetime_complete,duration,params_dropout,params_lr,params_num_layers,params_units,user_attrs_val_metrics,system_attrs_completed_rung_0,system_attrs_completed_rung_1,state
0,163093.0546875,2026-02-24 05:43:43.614974,2026-02-24 05:43:47.472240,0 days 00:00:03.857266,0.0,0.00190303683817358,2,64,"{'MAE_15m': 162990.515625, 'RMSE_15m': 162995.0210773323, 'sMAPE_15m': 199.9774357924664, 'R2_15m': -18144.48312218945, 'MAE_30m': 163195.59375, 'RMSE_30m': 163199.78666652724, 'sMAPE_30m': 199.9791356485811, 'R2_30m': -19410.0809839995, 'MAE_avg': 163093.0546875, 'RMSE_avg': 163097.40387192977, 'sMAPE_avg': 199.97828572052373, 'R2_avg': -18777.282053094474}",163101.015625,163097.140625,COMPLETE
1,163101.890625,2026-02-24 05:43:47.472999,2026-02-24 05:43:49.743937,0 days 00:00:02.270938,0.0,0.00018659959624904942,2,64,,163101.890625,,PRUNED
2,163101.6875,2026-02-24 05:43:49.744578,2026-02-24 05:43:51.057560,0 days 00:00:01.312982,0.0,0.0003476649150592621,1,64,,163101.6875,,PRUNED
3,163101.84375,2026-02-24 05:43:51.058144,2026-02-24 05:43:53.281879,0 days 00:00:02.223735,0.3,0.0001786013788939711,2,64,,163101.84375,,PRUNED
4,163101.9375,2026-02-24 05:43:53.282487,2026-02-24 05:43:56.149049,0 days 00:00:02.866562,0.3,0.00044684675025045853,2,96,,163101.9375,,PRUNED
5,163101.71875,2026-02-24 05:43:56.149675,2026-02-24 05:43:58.375398,0 days 00:00:02.225723,0.2,0.000586412916969653,2,64,,163101.71875,,PRUNED
6,163087.859375,2026-02-24 05:43:58.376023,2026-02-24 05:44:01.420332,0 days 00:00:03.044309,0.0,0.002299958642814372,2,96,"{'MAE_15m': 162984.03125, 'RMSE_15m': 162988.51238047422, 'sMAPE_15m': 199.96148689369036, 'R2_15m': -18143.035002069733, 'MAE_30m': 163191.6875, 'RMSE_30m': 163195.896418997, 'sMAPE_30m': 199.96958218278115, 'R2_30m': -19409.155442593452, 'MAE_avg': 163087.859375, 'RMSE_avg': 163092.2043997356, 'sMAPE_avg': 199.96553453823577, 'R2_avg': -18776.09522233159}",163100.90625,163091.8125,COMPLETE
7,163101.9375,2026-02-24 05:44:01.421104,2026-02-24 05:44:02.744805,0 days 00:00:01.323701,0.3,0.0003364867144187955,1,64,,163101.9375,,PRUNED
8,163101.859375,2026-02-24 05:44:02.745402,2026-02-24 05:44:05.635917,0 days 00:00:02.890515,0.2,0.00019657448966046135,2,64,,163101.859375,,PRUNED
9,163101.96875,2026-02-24 05:44:05.636521,2026-02-24 05:44:07.823649,0 days 00:00:02.187128,0.0,0.0001483039268456802,2,64,,163101.96875,,PRUNED
