number,value,datetime_start,datetime_complete,duration,params_dropout,params_filters,params_kernel_size,params_lr,params_rnn_type,params_rnn_units,user_attrs_val_metrics,system_attrs_completed_rung_0,system_attrs_completed_rung_1,state
0,163100.28125,2026-02-24 05:44:45.227030,2026-02-24 05:44:47.300904,0 days 00:00:02.073874,0.0,64,3,0.00018559980846490597,lstm,64,"{'MAE_15m': 162997.8125, 'RMSE_15m': 163002.32106322903, 'sMAPE_15m': 199.99533364843847, 'R2_15m': -18146.10736158962, 'MAE_30m': 163202.75, 'RMSE_30m': 163206.9708315181, 'sMAPE_30m': 199.996721488263, 'R2_30m': -19411.787964044666, 'MAE_avg': 163100.28125, 'RMSE_avg': 163104.64594737356, 'sMAPE_avg': 199.99602756835074, 'R2_avg': -18778.947662817143}",163101.59375,163101.125,COMPLETE
1,163098.90625,2026-02-24 05:44:47.301695,2026-02-24 05:44:49.415994,0 days 00:00:02.114299,0.3,96,7,0.000117115099555241,gru,96,"{'MAE_15m': 162996.640625, 'RMSE_15m': 163001.13373838845, 'sMAPE_15m': 199.99245948062426, 'R2_15m': -18145.844899355066, 'MAE_30m': 163201.171875, 'RMSE_30m': 163205.37716631766, 'sMAPE_30m': 199.99282378079008, 'R2_30m': -19411.410067428944, 'MAE_avg': 163098.90625, 'RMSE_avg': 163103.25545235304, 'sMAPE_avg': 199.99264163070717, 'R2_avg': -18778.627483392003}",163101.4375,163100.515625,COMPLETE
2,163101.609375,2026-02-24 05:44:49.416771,2026-02-24 05:44:51.426041,0 days 00:00:02.009270,0.3,32,5,0.00024112898115291975,lstm,96,,163101.609375,,PRUNED
3,163101.71875,2026-02-24 05:44:51.426702,2026-02-24 05:44:52.833613,0 days 00:00:01.406911,0.2,32,7,0.0003023795012558478,gru,64,,163101.71875,,PRUNED
4,163094.6171875,2026-02-24 05:44:52.834274,2026-02-24 05:44:54.970934,0 days 00:00:02.136660,0.3,96,7,0.0011069143219393448,lstm,64,"{'MAE_15m': 162991.3125, 'RMSE_15m': 162995.78752838983, 'sMAPE_15m': 199.97932583035433, 'R2_15m': -18144.654282154424, 'MAE_30m': 163197.921875, 'RMSE_30m': 163202.11449610573, 'sMAPE_30m': 199.98481319752764, 'R2_30m': -19410.633242249405, 'MAE_avg': 163094.6171875, 'RMSE_avg': 163098.95101224777, 'sMAPE_avg': 199.98206951394098, 'R2_avg': -18777.643762201915}",163099.078125,163096.234375,COMPLETE
5,163098.484375,2026-02-24 05:44:54.971703,2026-02-24 05:44:56.559167,0 days 00:00:01.587464,0.3,64,7,0.0004983319160125723,gru,32,,163100.515625,163098.484375,PRUNED
6,163094.9375,2026-02-24 05:44:56.559861,2026-02-24 05:44:58.619053,0 days 00:00:02.059192,0.0,96,5,0.0021907142272152816,lstm,32,"{'MAE_15m': 162992.6875, 'RMSE_15m': 162997.18849109023, 'sMAPE_15m': 199.98274661790015, 'R2_15m': -18144.964684438604, 'MAE_30m': 163197.1875, 'RMSE_30m': 163201.38038631904, 'sMAPE_30m': 199.98303810082825, 'R2_30m': -19410.460101825112, 'MAE_avg': 163094.9375, 'RMSE_avg': 163099.28443870464, 'sMAPE_avg': 199.9828923593642, 'R2_avg': -18777.712393131857}",163098.171875,163096.046875,COMPLETE
7,163099.6875,2026-02-24 05:44:58.619836,2026-02-24 05:45:00.047158,0 days 00:00:01.427322,0.3,96,7,0.0006261435181296009,gru,64,,163099.6875,,PRUNED
8,163092.0390625,2026-02-24 05:45:00.047779,2026-02-24 05:45:02.138365,0 days 00:00:02.090586,0.3,64,7,0.002470540427082325,lstm,64,"{'MAE_15m': 162990.34375, 'RMSE_15m': 162994.8451700237, 'sMAPE_15m': 199.97701166718406, 'R2_15m': -18144.44293901788, 'MAE_30m': 163193.734375, 'RMSE_30m': 163197.9356732186, 'sMAPE_30m': 199.9745790312916, 'R2_30m': -19409.638498949636, 'MAE_avg': 163092.0390625, 'RMSE_avg': 163096.39042162115, 'sMAPE_avg': 199.97579534923784, 'R2_avg': -18777.040718983757}",163097.6875,163094.296875,COMPLETE
9,163101.3125,2026-02-24 05:45:02.139128,2026-02-24 05:45:04.191958,0 days 00:00:02.052830,0.0,96,5,0.00025798509464504095,lstm,64,,163101.3125,,PRUNED
