number,value,datetime_start,datetime_complete,duration,params_dropout,params_filters,params_kernel_size,params_lr,user_attrs_val_metrics,system_attrs_completed_rung_0,system_attrs_completed_rung_1,state
0,29317.396484375,2026-02-24 05:47:18.669049,2026-02-24 05:47:19.882442,0 days 00:00:01.213393,0.2,64,3,0.0011114989443094978,"{'MAE_15m': 29286.048828125, 'RMSE_15m': 29346.319428507555, 'sMAPE_15m': 199.68228428294609, 'R2_15m': -242.19725380834439, 'MAE_30m': 29348.744140625, 'RMSE_30m': 29408.35473126642, 'sMAPE_30m': 199.64593851300495, 'R2_30m': -245.15495963855068, 'MAE_avg': 29317.396484375, 'RMSE_avg': 29377.337079886987, 'sMAPE_avg': 199.66411139797552, 'R2_avg': -243.67610672344753}",29339.904296875,29334.767578125,COMPLETE
1,29341.38671875,2026-02-24 05:47:19.883204,2026-02-24 05:47:20.436463,0 days 00:00:00.553259,0.2,64,3,0.0002692655251486473,,29341.38671875,,PRUNED
2,29341.798828125,2026-02-24 05:47:20.437074,2026-02-24 05:47:20.985062,0 days 00:00:00.547988,0.3,32,7,0.000117115099555241,,29341.798828125,,PRUNED
3,29341.78125,2026-02-24 05:47:20.985665,2026-02-24 05:47:21.526127,0 days 00:00:00.540462,0.3,32,5,0.00044684675025045853,,29341.78125,,PRUNED
4,29342.94921875,2026-02-24 05:47:21.526759,2026-02-24 05:47:22.066476,0 days 00:00:00.539717,0.3,64,3,0.00018752209455786411,,29342.94921875,,PRUNED
5,29341.669921875,2026-02-24 05:47:22.067116,2026-02-24 05:47:22.610972,0 days 00:00:00.543856,0.2,32,7,0.0003023795012558478,,29341.669921875,,PRUNED
6,28329.71484375,2026-02-24 05:47:22.611754,2026-02-24 05:47:23.764980,0 days 00:00:01.153226,0.2,96,7,0.002869139536545374,"{'MAE_15m': 28240.90625, 'RMSE_15m': 28299.12450942608, 'sMAPE_15m': 186.04207071756178, 'R2_15m': -225.1504034665848, 'MAE_30m': 28418.5234375, 'RMSE_30m': 28473.75999055973, 'sMAPE_30m': 187.50780560613018, 'R2_30m': -229.75802943136404, 'MAE_avg': 28329.71484375, 'RMSE_avg': 28386.442249992906, 'sMAPE_avg': 186.77493816184597, 'R2_avg': -227.45421644897442}",29322.205078125,29173.337890625,COMPLETE
7,29342.904296875,2026-02-24 05:47:23.765723,2026-02-24 05:47:24.292946,0 days 00:00:00.527223,0.0,32,3,0.0001483039268456802,,29342.904296875,,PRUNED
8,29339.712890625,2026-02-24 05:47:24.293535,2026-02-24 05:47:25.012256,0 days 00:00:00.718721,0.3,32,7,0.0004983319160125723,,29340.943359375,29339.712890625,PRUNED
9,29341.373046875,2026-02-24 05:47:25.012887,2026-02-24 05:47:25.545430,0 days 00:00:00.532543,0.0,96,5,0.00014433402406338895,,29341.373046875,,PRUNED
