number,value,datetime_start,datetime_complete,duration,params_dropout,params_gru_units,params_lr,params_lstm_units,user_attrs_val_metrics,system_attrs_completed_rung_0,system_attrs_completed_rung_1,state
0,29339.19921875,2026-02-24 05:45:55.683222,2026-02-24 05:45:59.238794,0 days 00:00:03.555572,0.2,64,0.0011114989443094978,32,"{'MAE_15m': 29304.78125, 'RMSE_15m': 29365.149412185867, 'sMAPE_15m': 199.93660110296318, 'R2_15m': -242.5094410349216, 'MAE_30m': 29373.6171875, 'RMSE_30m': 29433.36012078811, 'sMAPE_30m': 199.98282735125912, 'R2_30m': -245.57376465058616, 'MAE_avg': 29339.19921875, 'RMSE_avg': 29399.25476648699, 'sMAPE_avg': 199.95971422711114, 'R2_avg': -244.0416028427539}",29341.380859375,29340.580078125,COMPLETE
1,29341.70703125,2026-02-24 05:45:59.239582,2026-02-24 05:46:01.523556,0 days 00:00:02.283974,0.2,64,0.0002692655251486473,32,,29341.70703125,,PRUNED
2,29342.1015625,2026-02-24 05:46:01.524172,2026-02-24 05:46:03.752853,0 days 00:00:02.228681,0.3,32,0.000117115099555241,96,,29342.1015625,,PRUNED
3,29342.0390625,2026-02-24 05:46:03.753492,2026-02-24 05:46:05.918158,0 days 00:00:02.164666,0.3,32,0.00044684675025045853,64,,29342.0390625,,PRUNED
4,29342.248046875,2026-02-24 05:46:05.918761,2026-02-24 05:46:08.090199,0 days 00:00:02.171438,0.3,64,0.00018752209455786411,32,,29342.248046875,,PRUNED
5,29342.119140625,2026-02-24 05:46:08.090892,2026-02-24 05:46:12.080935,0 days 00:00:03.990043,0.2,32,0.0003023795012558478,96,,29342.119140625,,PRUNED
6,29326.7080078125,2026-02-24 05:46:12.081700,2026-02-24 05:46:39.615318,0 days 00:00:27.533618,0.2,96,0.002869139536545374,96,"{'MAE_15m': 29293.9140625, 'RMSE_15m': 29354.300264186164, 'sMAPE_15m': 199.7880053001321, 'R2_15m': -242.32956657895377, 'MAE_30m': 29359.501953125, 'RMSE_30m': 29419.27966487283, 'sMAPE_30m': 199.78995872300277, 'R2_30m': -245.3378855468937, 'MAE_avg': 29326.7080078125, 'RMSE_avg': 29386.789964529497, 'sMAPE_avg': 199.78898201156744, 'R2_avg': -243.83372606292374}",29340.4765625,29336.0546875,COMPLETE
7,29342.048828125,2026-02-24 05:46:39.620243,2026-02-24 05:46:55.367325,0 days 00:00:15.747082,0.0,32,0.0001483039268456802,32,,29342.048828125,,PRUNED
8,29341.75,2026-02-24 05:46:55.370840,2026-02-24 05:47:02.403643,0 days 00:00:07.032803,0.3,32,0.0004983319160125723,96,,29341.75,,PRUNED
9,29341.798828125,2026-02-24 05:47:02.406391,2026-02-24 05:47:12.744310,0 days 00:00:10.337919,0.0,96,0.00014433402406338895,64,,29341.798828125,,PRUNED
