number,value,datetime_start,datetime_complete,duration,params_dropout,params_lr,params_num_layers,params_units,user_attrs_val_metrics,system_attrs_completed_rung_0,system_attrs_completed_rung_1,state
0,29333.515625,2026-02-24 05:45:29.962033,2026-02-24 05:45:33.006895,0 days 00:00:03.044862,0.0,0.00190303683817358,2,64,"{'MAE_15m': 29301.09375, 'RMSE_15m': 29361.459364275477, 'sMAPE_15m': 199.88625453525046, 'R2_15m': -242.44824241476715, 'MAE_30m': 29365.9375, 'RMSE_30m': 29425.69761280096, 'sMAPE_30m': 199.8779113914626, 'R2_30m': -245.44541313965183, 'MAE_avg': 29333.515625, 'RMSE_avg': 29393.578488538216, 'sMAPE_avg': 199.88208296335654, 'R2_avg': -243.94682777720948}",29341.419921875,29338.119140625,COMPLETE
1,29341.900390625,2026-02-24 05:45:33.007651,2026-02-24 05:45:35.152373,0 days 00:00:02.144722,0.0,0.00018659959624904942,2,64,,29341.900390625,,PRUNED
2,29342.0625,2026-02-24 05:45:35.152972,2026-02-24 05:45:36.424974,0 days 00:00:01.272002,0.0,0.0003476649150592621,1,64,,29342.0625,,PRUNED
3,29341.814453125,2026-02-24 05:45:36.425529,2026-02-24 05:45:39.485083,0 days 00:00:03.059554,0.3,0.0001786013788939711,2,64,,29341.814453125,,PRUNED
4,29341.88671875,2026-02-24 05:45:39.485694,2026-02-24 05:45:41.779985,0 days 00:00:02.294291,0.3,0.00044684675025045853,2,96,,29341.88671875,,PRUNED
5,29341.869140625,2026-02-24 05:45:41.780558,2026-02-24 05:45:43.996165,0 days 00:00:02.215607,0.2,0.000586412916969653,2,64,,29341.869140625,,PRUNED
6,29328.0498046875,2026-02-24 05:45:43.996785,2026-02-24 05:45:46.962655,0 days 00:00:02.965870,0.0,0.002299958642814372,2,96,"{'MAE_15m': 29293.369140625, 'RMSE_15m': 29353.751923731998, 'sMAPE_15m': 199.7805301424258, 'R2_15m': -242.32045283469913, 'MAE_30m': 29362.73046875, 'RMSE_30m': 29422.499146061677, 'sMAPE_30m': 199.83413057892142, 'R2_30m': -245.39182073695318, 'MAE_avg': 29328.0498046875, 'RMSE_avg': 29388.125534896837, 'sMAPE_avg': 199.8073303606736, 'R2_avg': -243.85613678582615}",29340.25,29332.5390625,COMPLETE
7,29342.0234375,2026-02-24 05:45:46.963376,2026-02-24 05:45:48.956087,0 days 00:00:01.992711,0.3,0.0003364867144187955,1,64,,29342.0234375,,PRUNED
8,29341.974609375,2026-02-24 05:45:48.956725,2026-02-24 05:45:51.258473,0 days 00:00:02.301748,0.2,0.00019657448966046135,2,64,,29341.974609375,,PRUNED
9,29341.8515625,2026-02-24 05:45:51.259103,2026-02-24 05:45:53.448906,0 days 00:00:02.189803,0.0,0.0001483039268456802,2,64,,29341.8515625,,PRUNED
